o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,longLiquidationUsd,shortLiquidationUsd,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x.1,longShortRadio_y.1,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices,RSI,MACD,MACD_Signal
999330.16,1062536.44,999330.16,1050369.76,2021-06-21,0.01,0.01,-0.036328,-0.008275,298965.4564,1926506.2496,75.3,24.7,3.049,69.58,30.42,2.287,48.7,51.3,0.949,0.912570991372,10914967,11560810,33176.0,79.61197034,165.516,19932791027263.0,204945,384401,153833,40991.1886,1.1886565113541148,33176.0,0.8995624265584248,-0.4128971772434155,1047,48540.92220998831,49854.32432432433,59887.0232,89830.53480000001,1542.4610285714286,59887.0232,32121.0,29943.5116,47909.61856,56.648812500000005,293.28445714285715,25639.92628571429,32121.0,9394.450821,12519.619011,17016.649062,23360.453338,31536.612038,42574.426252,58491.045803,80535.964508,108116.150568,147069.707015,21.0,35260.0,46.808813077469786,422.2160415562321,911.5212179812801
1038116.38,1175965.63,1008683.81,1136677.29,2021-06-22,-0.015969,0.01,-0.093391,-0.001448,1715008.0635,2304306.8987,74.3,25.7,2.891,71.62,28.38,2.524,49.16,50.84,0.967,0.975597210747,21189512,21104440,32011.0,87.96187165,217.752,19932791027263.0,196432,385925,153834,41096.8081,1.1023819990844048,32011.0,0.6991431716687172,-0.4240016745813566,1046,48729.96582799757,49689.35135135135,60016.37388571428,90024.56082857143,1542.4610285714286,60016.37388571428,31890.0,30008.18694285714,48013.09910857143,56.648812500000005,293.28445714285715,25639.92628571429,31890.0,9407.120381,12536.503241,17039.598084,23391.957752,31579.142996,42631.843045,58569.928095,80644.577054,108261.95835,147268.048408,23.0,35270.0,46.24912033779028,62.2069595377252,741.6583662925691
1114337.51,1370286.62,1105229.95,1216631.0,2021-06-23,0.003481,0.003481,-0.066644,-0.023705,1091752.0577,770112.4822,67.18,32.82,2.047,63.29,36.71,1.724,49.17,50.83,0.967,1.021252369228,11030691,11069474,33745.0,76.14982008,156.49,19932791027263.0,232603,419947,125027,41215.0064,1.219967385082639,33745.0,0.7695385717262242,-0.3721668834658409,1045,48839.35721743976,49560.42342342343,60154.99428571429,90232.49142857143,1542.4610285714286,60154.99428571429,33662.0,30077.497142857144,48123.99542857144,56.648812500000005,293.28445714285715,25639.92628571429,33662.0,9419.804236,12553.406521,17062.572999,23423.497712,31621.721943,42689.324623,58648.899391,80753.31215,108407.930651,147466.613593,10.0,31297.0,40.0909851495503,-79.20422391879401,577.4858482502965
1238381.78,1248263.56,1123081.36,1193136.05,2021-06-24,-0.040081,-0.001205,-0.05071,-0.011969,338767.2555,356001.443,64.92,35.08,1.851,61.05,38.95,1.567,48.93,51.07,0.958,0.99442992773,10813136,10582887,33747.0,70.73122175,132.941,19932791027263.0,233173,411788,105656,41331.9209,1.2151016382191753,33747.0,0.8432564886158536,-0.3420578371270188,1044,48943.617419435366,49431.35135135135,60300.8724,90451.3086,1542.4610285714286,60300.8724,34765.0,30150.4362,48240.697920000006,56.648812500000005,293.28445714285715,25639.92628571429,34765.0,9432.5024,12570.328869,17085.573832,23455.073252,31664.348922,42746.871045,58727.959772,80862.169908,108554.067619,147665.402776,14.0,31806.0,45.0505984486567,-101.10524544263171,441.7676295117109
1186784.78,1202630.15,1106284.13,1145572.26,2021-06-25,-0.000977,0.01,-0.002677,-0.000861,211335.86,561577.2456,62.46,37.54,1.664,60.63,39.37,1.54,49.5,50.5,0.98,0.99151060653,10631987,10505811,33376.0,73.66299324,136.265,19932791027263.0,218135,391933,154086,41446.2711,1.18373424559721,33376.0,0.910861550916056,-0.4440072811283624,1043,49098.87313855849,49272.04504504504,60427.79948571429,90641.69922857142,1542.4610285714286,60427.79948571429,31495.0,30213.899742857146,48342.23958857143,56.648812500000005,293.28445714285715,25639.92628571429,31495.0,9445.214885,12587.270303,17108.600606,23486.684404,31707.023977,42804.482369,58807.10932,80971.150439,108700.369405,147864.416158,22.0,33624.0,36.96064271529157,-377.9666697653811,277.8207696562925
1142066.65,1234831.53,1132954.85,1234831.53,2021-06-26,0.001521,0.002444,-0.044183,-0.008233,324937.8279,493460.3632,64.9,35.1,1.849,62.0,38.0,1.632,49.23,50.77,0.97,1.019955687048,11249725,11174428,31488.0,67.62573756,122.604,19932791027263.0,181539,324459,105096,41551.5826,1.049583649502046,31488.0,0.6670879652137841,-0.4124539661494193,1042,49239.931144339214,49103.44144144144,60561.189371428576,90841.78405714288,1542.4610285714286,60561.189371428576,32598.0,30280.594685714288,48448.95149714287,56.648812500000005,293.28445714285715,25639.92628571429,32598.0,9457.941704,12604.23084,17131.653344,23518.3312,31749.747151,42862.158654,58886.348116,81080.253853,108846.836158,148063.653944,27.0,34904.5,42.948925352438174,-502.5849746363165,121.73962079777071
1237132.92,1249005.02,1036699.7,1036699.7,2021-06-27,-0.010655,0.01,-0.034309,0.01,704913.8086,125282.5282,66.09,33.91,1.949,62.82,37.18,1.69,49.52,50.48,0.981,1.010645144578,8733086,8231250,33067.0,74.82821276,120.708,19932791027263.0,121480,255643,122259,41674.9891,1.1525826090382305,33067.0,0.4497727327993155,-0.3567219548820777,1041,49502.327096394605,48942.747747747744,60706.01462857143,91059.02194285714,1542.4610285714286,60706.01462857143,34650.0,30353.007314285715,48564.81170285714,56.648812500000005,293.28445714285715,25639.92628571429,34650.0,9470.68287,12621.210497,17154.732071,23550.013672,31792.518489,42919.89996,58965.67624,81189.480264,108993.468028,148263.116337,20.0,31796.5,38.85366095313584,-430.80062688976614,11.231571260263337
1014324.16,1014324.16,914972.33,914972.33,2021-06-28,0.01,0.01,0.01,0.01,278618.7122,192584.7701,63.01,36.99,1.703,59.25,40.75,1.454,49.66,50.34,0.986,1.00082874406,6921964,6557613,34472.0,71.11490174,122.94,19932791027263.0,220912,425476,128407,41806.991,1.2470550709831156,34472.0,0.7245705085769705,-0.362252788573242,1040,49667.6960585597,48759.05405405405,60850.827142857146,91276.24071428573,1542.4610285714286,60850.827142857146,34574.0,30425.413571428573,48680.66171428572,56.648812500000005,293.28445714285715,25639.92628571429,34574.0,9483.438397,12638.209291,17177.836809,23581.731853,31835.338034,42977.706346,59045.093774,81298.829782,109140.265164,148462.80354,22.0,32400.0,33.85352862849534,-375.7125980069686,-66.15726259318306
904526.32,970828.03,873661.0,874363.08,2021-06-29,0.01,0.01,-0.004802,0.01,181175.3377,205614.5489,63.23,36.77,1.72,61.36,38.64,1.588,49.69,50.31,0.988,0.982972999632,6399846,6589308,35544.0,73.06016295,120.518,19932791027263.0,205526,411674,120506,41950.0673,1.319608964325115,35544.0,0.7385531764164656,-0.3294349431498631,1039,49833.86757559104,48576.93693693694,61002.8268,91504.2402,1542.4610285714286,61002.8268,35847.0,30501.4134,48802.26144,56.648812500000005,293.28445714285715,25639.92628571429,35847.0,9496.208298,12655.227241,17200.967583,23613.485776,31878.205829,43035.577869,59124.600798,81408.302519,109287.227717,148662.715759,25.0,34521.0,38.577063106796125,-226.72097881951777,-98.27000583845
860698.22,925878.84,852364.17,925878.84,2021-06-30,0.01,0.01,0.01,0.01,379993.2193,402962.6896,68.64,31.36,2.189,65.89,34.11,1.932,49.75,50.25,0.99,0.945837864828,6241935,6771044,34930.0,68.91319063,109.874,19932791027263.0,215216,416484,110739,42083.9102,1.268733080991071,34930.0,0.7478529583429009,-0.3577818529659247,1038,50049.65547944391,48370.59459459459,61150.23662857143,91725.35494285714,1542.4610285714286,61150.23662857143,34996.0,30575.118314285715,48920.18930285715,56.648812500000005,293.28445714285715,25639.92628571429,34996.0,9508.992585,12672.264362,17224.124415,23645.275472,31921.121919,43093.51459,59204.197394,81517.898586,109434.355836,148862.853197,25.0,34586.0,40.84484420173467,-175.29197827299504,-113.67440032535902
