Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1996-02-01,2.966614007949829,2.920974016189575,2.943794012069702,13718164.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-02,2.966614007949829,2.920974016189575,2.966614007949829,3828860.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-05,2.966614007949829,2.920974016189575,2.920974016189575,908190.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-06,2.966614007949829,2.920974016189575,2.920974016189575,509419.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-07,2.966614007949829,2.920974016189575,2.920974016189575,366453.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-08,2.966614007949829,2.920974016189575,2.920974016189575,794803.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-09,2.966614007949829,2.920974016189575,2.920974016189575,515992.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-12,2.966614007949829,2.920974016189575,2.920974016189575,351664.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-13,2.966614007949829,2.920974016189575,2.920974016189575,216914.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-14,2.966614007949829,2.920974016189575,2.920974016189575,460121.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-15,2.920974016189575,2.920974016189575,2.920974016189575,250875.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-16,2.966614007949829,2.8753340244293213,2.8753340244293213,491891.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-20,2.920974016189575,2.6471331119537354,2.6471331119537354,769606.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-21,2.738413095474243,2.6471331119537354,2.6471331119537354,581176.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-22,2.738413095474243,2.6471331119537354,2.6471331119537354,251971.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-23,2.738413095474243,2.6471331119537354,2.6927731037139893,486413.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-26,2.8296940326690674,2.6927731037139893,2.784053087234497,218557.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-27,2.8753340244293213,2.784053087234497,2.8753340244293213,1286146.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-28,2.8753340244293213,2.784053087234497,2.8296940326690674,219105.0,7868.468,5.5,155.0,5.22,3647.5
1996-02-29,2.920974016189575,2.8296940326690674,2.8981540203094482,289219.0,7868.468,5.5,155.0,5.22,3647.5
1996-03-01,2.920974016189575,2.8753340244293213,2.920974016189575,528591.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-04,2.920974016189575,2.8753340244293213,2.8753340244293213,477649.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-05,2.920974016189575,2.8753340244293213,2.8753340244293213,175284.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-06,2.8753340244293213,2.738413095474243,2.738413095474243,1273548.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-07,2.8296940326690674,2.738413095474243,2.76123309135437,612946.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-08,2.784053087234497,2.601491928100586,2.601491928100586,657315.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-11,2.6927731037139893,2.601491928100586,2.6471331119537354,346186.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-12,2.738413095474243,2.6471331119537354,2.738413095474243,297435.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-13,2.738413095474243,2.6471331119537354,2.738413095474243,135845.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-14,2.738413095474243,2.6471331119537354,2.6471331119537354,405892.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-15,2.6927731037139893,2.6471331119537354,2.6471331119537354,58063.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-18,2.784053087234497,2.6471331119537354,2.6471331119537354,278263.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-19,2.784053087234497,2.6471331119537354,2.784053087234497,21911.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-20,2.784053087234497,2.601491928100586,2.6471331119537354,1378170.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-21,2.6927731037139893,2.601491928100586,2.6927731037139893,24102.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-22,2.6699531078338623,2.601491928100586,2.601491928100586,72305.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-25,2.6927731037139893,2.510211944580078,2.510211944580078,204315.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-26,2.601491928100586,2.510211944580078,2.510211944580078,1286146.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-27,2.601491928100586,2.510211944580078,2.601491928100586,119960.0,7868.468,5.5,155.5,5.31,3694.0
1996-03-28,2.738413095474243,2.555851936340332,2.6471331119537354,1144824.0,7868.468,5.5,155.5,5.31,3694.0
