Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,7.434301853179932,7.295989036560059,7.295989036560059,62178.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,7.399723052978516,7.192254066467285,7.192254066467285,94352.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,7.295989036560059,7.1576762199401855,7.192254066467285,234252.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,7.399723052978516,7.192254066467285,7.261411190032959,305468.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,7.261411190032959,7.1576762199401855,7.261411190032959,54587.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,7.330566883087158,7.226832866668701,7.330566883087158,61093.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,7.5726141929626465,7.399723052978516,7.538035869598389,371984.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,7.607192039489746,7.538035869598389,7.607192039489746,407049.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,7.641769886016846,7.399723052978516,7.399723052978516,249073.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,7.330566883087158,7.0539422035217285,7.0539422035217285,100497.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,7.088520050048828,6.846473217010498,6.915628910064697,106643.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,7.1576762199401855,6.81189489364624,7.123097896575928,246543.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,7.192254066467285,7.088520050048828,7.123097896575928,221238.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,7.1576762199401855,7.0539422035217285,7.123097896575928,25667.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,7.1576762199401855,7.019363880157471,7.019363880157471,17714.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,7.1576762199401855,6.984786033630371,7.1576762199401855,209309.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,7.088520050048828,6.881051063537598,6.984786033630371,69408.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,7.0539422035217285,6.881051063537598,6.950207233428955,52418.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,6.984786033630371,6.881051063537598,6.950207233428955,49526.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,6.915628910064697,6.881051063537598,6.915628910064697,77000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,7.088520050048828,6.500691890716553,6.56984806060791,85676.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,6.639004230499268,6.466113090515137,6.60442590713501,51695.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,7.1576762199401855,6.56984806060791,7.1576762199401855,144962.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,7.192254066467285,7.088520050048828,7.088520050048828,76638.0,5872.701,5.3,128.0,8.24,3170.5
