Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,13.625,13.416666984558105,13.5,490800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,13.916666984558105,13.375,13.916666984558105,803700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,13.791666984558105,13.458333015441895,13.458333015441895,830700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,13.708333015441895,13.375,13.666666984558105,1026600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,13.666666984558105,13.333333015441895,13.416666984558105,1161000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,13.416666984558105,13.25,13.416666984558105,721500.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,13.416666984558105,13.083333015441895,13.166666984558105,582900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,13.291666984558105,13.041666984558105,13.166666984558105,811800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,13.291666984558105,13.125,13.125,296100.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,13.041666984558105,12.583333015441895,12.666666984558105,1132800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,12.708333015441895,12.5,12.5,782700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,12.791666984558105,12.25,12.791666984558105,856200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,12.791666984558105,12.375,12.416666984558105,745200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,12.666666984558105,12.375,12.666666984558105,795600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,12.916666984558105,12.666666984558105,12.875,805200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,12.958333015441895,12.541666984558105,12.541666984558105,809100.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,12.666666984558105,12.458333015441895,12.458333015441895,988500.0,5872.701,5.4,127.5,8.23,3170.4
