Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1999-01-22,0.4882810115814209,0.38802099227905273,0.4101560115814209,271468800.0,9411.682,4.3,164.7,4.63,4409.5
1999-01-25,0.45833298563957214,0.4101560115814209,0.453125,51048000.0,9411.682,4.3,164.7,4.63,4409.5
1999-01-26,0.46744799613952637,0.41145798563957214,0.4179689884185791,34320000.0,9411.682,4.3,164.7,4.63,4409.5
1999-01-27,0.4296880066394806,0.39583298563957214,0.41666701436042786,24436800.0,9411.682,4.3,164.7,4.63,4409.5
1999-01-28,0.41927099227905273,0.4127599895000458,0.4153650104999542,22752000.0,9411.682,4.3,164.7,4.63,4409.5
1999-01-29,0.41666701436042786,0.39583298563957214,0.39583298563957214,24403200.0,9411.682,4.3,164.7,4.63,4409.5
1999-02-01,0.40625,0.39583298563957214,0.40364599227905273,15470400.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-02,0.40625,0.36067700386047363,0.37239599227905273,26409600.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-03,0.38541701436042786,0.36458298563957214,0.38020798563957214,7512000.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-04,0.41145798563957214,0.38020798563957214,0.40104201436042786,18192000.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-05,0.41666701436042786,0.3971349895000458,0.4127599895000458,13684800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-08,0.41666701436042786,0.3984380066394806,0.3984380066394806,15408000.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-09,0.40885400772094727,0.37760400772094727,0.3828130066394806,8697600.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-10,0.39322900772094727,0.37239599227905273,0.3789060115814209,14822400.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-11,0.42708298563957214,0.38020798563957214,0.41145798563957214,13224000.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-12,0.4375,0.41666701436042786,0.43489599227905273,10972800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-16,0.4609380066394806,0.39322900772094727,0.4375,21100800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-17,0.43229201436042786,0.40625,0.4140630066394806,6772800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-18,0.43229201436042786,0.40885400772094727,0.42057299613952637,7070400.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-19,0.44270798563957214,0.41145798563957214,0.43489599227905273,7536000.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-22,0.44791701436042786,0.4140630066394806,0.4375,20524800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-23,0.46744799613952637,0.421875,0.45833298563957214,13809600.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-24,0.546875,0.48307299613952637,0.49479201436042786,61276800.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-25,0.53125,0.47135400772094727,0.47916701436042786,14913600.0,9411.682,4.4,164.7,4.76,4418.7
1999-02-26,0.5,0.453125,0.4570310115814209,17260800.0,9411.682,4.4,164.7,4.76,4418.7
1999-03-01,0.47916701436042786,0.4375,0.4596349895000458,9216000.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-02,0.4609380066394806,0.44791701436042786,0.45572900772094727,5524800.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-03,0.45833298563957214,0.421875,0.42447900772094727,6139200.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-04,0.44791701436042786,0.41145798563957214,0.4153650104999542,5736000.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-05,0.44010400772094727,0.41927099227905273,0.43880200386047363,7876800.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-08,0.45833298563957214,0.41927099227905273,0.4453130066394806,7588800.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-09,0.46614599227905273,0.4440099895000458,0.4596349895000458,14318400.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-10,0.46614599227905273,0.4453130066394806,0.45182299613952637,23534400.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-11,0.45182299613952637,0.43229201436042786,0.43229201436042786,5428800.0,9411.682,4.2,164.8,4.81,4455.6
1999-03-12,0.43489599227905273,0.41666701436042786,0.42447900772094727,9076800.0,9411.682,4.2,164.8,4.81,4455.6
