Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1994-10-31,24.25,23.375,23.75,32800.0,7455.288,5.8,149.4,4.76,3478.2
1994-11-01,23.75,23.375,23.375,13200.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-02,23.75,23.25,23.75,7000.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-03,23.875,23.625,23.625,5400.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-04,23.75,23.125,23.125,9800.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-07,23.25,23.0,23.25,7200.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-08,23.25,23.0,23.0,2200.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-09,23.25,23.125,23.125,5600.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-10,23.125,23.0,23.125,82800.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-11,23.25,23.0,23.125,16400.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-14,23.25,23.0,23.125,54600.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-15,23.0,23.0,23.0,1800.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-16,23.125,23.0,23.125,4600.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-17,23.875,23.0,23.875,10600.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-18,23.875,23.5,23.625,8400.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-21,23.875,23.5,23.75,7000.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-22,24.0,23.5,23.5,14800.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-23,23.625,23.5,23.625,8000.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-25,23.5,23.5,23.5,2000.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-28,23.75,23.5,23.5,1400.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-29,23.5,23.375,23.375,1800.0,7455.288,5.6,149.8,5.29,3491.8
1994-11-30,23.625,23.375,23.375,6000.0,7455.288,5.6,149.8,5.29,3491.8
1994-12-01,23.5,22.75,22.75,35400.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-02,22.75,22.625,22.75,12600.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-05,22.75,22.625,22.625,5400.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-06,22.5,22.125,22.125,16000.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-07,22.25,21.875,22.125,11600.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-08,22.25,22.125,22.25,6000.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-09,22.5,22.0,22.0,9000.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-12,22.25,21.75,22.125,7600.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-13,22.625,22.125,22.625,4600.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-14,23.875,22.75,23.875,10800.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-15,24.75,23.875,24.75,13400.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-16,24.875,24.25,24.375,20400.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-19,24.625,24.0,24.0,10000.0,7455.288,5.5,150.1,5.45,3507.8
1994-12-20,24.375,24.125,24.375,8000.0,7455.288,5.5,150.1,5.45,3507.8
