Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,2.75,2.625,2.75,466000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,2.71875,2.6875,2.71875,165600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,2.78125,2.6875,2.71875,270800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,2.78125,2.71875,2.75,242000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,2.6875,2.65625,2.65625,452800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,2.6875,2.625,2.6875,98000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,2.6875,2.59375,2.625,102800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,2.625,2.53125,2.5625,23600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,2.59375,2.5,2.59375,112000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,2.53125,2.5,2.53125,171600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,2.53125,2.46875,2.5,115600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,2.59375,2.5,2.53125,198800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,2.625,2.5,2.5625,751200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,2.53125,2.5,2.53125,304000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,2.53125,2.5,2.5,132800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,2.5,2.3125,2.3125,460000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,2.375,2.3125,2.375,468000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,2.375,2.28125,2.3125,467200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,2.375,2.3125,2.3125,438400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,2.3125,2.1875,2.21875,1368000.0,5872.701,5.4,127.5,8.23,3170.4
