Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,14.875,14.6875,14.78125,663200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,15.0,14.6875,15.0,600800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,15.125,15.0,15.09375,1022400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,15.4375,15.0625,15.375,1790000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,15.4375,15.25,15.3125,1163600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,15.4375,15.25,15.375,424400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,15.5,15.3125,15.4375,1242800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,15.5,15.25,15.375,1831200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,15.375,15.125,15.21875,714400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,15.0625,14.875,14.875,862400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,14.9375,14.75,14.75,1002800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,14.875,14.5625,14.8125,450800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,14.8125,14.5,14.5625,806400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,14.625,14.4375,14.5625,456800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,14.625,14.4375,14.4375,452000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,14.5,13.9375,14.0,779600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,14.125,13.78125,13.875,682000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,14.0,13.375,13.8125,891600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,14.3125,13.875,13.90625,937600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,13.875,13.75,13.875,933200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,13.9375,13.75,13.8125,876000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,13.8125,13.4375,13.5,546000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,13.5625,13.25,13.4375,1306800.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,14.1875,13.40625,14.125,2081200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,14.375,14.0625,14.3125,1184400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,14.625,14.375,14.5625,703200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,14.8125,14.5,14.8125,537600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,14.9375,14.625,14.84375,582000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,15.0,14.75,14.84375,1041200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,14.875,14.75,14.78125,2251600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,14.75,14.3125,14.3125,1311200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,14.34375,13.875,14.15625,2006400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,14.4375,14.125,14.3125,712800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,14.625,14.3125,14.625,269600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,14.75,14.5625,14.625,634800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,14.625,14.4375,14.625,412000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,14.625,14.4375,14.625,726400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,14.875,14.625,14.75,872000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,14.8125,14.625,14.6875,364800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,14.75,14.5625,14.6875,1149600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,14.8125,14.5625,14.6875,479200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,15.125,14.6875,15.125,1394000.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,15.1875,15.0,15.125,503200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,15.375,15.0625,15.375,940800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,15.5625,15.3125,15.375,576400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,15.5,15.3125,15.375,810800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,15.40625,15.1875,15.25,644400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,15.375,15.125,15.34375,660800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,15.4375,15.3125,15.3125,642000.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,15.375,15.3125,15.34375,154400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,15.375,15.25,15.375,1720800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,15.375,15.25,15.25,1800400.0,5872.701,5.2,128.6,8.28,3192.6
