Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,10.666666984558105,10.583333015441895,10.666666984558105,102600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,10.666666984558105,10.583333015441895,10.666666984558105,166800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,10.625,10.416666984558105,10.458333015441895,282000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,10.458333015441895,10.291666984558105,10.416666984558105,211200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,10.333333015441895,10.208333015441895,10.25,93900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,10.25,10.166666984558105,10.166666984558105,63300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,10.25,10.0,10.125,299400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,10.125,10.0,10.125,237900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,10.208333015441895,10.083333015441895,10.125,225900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,10.083333015441895,9.958333015441895,10.041666984558105,99300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,10.083333015441895,10.0,10.0,142500.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,10.041666984558105,9.875,10.041666984558105,165000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,10.041666984558105,9.875,9.916666984558105,360000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,9.916666984558105,9.833333015441895,9.875,54000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,9.916666984558105,9.833333015441895,9.875,395700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,9.875,9.75,9.833333015441895,337200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,9.916666984558105,9.75,9.875,474900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,9.833333015441895,9.625,9.833333015441895,162300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,9.916666984558105,9.75,9.791666984558105,107100.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,9.791666984558105,9.625,9.666666984558105,306600.0,5872.701,5.4,127.5,8.23,3170.4
