Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,33.125,32.5,33.0,106600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,33.375,32.25,32.25,303800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,33.0,32.375,32.375,200000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,32.875,32.125,32.75,91900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,32.625,31.75,31.75,298700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,32.375,32.0,32.25,164300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,32.625,32.25,32.25,155900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,32.5,31.875,32.375,90700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,33.5,32.5,33.5,138900.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,32.75,31.5,31.5,152700.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,31.875,31.375,31.75,70300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,32.0,31.25,31.625,106800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,31.5,30.5,30.75,469300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,30.875,29.75,30.875,258300.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,31.125,30.375,30.375,201400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,30.5,29.75,29.875,159000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,30.75,30.0,30.75,193500.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,31.5,29.75,31.375,176600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,31.5,30.5,31.25,168500.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,31.25,30.0,30.25,89100.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,30.375,29.75,30.0,130000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,30.25,29.75,30.25,172100.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,30.75,30.25,30.5,217200.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,30.375,29.75,29.875,140200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,30.625,30.0,30.5,119800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,30.75,30.25,30.375,72500.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,30.625,30.25,30.375,153300.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,31.25,30.25,31.25,192300.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,31.375,30.75,31.0,103800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,31.25,30.875,31.125,134200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,31.25,30.75,31.0,54600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,31.25,30.75,31.0,108500.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,31.375,31.0,31.125,74000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,31.875,31.0,31.875,36200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,31.875,31.125,31.125,95600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,30.875,30.375,30.875,147100.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,32.0,30.375,31.875,193200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,32.25,31.875,32.0,293500.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,32.25,31.25,31.25,359900.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,31.25,30.625,31.25,385700.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,31.625,31.0,31.625,333400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,31.75,31.375,31.75,107900.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,33.0,31.5,32.75,91500.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,33.25,32.625,33.125,191000.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,33.0,32.5,32.625,215500.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,32.75,32.25,32.75,171400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,32.875,32.625,32.625,235700.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,33.0,32.625,33.0,127300.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,33.25,32.75,33.125,116800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,32.875,32.625,32.75,113400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,33.0,32.5,33.0,142500.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,33.375,33.0,33.25,440200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,33.375,32.875,33.0,90600.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,33.375,33.0,33.375,143800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,33.25,33.0,33.0,231500.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,33.25,32.0,32.25,121700.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,32.25,31.75,31.75,206200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,31.5,29.625,31.0,443300.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,30.75,29.75,30.125,261100.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,30.625,30.25,30.375,69400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,30.75,30.125,30.75,100900.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,30.75,30.125,30.5,92600.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,30.625,30.375,30.5,93600.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,30.625,30.375,30.625,79000.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,30.625,30.375,30.625,79000.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,30.0,29.75,30.0,96100.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,30.0,29.625,30.0,89400.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-04,30.125,29.75,30.125,174400.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-05,30.125,28.25,28.75,224000.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-06,29.0,28.0,28.75,210800.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-09,29.375,28.75,29.25,140900.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-10,29.25,29.125,29.25,67400.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-11,29.25,29.125,29.25,121900.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-12,30.25,29.5,30.0,367000.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-16,30.5,29.5,29.625,203000.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-17,29.875,29.0,29.625,123100.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-18,29.875,29.5,29.5,152700.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-19,29.625,29.125,29.5,179100.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-20,29.5,27.875,27.875,122600.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-23,28.75,27.75,28.25,99600.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-24,28.375,27.25,27.75,218500.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-25,28.0,27.625,27.75,59600.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-26,28.375,27.75,28.125,86600.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-27,28.25,27.75,28.125,149900.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-30,28.125,27.75,28.125,141400.0,5960.028,5.4,128.9,8.26,3219.8
1990-05-01,28.125,27.875,28.0,29800.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-02,28.125,27.625,27.875,99600.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-03,28.0,27.125,27.25,129000.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-04,27.5,27.125,27.375,92800.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-07,27.5,27.125,27.5,63600.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-08,27.75,27.375,27.5,192100.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-09,27.625,27.0,27.25,81100.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-10,27.5,27.125,27.25,42000.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-11,27.625,27.125,27.5,153000.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-14,27.625,27.125,27.125,438100.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-15,27.875,27.25,27.625,269300.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-16,28.25,27.375,27.875,249900.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-17,28.375,28.0,28.25,265000.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-18,28.5,28.0,28.5,118300.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-21,28.875,28.125,28.375,135700.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-22,28.875,28.5,28.5,183500.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-23,28.875,28.25,28.375,127600.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-24,29.125,28.25,29.125,99600.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-25,29.125,29.0,29.0,107000.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-29,29.625,29.0,29.25,121800.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-30,29.625,29.25,29.5,124800.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-31,30.0,29.5,29.75,69500.0,5960.028,5.4,129.1,8.18,3186.7
1990-06-01,30.25,29.375,29.875,208800.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-04,30.5,29.875,30.375,106700.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-05,30.375,30.0,30.25,116600.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-06,30.125,29.5,29.5,100900.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-07,29.625,29.0,29.125,84200.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-08,29.375,29.0,29.25,87400.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-11,30.0,29.375,29.625,132100.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-12,30.375,29.5,30.125,80700.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-13,30.375,29.5,29.5,65300.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-14,29.625,29.125,29.5,65300.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-15,29.5,29.0,29.5,173200.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-18,29.5,28.75,28.75,173000.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-19,29.125,28.75,29.0,44600.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-20,29.375,29.0,29.25,49800.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-21,30.0,29.25,29.75,131400.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-22,30.0,28.875,28.875,174800.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-25,29.125,28.5,28.5,218800.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-26,28.75,27.5,27.875,175100.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-27,27.75,27.125,27.5,112000.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-28,27.875,27.375,27.5,61500.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-29,28.25,27.375,28.125,172400.0,5960.028,5.2,129.9,8.29,3210.8
1990-07-01,28.25,27.375,28.125,172400.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-02,28.25,27.5,27.5,151800.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-03,28.0,27.5,27.75,127400.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-05,28.125,27.375,28.0,254200.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-06,28.5,27.875,28.25,87800.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-09,28.75,28.375,28.75,103000.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-10,29.75,28.75,29.5,84900.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-11,29.75,28.875,29.125,91500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-12,29.125,28.75,29.125,77600.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-13,29.0,28.5,28.625,68500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-16,28.625,27.875,28.375,172000.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-17,28.75,28.25,28.75,172500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-18,29.0,28.625,29.0,75800.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-19,29.0,28.625,28.75,165500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-20,29.0,27.75,27.75,70600.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-23,27.875,26.75,27.25,77900.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-24,27.875,27.125,27.375,96800.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-25,27.875,27.25,27.625,57500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-26,28.25,27.375,28.0,114000.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-27,28.25,27.25,27.625,141000.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-30,27.75,27.0,27.75,40500.0,6015.116,5.5,130.5,8.15,3224.5
1990-07-31,27.5,27.0,27.125,70000.0,6015.116,5.5,130.5,8.15,3224.5
1990-08-01,27.125,26.25,26.25,105600.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-02,26.125,24.75,25.375,148400.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-03,26.0,24.5,26.0,127700.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-06,25.625,24.625,25.125,258400.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-07,25.375,24.5,24.875,97100.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-08,25.25,24.75,24.75,130200.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-09,25.25,24.625,25.125,145600.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-10,25.375,24.875,24.875,97400.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-13,26.75,24.75,26.75,163000.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-14,26.75,26.125,26.25,101700.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-15,26.375,25.875,25.875,84100.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-16,25.625,24.75,24.875,81200.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-17,24.0,23.0,23.875,112500.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-20,23.875,23.375,23.5,61100.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-21,23.5,22.75,22.875,128000.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-22,23.75,23.25,23.625,210500.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-23,23.25,22.25,22.25,285800.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-24,22.875,21.0,21.5,432700.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-27,22.25,21.625,22.0,235300.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-28,23.25,22.0,23.0,128700.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-29,24.75,23.125,24.375,79000.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-30,24.625,23.25,23.25,90400.0,6015.116,5.7,131.6,8.13,3238.7
1990-08-31,23.375,22.75,23.125,86800.0,6015.116,5.7,131.6,8.13,3238.7
1990-09-01,23.375,22.75,23.125,86800.0,6015.116,5.9,132.5,8.2,3249.0
1990-09-04,23.5,22.875,23.5,90400.0,6015.116,5.9,132.5,8.2,3249.0
1990-09-05,24.625,23.875,24.5,236100.0,6015.116,5.9,132.5,8.2,3249.0
1990-09-06,24.625,23.5,23.625,120900.0,6015.116,5.9,132.5,8.2,3249.0
