,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1994-04-07,21.0,20.75,20.75,52000.0,7246.931,6.4,147.2,3.56,3503.1,50.12876882050934,-0.048222909427955804,20.8805937625716,-0.25,21.400828921962436,20.249171078037563,20.833333333333332,20.666666666666664,20.583333333333332,20.416666666666664,20.916666666666664,21.083333333333332,21.166666666666664
20,1994-04-08,20.75,20.5,20.5,24000.0,7246.931,6.4,147.2,3.56,3503.1,42.90070329011667,-0.053998862704566435,20.878851947903357,-0.5,21.39938506937823,20.213114930621767,20.583333333333332,20.416666666666664,20.333333333333332,20.166666666666664,20.666666666666664,20.833333333333332,20.916666666666664
21,1994-04-11,20.625,20.375,20.375,44400.0,7246.931,6.4,147.2,3.56,3503.1,39.60601661580093,-0.06262160681179552,20.874621820932212,-0.75,21.412933460611423,20.174566539388575,20.458333333333332,20.291666666666664,20.208333333333332,20.041666666666664,20.541666666666664,20.708333333333332,20.791666666666664
22,1994-04-12,20.5,20.25,20.5,15100.0,7246.931,6.4,147.2,3.56,3503.1,44.52208322884887,-0.0704396164623681,20.87355522663851,-0.125,21.41630421185144,20.158695788148563,20.416666666666668,20.333333333333336,20.166666666666668,20.083333333333336,20.583333333333336,20.666666666666668,20.833333333333336
23,1994-04-13,20.5,20.375,20.375,30500.0,7246.931,6.4,147.2,3.56,3503.1,40.699466894985896,-0.07917715702118884,20.870704523724715,-0.125,21.327437552448966,20.147562447551035,20.416666666666668,20.333333333333336,20.291666666666668,20.208333333333336,20.458333333333336,20.541666666666668,20.583333333333336
24,1994-04-14,20.5,20.375,20.375,38800.0,7246.931,6.4,147.2,3.56,3503.1,40.69946689498589,-0.08785254466808776,20.867124830166205,-0.25,21.281513451896725,20.118486548103274,20.416666666666668,20.333333333333336,20.291666666666668,20.208333333333336,20.458333333333336,20.541666666666668,20.583333333333336
25,1994-04-15,20.5,20.125,20.125,12200.0,7246.931,6.4,147.2,3.56,3503.1,33.1262085104091,-0.09982256818660992,20.86544353865295,-0.5,21.273304761708694,20.039195238291306,20.25,20.0,19.875,19.625,20.375,20.625,20.75
26,1994-04-18,20.375,20.125,20.125,39800.0,7246.931,6.4,147.2,3.56,3503.1,33.1262085104091,-0.11300260140446781,20.860011244446902,0.0,21.27003920732571,19.967460792674288,20.208333333333332,20.041666666666664,19.958333333333332,19.791666666666664,20.291666666666664,20.458333333333332,20.541666666666664
27,1994-04-19,20.375,20.25,20.25,24500.0,7246.931,6.4,147.2,3.56,3503.1,40.49676756792223,-0.12399826835885469,20.857268690131022,-0.5,21.26199101388016,19.92550898611984,20.291666666666668,20.208333333333336,20.166666666666668,20.083333333333336,20.333333333333336,20.416666666666668,20.458333333333336
28,1994-04-20,20.25,20.125,20.25,72000.0,7246.931,6.4,147.2,3.56,3503.1,40.49676756792223,-0.13276578869041714,20.8493498025863,-0.625,21.15221549874081,19.93528450125919,20.208333333333332,20.166666666666664,20.083333333333332,20.041666666666664,20.291666666666664,20.333333333333332,20.416666666666664
29,1994-04-21,20.375,20.25,20.25,15000.0,7246.931,6.4,147.2,3.56,3503.1,40.49676756792223,-0.13937454189356244,20.847725959107002,-0.5,21.08818755317,19.924312446830005,20.291666666666668,20.208333333333336,20.166666666666668,20.083333333333336,20.333333333333336,20.416666666666668,20.458333333333336
30,1994-04-22,20.5,20.125,20.5,20700.0,7246.931,6.4,147.2,3.56,3503.1,55.54896942740997,-0.13997751315737927,20.84643069226755,0.0,21.01482656186196,19.94767343813804,20.375,20.25,20.0,19.875,20.625,20.75,21.0
31,1994-04-25,20.5,20.25,20.25,27300.0,7246.931,6.4,147.2,3.56,3503.1,42.998483957465524,-0.14045413482452213,20.843514970274335,-0.125,20.885448540277626,19.989551459722374,20.333333333333332,20.166666666666664,20.083333333333332,19.916666666666664,20.416666666666664,20.583333333333332,20.666666666666664
32,1994-04-26,20.5,20.375,20.5,64000.0,7246.931,6.4,147.2,3.56,3503.1,54.78563528208101,-0.13651785034407796,20.839622725019474,0.0,20.871607211459313,19.990892788540684,20.458333333333332,20.416666666666664,20.333333333333332,20.291666666666664,20.541666666666664,20.583333333333332,20.666666666666664
33,1994-04-28,20.75,20.5,20.625,27100.0,7246.931,6.4,147.2,3.56,3503.1,59.60478369851744,-0.1277165345294326,20.838597920888027,0.25,20.885448540277626,19.989551459722374,20.625,20.5,20.375,20.25,20.75,20.875,21.0
34,1994-04-29,20.625,20.5,20.5,5500.0,7246.931,6.4,147.2,3.56,3503.1,53.07723573235365,-0.11803050102202942,20.83827011089597,0.125,20.871607211459313,19.990892788540684,20.541666666666668,20.458333333333336,20.416666666666668,20.333333333333336,20.583333333333336,20.666666666666668,20.708333333333336
35,1994-05-01,20.625,20.5,20.5,5500.0,7246.931,6.1,147.5,4.01,3474.5,53.07723573235365,-0.10802868609956005,20.83794293502154,0.375,20.857252362935327,19.992747637064674,20.541666666666668,20.458333333333336,20.416666666666668,20.333333333333336,20.583333333333336,20.666666666666668,20.708333333333336
36,1994-05-02,20.625,20.5,20.625,11700.0,7246.931,6.1,147.5,4.01,3474.5,59.0481195145311,-0.09611273594740179,20.837505703555507,0.5,20.866754376733258,20.03324562326674,20.583333333333332,20.541666666666664,20.458333333333332,20.416666666666664,20.666666666666664,20.708333333333332,20.791666666666664
37,1994-05-03,20.625,20.375,20.5,29000.0,7246.931,6.1,147.5,4.01,3474.5,51.48829906397275,-0.08539693834085639,20.83579672440285,0.25,20.830698757828543,20.044301242171457,20.5,20.375,20.25,20.125,20.625,20.75,20.875
