,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-26,5.697853088378906,5.488372802734375,5.697853088378906,508402.0,5872.701,5.4,127.5,8.23,3170.4,49.12963371536593,-0.09757281512430979,5.813934548075998,-0.1256880760192871,6.234346938997663,5.398071550458513,5.6280263264973955,5.558199564615885,5.418546040852864,5.348719278971354,5.767679850260416,5.837506612141927,5.977160135904947
20,1990-01-29,5.781644821166992,5.530269145965576,5.697853088378906,695771.0,5872.701,5.4,127.5,8.23,3170.4,49.12963371536591,-0.0993669753671442,5.805832123231195,0.0,6.207751527257019,5.391150173716491,5.669922351837158,5.558199882507324,5.418546676635742,5.306824207305908,5.80957555770874,5.921298027038574,6.060951232910156
21,1990-01-30,5.781644821166992,5.655957221984863,5.718801021575928,381898.0,5872.701,5.4,127.5,8.23,3170.4,51.218497784747925,-0.09873478193915462,5.802620830630273,0.020947933197021484,6.165415919559189,5.395779406292251,5.718801021575928,5.655957221984863,5.593113422393799,5.530269622802734,5.781644821166992,5.844488620758057,5.907332420349121
22,1990-01-31,5.970177173614502,5.760696887969971,5.970177173614502,521530.0,5872.701,5.4,127.5,8.23,3170.4,68.90045020160453,-0.09237934143004374,5.810658829520458,0.31421995162963867,6.162062963263568,5.3970375692681705,5.900350411732991,5.8305236498514805,5.69087012608846,5.621043364206949,6.040003935496012,6.1098306973775225,6.249484221140543
23,1990-02-01,5.949228763580322,5.844489097595215,5.907332897186279,177821.0,5872.701,5.3,128.0,8.24,3170.5,62.37820008124199,-0.08356193574251393,5.812214632997971,0.18853187561035156,6.146140570927365,5.4024859473221465,5.900350252787272,5.851471741994223,5.795610586802165,5.746732076009115,5.95621140797933,6.00508991877238,6.060951073964437
24,1990-02-02,6.095864772796631,5.949228763580322,6.033020973205566,1449423.0,5872.701,5.3,128.0,8.24,3170.5,69.1232252450596,-0.07146790655383413,5.837820407565742,0.4189600944519043,6.153808691834681,5.3990074130542345,6.02603816986084,5.956211566925049,5.879402160644531,5.80957555770874,6.102847576141357,6.172674179077148,6.249483585357666
25,1990-02-05,6.033020973205566,5.970177173614502,5.991125106811523,696368.0,5872.701,5.3,128.0,8.24,3170.5,64.66426735817618,-0.05845967649159964,5.845910973872061,0.48180389404296875,6.146140570927365,5.4024859473221465,5.99810775121053,5.963194529215494,5.935263951619466,5.90035072962443,6.026038328806559,6.060951550801595,6.088882128397623
26,1990-02-06,6.033020973205566,5.991125106811523,6.012073040008545,723817.0,5872.701,5.3,128.0,8.24,3170.5,65.93213017979411,-0.04509290248026685,5.854551748748579,0.5027518272399902,6.15331880239569,5.399497302493225,6.012073040008545,5.991125106811523,5.970177173614502,5.9492292404174805,6.033020973205566,6.053968906402588,6.074916839599609
27,1990-02-07,6.074916839599609,5.928280830383301,6.053968906402588,621778.0,5872.701,5.3,128.0,8.24,3170.5,68.53727795063753,-0.031430908523680565,5.863079024146522,0.4189600944519043,6.148879831543374,5.4018414800258405,6.019055525461833,5.963194211324057,5.872419516245524,5.816558202107748,6.109830220540365,6.165691534678142,6.256466229756674
28,1990-02-08,6.053968906402588,5.928280830383301,5.991125106811523,354449.0,5872.701,5.3,128.0,8.24,3170.5,60.526542078985514,-0.01923105944383624,5.8661260278644605,0.46085596084594727,6.141127800412482,5.405403924517328,5.991124947865804,5.92828098932902,5.865436871846517,5.8025929133097325,6.053969065348307,6.116813023885091,6.179657141367594
