,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-26,2.6875,2.5,2.59375,3225600.0,5872.701,5.4,127.5,8.23,3170.4,15.404710848993986,-0.10895225172454225,2.8619425630113584,-0.21875,3.3247705391519844,2.4939794608480153,2.59375,2.5,2.40625,2.3125,2.6875,2.78125,2.875
20,1990-01-29,2.59375,2.46875,2.5625,2889600.0,5872.701,5.4,127.5,8.23,3170.4,14.004713773724404,-0.11491821031848018,2.8465673243681233,-0.203125,3.2927368253481006,2.460388174651899,2.5416666666666665,2.489583333333333,2.4166666666666665,2.364583333333333,2.614583333333333,2.6666666666666665,2.739583333333333
21,1990-01-30,2.5625,2.5,2.5,1430400.0,5872.701,5.4,127.5,8.23,3170.4,11.576768799072255,-0.12165888358802167,2.837976890232068,-0.28125,3.2602120936840953,2.4226004063159046,2.5208333333333335,2.479166666666667,2.4583333333333335,2.416666666666667,2.541666666666667,2.5833333333333335,2.604166666666667
22,1990-01-31,2.59375,2.5,2.5625,349600.0,5872.701,5.4,127.5,8.23,3170.4,26.316307477873977,-0.12725733957438026,2.8363180540436264,-0.25,3.213202192880421,2.407110307119579,2.5520833333333335,2.510416666666667,2.4583333333333335,2.416666666666667,2.604166666666667,2.6458333333333335,2.697916666666667
23,1990-02-01,2.5625,2.5,2.53125,1361600.0,5872.701,5.3,128.0,8.24,3170.5,24.007526003088046,-0.13205492586242332,2.8293272790919985,-0.28125,3.152807691436311,2.4003173085636886,2.53125,2.5,2.46875,2.4375,2.5625,2.59375,2.625
24,1990-02-02,2.5625,2.4375,2.4375,605600.0,5872.701,5.3,128.0,8.24,3170.5,18.415091370192243,-0.13729379174585282,2.825374017059843,-0.4375,3.096476594841492,2.3832109051585078,2.4791666666666665,2.395833333333333,2.3541666666666665,2.270833333333333,2.520833333333333,2.6041666666666665,2.645833333333333
25,1990-02-05,2.5,2.40625,2.46875,1244800.0,5872.701,5.3,128.0,8.24,3170.5,25.12358771656848,-0.1417231173025964,2.8181284764839525,-0.34375,3.01799238451011,2.39138261548989,2.4583333333333335,2.416666666666667,2.3645833333333335,2.322916666666667,2.510416666666667,2.5520833333333335,2.604166666666667
26,1990-02-06,2.46875,2.40625,2.46875,2666400.0,5872.701,5.3,128.0,8.24,3170.5,25.12358771656848,-0.14508983044920584,2.803557742839625,-0.3125,2.966558104549265,2.3865668954507355,2.4479166666666665,2.427083333333333,2.3854166666666665,2.364583333333333,2.489583333333333,2.5104166666666665,2.552083333333333
27,1990-02-07,2.46875,2.4375,2.46875,1289600.0,5872.701,5.3,128.0,8.24,3170.5,25.12358771656848,-0.14728334098474274,2.7969380511707205,-0.25,2.9606941172835253,2.361180882716475,2.4583333333333335,2.447916666666667,2.4270833333333335,2.416666666666667,2.479166666666667,2.4895833333333335,2.510416666666667
28,1990-02-08,2.46875,2.34375,2.34375,3352000.0,5872.701,5.3,128.0,8.24,3170.5,16.690476817128484,-0.15028513687333486,2.774786443811901,-0.3125,2.9622921119341554,2.3142703880658444,2.3854166666666665,2.302083333333333,2.2604166666666665,2.177083333333333,2.427083333333333,2.5104166666666665,2.552083333333333
29,1990-02-09,2.5625,2.4375,2.53125,3427200.0,5872.701,5.3,128.0,8.24,3170.5,47.30443054778904,-0.15030220804347508,2.763194753069274,-0.0625,2.940718644768002,2.3077188552319976,2.5104166666666665,2.458333333333333,2.3854166666666665,2.333333333333333,2.583333333333333,2.6354166666666665,2.708333333333333
30,1990-02-12,2.59375,2.53125,2.59375,338400.0,5872.701,5.3,128.0,8.24,3170.5,53.82990630518183,-0.14710789655257606,2.762402132082983,0.03125,2.925216730305709,2.306033269694291,2.5729166666666665,2.552083333333333,2.5104166666666665,2.489583333333333,2.614583333333333,2.6354166666666665,2.677083333333333
