,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-26,3.179687976837158,3.039062976837158,3.132812976837158,539200.0,5872.701,5.4,127.5,8.23,3170.4,6.836372405906388,-0.10001653232909322,3.5176958077011533,-0.5703120231628418,4.137241815660582,3.04947736349286,3.117187976837158,3.054687976837158,2.976562976837158,2.914062976837158,3.195312976837158,3.257812976837158,3.335937976837158
20,1990-01-29,3.140625,3.0625,3.101562976837158,256000.0,5872.701,5.4,127.5,8.23,3170.4,6.241553528108398,-0.11419137571106387,3.507626047728643,-0.5078120231628418,4.139671172566699,2.9806418042704594,3.1015626589457193,3.0625003178914385,3.0234376589457193,2.9843753178914385,3.1406253178914385,3.1796876589457193,3.2187503178914385
21,1990-01-30,3.09375,3.015625,3.039062976837158,534400.0,5872.701,5.4,127.5,8.23,3170.4,5.197882973765076,-0.1277805611505981,3.485095085206651,-0.546875,4.130073624597633,2.9113331499232418,3.049479325612386,3.0052086512247724,2.971354325612386,2.9270836512247724,3.0833336512247724,3.127604325612386,3.1614586512247724
22,1990-01-31,3.203125,3.039062976837158,3.1875,526400.0,5872.701,5.4,127.5,8.23,3170.4,34.988102274948105,-0.1376308362253009,3.4716368332433536,-0.3671879768371582,4.086124170077972,2.8849701044429024,3.143229325612386,3.0833336512247724,2.9791673024495444,2.9192716280619306,3.2473956743876142,3.307291348775228,3.411457697550456
23,1990-02-01,3.203125,3.164062976837158,3.1875,225600.0,5872.701,5.3,128.0,8.24,3170.5,34.988102274948105,-0.1443075785062211,3.466234555265021,-0.3046879768371582,4.034801965817181,2.8667610110199773,3.1848959922790527,3.1666669845581055,3.145833969116211,3.1276049613952637,3.2057290077209473,3.2239580154418945,3.244791030883789
24,1990-02-02,3.28125,3.148437976837158,3.25,601600.0,5872.701,5.3,128.0,8.24,3170.5,44.72495048152254,-0.14731914889139758,3.455800238943198,-0.171875,3.9792207594580464,2.8621859196953956,3.2265626589457193,3.1718753178914385,3.0937506357828775,3.0390632947285967,3.3046873410542803,3.359374682108561,3.437499364217122
25,1990-02-05,3.25,3.203125,3.234375,203200.0,5872.701,5.3,128.0,8.24,3170.5,42.87272211701316,-0.14778910665189035,3.4522491585863615,-0.015625,3.8954685372472238,2.876406844222503,3.2291666666666665,3.208333333333333,3.1822916666666665,3.161458333333333,3.255208333333333,3.2760416666666665,3.302083333333333
26,1990-02-06,3.21875,3.15625,3.171875,208000.0,5872.701,5.3,128.0,8.24,3170.5,35.99300385773212,-0.1473017046245055,3.447720814616151,-0.0859379768371582,3.833859148954744,2.8755162325149826,3.1822916666666665,3.145833333333333,3.1197916666666665,3.083333333333333,3.208333333333333,3.2447916666666665,3.270833333333333
27,1990-02-07,3.242187976837158,3.140625,3.21875,496000.0,5872.701,5.3,128.0,8.24,3170.5,43.79765035188146,-0.14515620482011557,3.439229254318148,0.015625,3.7624624889163343,2.889881594869676,3.2005209922790527,3.1588540077209473,3.0989580154418945,3.057291030883789,3.2604169845581055,3.302083969116211,3.3619799613952637
28,1990-02-08,3.242187976837158,3.171875,3.171875,2708800.0,5872.701,5.3,128.0,8.24,3170.5,38.395637859207994,-0.14250093499180422,3.394200329471289,0.03125,3.680220533154244,2.9111860506317666,3.1953126589457193,3.1484373410542803,3.124999682108561,3.078124364217122,3.2187503178914385,3.2656256357828775,3.2890632947285967
29,1990-02-09,3.25,3.171875,3.234375,1139200.0,5872.701,5.3,128.0,8.24,3170.5,48.22093359124292,-0.13834340536743814,3.38362845706479,0.1015620231628418,3.606012165799165,2.938519417986846,3.21875,3.1875,3.140625,3.109375,3.265625,3.296875,3.34375
30,1990-02-12,3.234375,3.171875,3.1875,395200.0,5872.701,5.3,128.0,8.24,3170.5,42.37264363592843,-0.13389478362245189,3.379228881286477,0.0859370231628418,3.5463010040549183,2.9560430797310926,3.1979166666666665,3.161458333333333,3.1354166666666665,3.098958333333333,3.223958333333333,3.2604166666666665,3.286458333333333
31,1990-02-13,3.179687976837158,3.15625,3.164062976837158,211200.0,5872.701,5.3,128.0,8.24,3170.5,39.601768603948464,-0.12956566579879106,3.376680025557561,0.125,3.4815376441347663,2.978618939651245,3.1666669845581055,3.1536459922790527,3.1432290077209473,3.1302080154418945,3.177083969116211,3.1901049613952637,3.200521945953369
32,1990-02-14,3.179687976837158,3.15625,3.171875,371200.0,5872.701,5.3,128.0,8.24,3170.5,41.08352600816703,-0.1251184475999053,3.3725029032780576,-0.015625,3.4114842458817023,3.0103910402205925,3.1692709922790527,3.1588540077209473,3.1458330154418945,3.135416030883789,3.1822919845581055,3.192708969116211,3.2057299613952637
33,1990-02-15,3.179687976837158,3.15625,3.179687976837158,208000.0,5872.701,5.3,128.0,8.24,3170.5,42.7055830034015,-0.12042051516723601,3.370324203544262,-0.007812023162841797,3.346122347779643,3.0445029383226516,3.171875317891439,3.1640626589457197,3.1484373410542807,3.1406246821085615,3.187500635782878,3.195313294728597,3.210938612620036
34,1990-02-16,3.179687976837158,3.148437976837158,3.148437976837158,324800.0,5872.701,5.3,128.0,8.24,3170.5,37.89111662457629,-0.11603582607700243,3.366477013245189,-0.1015620231628418,3.2894029919897703,3.07387859179624,3.1588546435038247,3.1380213101704912,3.1276046435038247,3.1067713101704912,3.1692713101704912,3.1901046435038247,3.2005213101704912
35,1990-02-20,3.140625,3.015625,3.046875,281600.0,5872.701,5.3,128.0,8.24,3170.5,26.632067887573527,-0.11343323335150576,3.3617437622917095,-0.1875,3.2898827415204415,3.0530863422655696,3.0677083333333335,2.994791666666667,2.9427083333333335,2.869791666666667,3.119791666666667,3.1927083333333335,3.244791666666667
36,1990-02-21,3.132812976837158,3.03125,3.132812976837158,420800.0,5872.701,5.3,128.0,8.24,3170.5,43.13045999504827,-0.11045442880100047,3.3567870819118175,-0.0390620231628418,3.2774821781079932,3.0529869056780177,3.098958651224772,3.0651043256123858,2.997395674387614,2.9635413487752276,3.166667302449544,3.20052162806193,3.268230279286702
37,1990-02-22,3.132812976837158,3.078125,3.078125,148800.0,5872.701,5.3,128.0,8.24,3170.5,37.018158215635715,-0.10801674256808681,3.3546697964855268,-0.140625,3.276160892743516,3.041808191042495,3.096354325612386,3.0598956743876142,3.041666348775228,3.005207697550456,3.1145836512247724,3.1510423024495444,3.1692716280619306
38,1990-02-23,3.085937976837158,3.046875,3.046875,262400.0,5872.701,5.3,128.0,8.24,3170.5,33.85480900407728,-0.10629838984657296,3.350600274829317,-0.125,3.281626647474647,3.0269674363113634,3.0598959922790527,3.0338540077209473,3.0208330154418945,2.994791030883789,3.0729169845581055,3.098958969116211,3.1119799613952637
39,1990-02-26,3.15625,3.046875,3.15625,244800.0,5872.701,5.3,128.0,8.24,3170.5,50.82517197202894,-0.1031336905458755,3.3482322257691206,-0.078125,3.282396737837318,3.0285410482649775,3.1197916666666665,3.083333333333333,3.0104166666666665,2.973958333333333,3.192708333333333,3.2291666666666665,3.302083333333333
40,1990-02-27,3.335937976837158,3.15625,3.335937976837158,1483200.0,5872.701,5.3,128.0,8.24,3170.5,66.9155347380916,-0.09612646872947339,3.3473870189491914,0.1484379768371582,3.3147591278400013,3.019616158262294,3.2760419845581055,3.2161459922790527,3.0963540077209473,3.0364580154418945,3.395833969116211,3.4557299613952637,3.575521945953369
41,1990-02-28,3.453125,3.351562976837158,3.4375,2740800.0,5872.701,5.3,128.0,8.24,3170.5,72.7339580644227,-0.08523870395942819,3.3575445195440476,0.2734370231628418,3.366087656351868,3.008131332066711,3.4140626589457193,3.3750003178914385,3.3125006357828775,3.2734382947285967,3.4765623410542803,3.515624682108561,3.578124364217122
42,1990-03-01,3.5625,3.40625,3.5625,1280000.0,5872.701,5.2,128.6,8.28,3192.6,78.18282585406926,-0.07030086642243095,3.3677942153848157,0.390625,3.4512568074239915,2.960462180994588,3.5104166666666665,3.458333333333333,3.3541666666666665,3.302083333333333,3.614583333333333,3.6666666666666665,3.770833333333333
43,1990-03-02,3.6875,3.546875,3.679687976837158,644800.0,5872.701,5.2,128.6,8.28,3192.6,82.06082411725924,-0.0515776922430555,3.3754584340351386,0.5,3.554297358373333,2.906640427728962,3.6380209922790527,3.5885419845581055,3.4973959922790527,3.4479169845581055,3.7291669845581055,3.7786459922790527,3.8697919845581055
44,1990-03-05,3.71875,3.664062976837158,3.664062976837158,824000.0,5872.701,5.2,128.6,8.28,3192.6,79.87651990477318,-0.031595173875027235,3.3842453887819928,0.515625,3.6287427014195157,2.873601382366495,3.6822919845581055,3.645833969116211,3.6276049613952637,3.591146945953369,3.7005209922790527,3.7369790077209473,3.7552080154418945
45,1990-03-06,3.671875,3.601562976837158,3.625,504000.0,5872.701,5.2,128.6,8.28,3192.6,74.18063734354182,-0.01242205478807067,3.3886468805134884,0.578125,3.6833950772441346,2.8580115065418763,3.6328126589457193,3.5937503178914385,3.5625006357828775,3.5234382947285967,3.6640623410542803,3.703124682108561,3.734374364217122
