,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-26,20.0,19.375,19.5625,217600.0,5872.701,5.4,127.5,8.23,3170.4,33.06923607454662,-0.2172987599227562,20.56952018697585,-1.3125,22.48525588731899,18.98349411268101,19.645833333333332,19.291666666666664,19.020833333333332,18.666666666666664,19.916666666666664,20.270833333333332,20.541666666666664
20,1990-01-29,19.8125,19.25,19.25,216000.0,5872.701,5.4,127.5,8.23,3170.4,28.330356639066636,-0.2587171328031871,20.50729225798,-1.375,22.527737938850564,18.784762061149436,19.4375,19.0625,18.875,18.5,19.625,20.0,20.1875
21,1990-01-30,19.5,19.0,19.375,275800.0,5872.701,5.4,127.5,8.23,3170.4,32.7764717080898,-0.2951608646774944,20.442982907742998,-1.5,22.510288660037713,18.62721133996229,19.291666666666668,19.083333333333336,18.791666666666668,18.583333333333336,19.583333333333336,19.791666666666668,20.083333333333336
22,1990-01-31,19.75,19.375,19.5625,304000.0,5872.701,5.4,127.5,8.23,3170.4,39.294451482090096,-0.32291196299175434,20.39110949612403,-0.875,22.38996485604906,18.54128514395094,19.5625,19.375,19.1875,19.0,19.75,19.9375,20.125
23,1990-02-01,19.6875,19.4375,19.5,609400.0,5872.701,5.3,128.0,8.24,3170.5,37.88175630242581,-0.34402109787984264,20.296984955107984,-0.75,22.167631377282667,18.51361862271733,19.541666666666668,19.395833333333336,19.291666666666668,19.145833333333336,19.645833333333336,19.791666666666668,19.895833333333336
24,1990-02-02,19.625,19.375,19.625,361600.0,5872.701,5.3,128.0,8.24,3170.5,42.64058273788205,-0.3570822073719122,20.25735198173218,-0.3125,21.945691369812998,18.516808630187,19.541666666666668,19.458333333333336,19.291666666666668,19.208333333333336,19.708333333333336,19.791666666666668,19.958333333333336
25,1990-02-05,19.75,19.5,19.6875,122200.0,5872.701,5.3,128.0,8.24,3170.5,45.06842603117581,-0.36260327194182945,20.24621593744003,0.1875,21.700122451283576,18.556127548716425,19.645833333333332,19.541666666666664,19.395833333333332,19.291666666666664,19.791666666666664,19.895833333333332,20.041666666666664
26,1990-02-06,19.75,19.4375,19.5625,123800.0,5872.701,5.3,128.0,8.24,3170.5,41.05799071907632,-0.36427681489204994,20.232942606241178,0.25,21.464537632219564,18.591712367780435,19.583333333333332,19.416666666666664,19.270833333333332,19.104166666666664,19.729166666666664,19.895833333333332,20.041666666666664
27,1990-02-07,20.0,19.4375,20.0,281400.0,5872.701,5.3,128.0,8.24,3170.5,56.640023503964265,-0.35564075841625553,20.22309789138532,0.0,21.17113296537715,18.722617034622846,19.8125,19.625,19.25,19.0625,20.1875,20.375,20.75
28,1990-02-08,20.0625,19.875,19.9375,112400.0,5872.701,5.3,128.0,8.24,3170.5,54.27492999586968,-0.3411821348712254,20.218356767294853,0.375,20.875548351926987,18.86820164807301,19.958333333333332,19.854166666666664,19.770833333333332,19.666666666666664,20.041666666666664,20.145833333333332,20.229166666666664
29,1990-02-09,20.1875,19.875,20.0625,156600.0,5872.701,5.3,128.0,8.24,3170.5,58.29379541246419,-0.321060058933317,20.214833487311257,0.5,20.72355998272074,18.93894001727926,20.041666666666668,19.895833333333336,19.729166666666668,19.583333333333336,20.208333333333336,20.354166666666668,20.520833333333336
