,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1995-11-09,0.9657059907913208,0.8998630046844482,0.8998630046844482,92264.0,7772.586,5.6,153.7,5.8,3622.9,48.472452498941436,-0.005346717047660042,0.9082159128337246,0.010973989963531494,0.9479856759030753,0.8561298340838023,0.9218106667200724,0.877915342648824,0.8559676806131998,0.8120723565419514,0.9437583287556965,0.987653652826945,1.009601314862569
20,1995-11-10,0.9657059907913208,0.8998630046844482,0.8998630046844482,117323.0,7772.586,5.6,153.7,5.8,3622.9,48.472452498941436,-0.004720909169426089,0.9081675706218694,0.010973989963531494,0.9459400409391598,0.8559806710550113,0.9218106667200724,0.877915342648824,0.8559676806131998,0.8120723565419514,0.9437583287556965,0.987653652826945,1.009601314862569
21,1995-11-13,0.9657059907913208,0.8998630046844482,0.9327849745750428,332606.0,7772.586,5.6,153.7,5.8,3622.9,60.15045629884488,-0.0037175197673357053,0.9085649544876203,0.04389595985412609,0.9459400409391598,0.8559806710550113,0.9327846566836039,0.899863322575887,0.8669416705767313,0.8340203364690144,0.9657063086827595,0.9986276427904764,1.031549294789632
22,1995-11-14,0.9876539707183838,0.8998630046844482,0.943759024143219,1973995.0,7772.586,5.6,153.7,5.8,3622.9,63.34555851997319,-0.0023465113804999782,0.9116419051193101,0.054870009422302246,0.9501431178915922,0.8539723980557496,0.9437586665153503,0.8998633623123169,0.8559677004814148,0.8120723962783813,0.9876543283462524,1.0315496325492859,1.075445294380188
23,1995-11-15,0.9657059907913208,0.8779150247573853,0.8998630046844482,374752.0,7772.586,5.6,153.7,5.8,3622.9,46.2357416391209,-0.0015119442402127623,0.9114495939267605,0.010973989963531494,0.9499037981915387,0.8564065157485096,0.9144946734110514,0.863283356030782,0.8267037073771158,0.7754923899968464,0.9510743220647175,1.0022856394449868,1.038865288098653
24,1995-11-16,0.9876539707183838,0.9218109846115112,0.943759024143219,1128811.0,7772.586,5.6,153.7,5.8,3622.9,59.0104332885315,-0.0003535760892721632,0.9129640508190084,0.06584399938583374,0.9554767377723787,0.8563205771098996,0.9510746598243713,0.9144953489303589,0.8852316737174988,0.8486523628234863,0.9803383350372314,1.016917645931244,1.046181321144104
25,1995-11-17,0.9657059907913208,0.943759024143219,0.943759024143219,686855.0,7772.586,5.6,153.7,5.8,3622.9,59.0104332885315,0.0009478265609215643,0.9138180116104505,0.06584399938583374,0.9589708572036075,0.8550212616318418,0.9510746796925863,0.9364433685938518,0.9291277130444845,0.91449640194575,0.9583903352419536,0.9730216463406881,0.9803373018900554
26,1995-11-20,0.943759024143219,0.8779150247573853,0.8779150247573853,424870.0,7772.586,5.6,153.7,5.8,3622.9,40.02041952167533,0.001217995944057509,0.9132125407520728,0.0,0.9588747984663397,0.85182512338005,0.8998630245526632,0.8559670249621074,0.8340190251668295,0.7901230255762737,0.9218110243479412,0.965707023938497,0.9876550237337749
27,1995-11-21,0.943759024143219,0.8779150247573853,0.943759024143219,34172.0,7772.586,5.6,153.7,5.8,3622.9,56.26131863617708,0.0018753720633843814,0.9132539168520803,-0.021946966648101807,0.9636595325082747,0.8514299912839921,0.921811024347941,0.8998630245526631,0.8559670249621073,0.8340190251668294,0.9657070239384968,0.9876550237337748,1.0315510233243306
28,1995-11-22,0.943759024143219,0.8779150247573853,0.943759024143219,31894.0,7772.586,5.6,153.7,5.8,3622.9,56.26131863617708,0.0027367067687957937,0.9132924337036034,0.021948039531707764,0.9679826847201867,0.8514964410179573,0.921811024347941,0.8998630245526631,0.8559670249621073,0.8340190251668294,0.9657070239384968,0.9876550237337748,1.0315510233243306
