,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1995-07-13,9.0,8.8125,8.9375,384000.0,7683.125,5.7,152.6,5.85,3569.7,89.48850955794128,0.05800338491076315,7.487492094722788,1.9375,8.702721079210253,6.178528920789746,8.916666666666666,8.833333333333332,8.729166666666666,8.645833333333332,9.020833333333332,9.104166666666666,9.208333333333332
20,1995-07-14,8.9375,8.75,8.9375,102200.0,7683.125,5.7,152.6,5.85,3569.7,89.48850955794128,0.11527933692030963,7.497831084475204,1.8125,8.941522485182755,6.083477514817246,8.875,8.8125,8.6875,8.625,9.0,9.0625,9.1875
21,1995-07-17,9.5,9.0625,9.4375,480200.0,7683.125,5.7,152.6,5.85,3569.7,92.52788494250092,0.17808559817580577,7.5607085476663025,2.3125,9.282320284771712,5.967679715228288,9.333333333333334,9.166666666666668,8.895833333333334,8.729166666666668,9.604166666666668,9.770833333333334,10.041666666666668
22,1995-07-18,9.4375,9.0,9.0625,359200.0,7683.125,5.7,152.6,5.85,3569.7,74.00903700789262,0.23467694304516848,7.596262341325811,2.0,9.480692334321326,5.9568076656786735,9.166666666666666,8.895833333333332,8.729166666666666,8.458333333333332,9.333333333333332,9.604166666666666,9.770833333333332
23,1995-07-19,9.0,8.8125,8.875,101600.0,7683.125,5.7,152.6,5.85,3569.7,66.34800763161167,0.28087995770090773,7.604768171164447,1.8125,9.615101909322846,6.003648090677156,8.895833333333334,8.791666666666668,8.708333333333334,8.604166666666668,8.979166666666668,9.083333333333334,9.166666666666668
24,1995-07-20,8.75,8.4375,8.6875,119600.0,7683.125,5.7,152.6,5.85,3569.7,59.26891990931024,0.3145180946278051,7.613180306357105,1.625,9.708728779458685,6.047521220541315,8.625,8.5,8.3125,8.1875,8.8125,8.9375,9.125
25,1995-07-21,8.75,8.6875,8.6875,13000.0,7683.125,5.7,152.6,5.85,3569.7,59.26891990931024,0.33780059253617756,7.614086799335358,1.125,9.791263270431491,6.10248672956851,8.708333333333334,8.666666666666668,8.645833333333334,8.604166666666668,8.729166666666668,8.770833333333334,8.791666666666668
26,1995-07-24,8.8125,8.5625,8.5625,112000.0,7683.125,5.7,152.6,5.85,3569.7,54.14165787900107,0.350607651642218,7.620931547542336,0.8125,9.83659686864167,6.2071531313583295,8.645833333333334,8.479166666666668,8.395833333333334,8.229166666666668,8.729166666666668,8.895833333333334,8.979166666666668
27,1995-07-25,8.8125,8.5625,8.75,201000.0,7683.125,5.7,152.6,5.85,3569.7,60.11368271627503,0.35836988868165454,7.635368293489739,0.25,9.88497488009983,6.333775119900172,8.708333333333334,8.604166666666668,8.458333333333334,8.354166666666668,8.854166666666668,8.958333333333334,9.104166666666668
28,1995-07-26,9.1875,8.875,9.125,287800.0,7683.125,5.7,152.6,5.85,3569.7,69.33061219762736,0.3677293282079179,7.662150322346886,0.125,9.965848200051923,6.465401799948075,9.0625,8.9375,8.75,8.625,9.25,9.375,9.5625
29,1995-07-27,9.375,9.1875,9.3125,101600.0,7683.125,5.7,152.6,5.85,3569.7,72.93834664278863,0.37975254949273496,7.672559003550766,0.375,10.048566986342053,6.61393301365795,9.291666666666666,9.208333333333332,9.104166666666666,9.020833333333332,9.395833333333332,9.479166666666666,9.583333333333332
30,1995-07-28,9.4375,9.3125,9.3125,100400.0,7683.125,5.7,152.6,5.85,3569.7,72.93834664278863,0.3919495675742669,7.682716569193564,0.375,10.11250691710325,6.7687430828967505,9.354166666666666,9.270833333333332,9.229166666666666,9.145833333333332,9.395833333333332,9.479166666666666,9.520833333333332
31,1995-07-31,9.375,9.0625,9.25,60800.0,7683.125,5.7,152.6,5.85,3569.7,69.31958507663599,0.401725646933627,7.688573268020455,-0.1875,10.134696144475065,6.959053855524936,9.229166666666666,9.083333333333332,8.916666666666666,8.770833333333332,9.395833333333332,9.541666666666666,9.708333333333332
32,1995-08-01,9.1875,9.0,9.0625,57600.0,7683.125,5.7,152.9,5.74,3585.2,59.15949268690835,0.40556478356752595,7.693420045320921,0.0,10.086033082644885,7.207716917355114,9.083333333333334,8.979166666666668,8.895833333333334,8.791666666666668,9.166666666666668,9.270833333333334,9.354166666666668
33,1995-08-02,9.0,8.875,8.875,41000.0,7683.125,5.7,152.9,5.74,3585.2,50.60181873199944,0.40156568846205404,7.696379589467897,0.0,9.970009207822976,7.504990792177026,8.916666666666666,8.833333333333332,8.791666666666666,8.708333333333332,8.958333333333332,9.041666666666666,9.083333333333332
34,1995-08-03,8.8125,8.75,8.75,12600.0,7683.125,5.7,152.9,5.74,3585.2,45.535021879143514,0.3899538293010532,7.697189987547004,0.0625,9.769756120405429,7.873993879594572,8.770833333333334,8.729166666666668,8.708333333333334,8.666666666666668,8.791666666666668,8.833333333333334,8.854166666666668
35,1995-08-04,8.6875,8.5625,8.625,9000.0,7683.125,5.7,152.9,5.74,3585.2,40.818982263344814,0.37129606430787326,7.6976994435835175,-0.0625,9.623902706069282,8.126097293930718,8.625,8.5625,8.5,8.4375,8.6875,8.75,8.8125
36,1995-08-07,8.75,8.5625,8.6875,12200.0,7683.125,5.7,152.9,5.74,3585.2,44.15576661056837,0.3493510250735223,7.6984356329407175,0.125,9.462760908292564,8.380989091707436,8.666666666666666,8.583333333333332,8.479166666666666,8.395833333333332,8.770833333333332,8.854166666666666,8.958333333333332
37,1995-08-08,8.6875,8.5625,8.5625,3200.0,7683.125,5.7,152.9,5.74,3585.2,39.0719621889147,0.32370543760212167,7.698604169206388,-0.1875,9.456259674834504,8.393740325165497,8.604166666666666,8.520833333333332,8.479166666666666,8.395833333333332,8.645833333333332,8.729166666666666,8.770833333333332
38,1995-08-09,8.4375,8.1875,8.1875,24000.0,7683.125,5.7,152.9,5.74,3585.2,27.937704170600625,0.290364106105767,7.699318320146074,-0.9375,9.50776107408926,8.260988925910741,8.270833333333334,8.104166666666668,8.020833333333334,7.854166666666668,8.354166666666668,8.520833333333334,8.604166666666668
39,1995-08-10,8.25,8.125,8.125,6800.0,7683.125,5.7,152.9,5.74,3585.2,26.48621875261132,0.2522880895072997,7.699494427139102,-1.1875,9.552599141399746,8.134900858600254,8.166666666666666,8.083333333333332,8.041666666666666,7.958333333333332,8.208333333333332,8.291666666666666,8.333333333333332
40,1995-08-11,8.125,8.125,8.125,10000.0,7683.125,5.7,152.9,5.74,3585.2,26.48621875261132,0.21266545613202642,7.699753143468638,-1.1875,9.579286057282639,8.02696394271736,8.125,8.125,8.125,8.125,8.125,8.125,8.125
41,1995-08-14,8.125,7.9375,8.0,28200.0,7683.125,5.7,152.9,5.74,3585.2,23.26740582597951,0.17167150765220085,7.700267071320182,-1.25,9.52607288659338,7.936427113406619,8.020833333333334,7.916666666666668,7.833333333333334,7.729166666666668,8.104166666666668,8.208333333333334,8.291666666666668
42,1995-08-15,8.0625,8.0,8.0,9400.0,7683.125,5.7,152.9,5.74,3585.2,23.26740582597951,0.13157574185871557,7.700437989857077,-1.0625,9.520344616002234,7.835905383997766,8.020833333333334,7.979166666666668,7.958333333333334,7.916666666666668,8.041666666666668,8.083333333333334,8.104166666666668
43,1995-08-16,8.25,8.0625,8.1875,11800.0,7683.125,5.7,152.9,5.74,3585.2,38.253131685480895,0.09683639113106537,7.700786393229956,-0.6875,9.507969300872183,7.779530699127819,8.166666666666666,8.083333333333332,7.979166666666666,7.895833333333332,8.270833333333332,8.354166666666666,8.458333333333332
44,1995-08-17,8.3125,8.1875,8.25,6200.0,7683.125,5.7,152.9,5.74,3585.2,42.56717714480927,0.06805187303865055,7.700992734390149,-0.5,9.503406076862118,7.74034392313788,8.25,8.1875,8.125,8.0625,8.3125,8.375,8.4375
45,1995-08-18,8.375,8.25,8.25,9800.0,7683.125,5.7,152.9,5.74,3585.2,42.56717714480927,0.04435355669615414,7.701318570511501,-0.375,9.496264176280752,7.7037358237192475,8.291666666666666,8.208333333333332,8.166666666666666,8.083333333333332,8.333333333333332,8.416666666666666,8.458333333333332
46,1995-08-21,8.4375,8.25,8.375,8600.0,7683.125,5.7,152.9,5.74,3585.2,51.575793694156815,0.02697868924347836,7.7016692593579,-0.3125,9.49244607427139,7.688803925728609,8.354166666666666,8.270833333333332,8.166666666666666,8.083333333333332,8.458333333333332,8.541666666666666,8.645833333333332
47,1995-08-22,8.4375,8.3125,8.4375,12400.0,7683.125,5.7,152.9,5.74,3585.2,55.59421444125548,0.015413717418992966,7.702221136864007,-0.125,9.476022810623105,7.673977189376893,8.395833333333334,8.354166666666668,8.270833333333334,8.229166666666668,8.479166666666668,8.520833333333334,8.604166666666668
48,1995-08-23,8.6875,8.5,8.5625,28800.0,7683.125,5.7,152.9,5.74,3585.2,62.731219171484945,0.010055701565554083,7.7037170933462145,0.375,9.409927835791892,7.683822164208108,8.583333333333334,8.479166666666668,8.395833333333334,8.291666666666668,8.666666666666668,8.770833333333334,8.854166666666668
49,1995-08-24,8.75,8.625,8.75,16200.0,7683.125,5.7,152.9,5.74,3585.2,70.8421557398764,0.011837495524311997,7.704739507304773,0.625,9.310462833372254,7.727037166627747,8.708333333333334,8.666666666666668,8.583333333333334,8.541666666666668,8.791666666666668,8.833333333333334,8.916666666666668
50,1995-08-25,8.625,8.5625,8.5625,30200.0,7683.125,5.7,152.9,5.74,3585.2,56.62318867217728,0.014982546330427737,7.706299222080393,0.4375,9.180285990339181,7.782214009660817,8.583333333333334,8.541666666666668,8.520833333333334,8.479166666666668,8.604166666666668,8.645833333333334,8.666666666666668
51,1995-08-28,8.5625,8.4375,8.4375,9200.0,7683.125,5.7,152.9,5.74,3585.2,49.05010328012836,0.016788741109540616,7.706704036683997,0.4375,9.038696187014432,7.842553812985569,8.479166666666666,8.395833333333332,8.354166666666666,8.270833333333332,8.520833333333332,8.604166666666666,8.645833333333332
