Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
2001-07-16,0.253,0.385,0.363,0.4925000071525574,0.4875000119209289,0.4875000119209289,72000.0,10598.02,4.6,177.4,3.77,5189.2,33.978182038641094,0.0117299868476316,0.4999578924087638,-0.0458329916000366,0.556061312740667,0.4451052991691994,0.4891666769981384,0.4858333468437195,0.4841666817665099,0.480833351612091,0.4908333420753479,0.4941666722297669,0.4958333373069764
2001-07-17,0.253,0.385,0.363,0.4833329916000366,0.4833329916000366,0.4833329916000366,3600.0,10598.02,4.6,177.4,3.77,5189.2,30.94784700234112,0.010448165048487,0.4999225453482208,-0.0500000119209289,0.5545513541629596,0.4489485560724453,0.4833329916000366,0.4833329916000366,0.4833329916000366,0.4833329916000366,0.4833329916000366,0.4833329916000366,0.4833329916000366
2001-07-18,0.253,0.385,0.363,0.4833329916000366,0.4791670143604278,0.4791670143604278,96000.0,10598.02,4.6,177.4,3.77,5189.2,28.060945358884013,0.0090300628173324,0.4988089018344559,-0.0499999821186066,0.550590839368789,0.4562424725466085,0.4805556734402974,0.4777783552805582,0.4763896962006886,0.4736123780409494,0.481944332520167,0.4847216506799062,0.4861103097597758
2001-07-19,0.5,0.348,0.152,0.4708330035209656,0.4666669964790344,0.4666669964790344,164400.0,10598.02,4.6,177.4,3.77,5189.2,21.210794558235023,0.0073808700893728,0.4961040854746938,-0.0625,0.5469681046040822,0.4619486072031689,0.4680556654930115,0.4652783274650574,0.4638896584510803,0.4611123204231262,0.4694443345069885,0.4722216725349426,0.4736103415489197
2001-07-20,0.5,0.348,0.152,0.4791670143604278,0.4666669964790344,0.4666669964790344,42000.0,10598.02,4.6,177.4,3.77,5189.2,21.210794558235023,0.0056564652270138,0.4954845436136907,-0.0541660189628601,0.5482342709721042,0.4594324390470075,0.4708336691061656,0.4625003238519033,0.4583336512247722,0.45000030597051,0.4750003417332967,0.4833336869875589,0.4875003596146901
2001-07-23,0.5,0.348,0.152,0.4875000119209289,0.4675000011920929,0.4708330035209656,67200.0,10598.02,4.6,177.4,3.77,5189.2,28.911049686568944,0.0040288889890216,0.4946814684274239,-0.0291669964790344,0.5489346518509338,0.4578986570842315,0.4752776722113291,0.4630553325017294,0.4552776614824931,0.4430553217728934,0.4830553432305654,0.4952776829401651,0.5030553539594014
2001-07-24,0.5,0.348,0.152,0.49583300948143,0.475832998752594,0.4808329939842224,222000.0,10598.02,4.6,177.4,3.77,5189.2,44.05467039325665,0.0026976846471627,0.4933358971186045,-0.0191670060157775,0.5473409489404608,0.4555756613004755,0.4841663340727488,0.4724996586640677,0.4641663233439128,0.4524996479352317,0.4924996693929037,0.5041663448015848,0.5124996801217396
2001-07-25,0.5,0.348,0.152,0.4733330011367798,0.4733330011367798,0.4733330011367798,21600.0,10598.02,4.6,177.4,3.77,5189.2,37.1974252993457,0.0014962178248938,0.4931485651062877,-0.0308340191841125,0.5471309313086994,0.4522856763096325,0.4733330011367798,0.4733330011367798,0.4733330011367798,0.4733330011367798,0.4733330011367798,0.4733330011367798,0.4733330011367798
2001-07-26,0.295,0.324,0.381,0.4774999916553497,0.4733330011367798,0.4774999916553497,31200.0,10598.02,4.6,177.4,3.77,5189.2,42.8956131053939,0.0005021225595584,0.4929397032429795,-0.0183330178260803,0.546065983470385,0.4499339219966484,0.4761109948158264,0.4747219979763031,0.4719440042972565,0.4705550074577332,0.478888988494873,0.4802779853343963,0.4830559790134429
2001-07-27,0.295,0.324,0.381,0.488332986831665,0.4774999916553497,0.488332986831665,55200.0,10598.02,4.6,177.4,3.77,5189.2,55.11245841749472,-0.0001381944426794,0.4928334299456272,-0.0066670179367065,0.5409813020027963,0.450518601795307,0.4847219884395599,0.4811109900474548,0.4738889932632446,0.4702779948711394,0.4919439852237701,0.4955549836158752,0.5027769804000854
2001-07-30,0.295,0.324,0.381,0.5099999904632568,0.4891670048236847,0.5083330273628235,58800.0,10598.02,4.6,177.4,3.77,5189.2,69.16519800987702,-0.0002037996692725,0.4932051775097205,0.0208330154418945,0.5366338361470512,0.452366070035238,0.5025000075499216,0.4950000246365864,0.4816670219103495,0.4741670389970143,0.5158330102761586,0.5233329931894938,0.5366659959157307
2001-07-31,0.295,0.324,0.381,0.5208330154418945,0.5016670227050781,0.5208330154418945,224400.0,10598.02,4.6,177.4,3.77,5189.2,74.84449786029359,0.0002941469553859,0.4955219513632257,0.0375000238418579,0.5339015668431151,0.4538483405312669,0.5144443511962891,0.5080556869506836,0.4952783584594726,0.4888896942138672,0.5272216796875,0.5336103439331055,0.5463876724243164
2001-08-01,0.295,0.324,0.381,0.5208330154418945,0.5166670083999634,0.5166670083999634,21600.0,10598.02,4.9,177.4,3.65,5225.0,69.89396847993181,0.0010520771480859,0.4956912623181462,0.0374999940395355,0.5312977174846506,0.4552021910818243,0.5180556774139404,0.5152783393859863,0.5138896703720093,0.5111123323440552,0.5194443464279175,0.5222216844558716,0.5236103534698486
2001-08-02,0.364,0.273,0.364,0.5208330154418945,0.511667013168335,0.5166670083999634,88800.0,10598.02,4.9,177.4,3.65,5225.0,69.89396847993181,0.0019308301547601,0.4963597400141214,0.0500000119209289,0.5285393717772036,0.4567105379813642,0.516389012336731,0.5119450092315674,0.5072230100631714,0.5027790069580078,0.521111011505127,0.5255550146102905,0.5302770137786865
2001-08-03,0.364,0.273,0.364,0.5216670036315918,0.5166670083999634,0.5166670083999634,404400.0,10598.02,4.9,177.4,3.65,5225.0,69.89396847993181,0.0028348461233366,0.49893347053162,0.0500000119209289,0.5276847204355746,0.4571485886188001,0.5183336734771729,0.5150003433227539,0.5133336782455444,0.5100003480911255,0.5200003385543823,0.5233336687088013,0.5250003337860107
2001-08-06,0.364,0.273,0.364,0.5166670083999634,0.5,0.5166670083999634,76800.0,10598.02,4.9,177.4,3.65,5225.0,69.89396847993181,0.0037008452283748,0.4993502705402773,0.0458340048789978,0.5300278767905607,0.4564721331038102,0.511111338933309,0.5055556694666545,0.4944443305333456,0.4888886610666911,0.5222226778666179,0.5277783473332723,0.5388896862665813
2001-08-07,0.364,0.273,0.364,0.5416669845581055,0.5208330154418945,0.5375000238418579,1464000.0,10598.02,4.9,177.4,3.65,5225.0,81.02115398707146,0.0048215626148397,0.5111541505879386,0.0566670298576355,0.5368436009379015,0.4534064113406553,0.5333333412806193,0.5249996980031331,0.5124993721644083,0.5041657288869221,0.545833667119344,0.5541673103968302,0.5666676362355549
2001-08-08,0.364,0.273,0.364,0.5625,0.5341669917106628,0.5516669750213623,696000.0,10598.02,4.9,177.4,3.65,5225.0,85.28776186264552,0.0062582187435161,0.5163492507805952,0.0783339738845825,0.5462086314719934,0.4487913762766105,0.5494446555773417,0.5363893111546834,0.5211116472880045,0.5080563028653462,0.5647223194440205,0.5777776638666788,0.5930553277333577
2001-08-09,0.349,0.374,0.2769999999999999,0.5708330273628235,0.5516669750213623,0.5691670179367065,1784400.0,10598.02,4.9,177.4,3.65,5225.0,88.85793476009408,0.0080825264843009,0.5294174737025815,0.0916670262813568,0.5594473458536064,0.4428860627405251,0.5638890067736307,0.556944986184438,0.5447229544321696,0.5377789338429768,0.5761110385258992,0.5830550591150919,0.5952770908673604
2001-08-10,0.349,0.374,0.2769999999999999,0.5916669964790344,0.5708330273628235,0.5916669964790344,709200.0,10598.02,4.9,177.4,3.65,5225.0,91.80729947306844,0.0103947258230429,0.5349907910728108,0.1033340096473694,0.5768134587149645,0.4351866490502332,0.5847223401069641,0.5777776837348938,0.5638883709907532,0.5569437146186829,0.5986116528511047,0.605556309223175,0.6194456219673157
2001-08-13,0.349,0.374,0.2769999999999999,0.6458330154418945,0.5916669964790344,0.6441670060157776,1141200.0,10598.02,4.9,177.4,3.65,5225.0,95.21641382975815,0.0137054321602609,0.54873901411449,0.1358339786529541,0.607123764911573,0.4205430422631096,0.6272223393122355,0.6086116631825764,0.5730563203493754,0.5544456442197163,0.6627776821454365,0.6813883582750956,0.7169437011082966
2001-08-14,0.349,0.374,0.2769999999999999,0.6458330154418945,0.6216670274734497,0.6449999809265137,936000.0,10598.02,4.9,177.4,3.65,5225.0,95.25257917911637,0.0174504828189371,0.5577504824430279,0.1241669654846191,0.6307935736582853,0.4130399324490451,0.637500007947286,0.6291670004526775,0.6133340199788412,0.6050010124842327,0.6533329884211223,0.6616659959157308,0.6774989763895671
2001-08-15,0.349,0.374,0.2769999999999999,0.6625000238418579,0.6399999856948853,0.6600000262260437,1168800.0,10598.02,4.9,177.4,3.65,5225.0,95.89710205256011,0.0214709941215545,0.5684522937093784,0.1433330178260803,0.6540002801907501,0.4079165271031418,0.6541666785875956,0.6458333333333333,0.6316666404406229,0.6233332951863606,0.6683333714803059,0.6766667167345682,0.6908334096272786
2001-08-16,0.354,0.271,0.375,0.675000011920929,0.6458330154418945,0.6741669774055481,1250400.0,10598.02,4.9,177.4,3.65,5225.0,96.42588862613796,0.0256304856663567,0.5790973169420233,0.1574999690055847,0.675994137820961,0.4066726675655824,0.6650000015894572,0.6549999912579854,0.6358330051104227,0.6258329947789509,0.6841669877370198,0.6941669980684916,0.7133339842160542
2001-08-17,0.354,0.271,0.375,0.6791669726371765,0.6566669940948486,0.6641669869422913,1190400.0,10598.02,4.9,177.4,3.65,5225.0,87.26570076456382,0.0294410788457145,0.5865390376334048,0.1474999785423278,0.6916564779711629,0.4107603264617062,0.6666669845581055,0.6541669964790344,0.6441670060157776,0.6316670179367065,0.6766669750213623,0.6891669631004333,0.6991669535636902
2001-08-20,0.354,0.271,0.375,0.6791669726371765,0.612500011920929,0.6291670203208923,378000.0,10598.02,4.9,177.4,3.65,5225.0,63.06954467919938,0.0322077254978518,0.5876911452736071,0.1125000119209289,0.6983415213242178,0.4199086847886438,0.6402780016263326,0.6013890306154888,0.5736110409100851,0.5347220698992412,0.6680559913317363,0.7069449623425802,0.7347229520479839
2001-08-21,0.354,0.271,0.375,0.6458330154418945,0.6150000095367432,0.6399999856948853,196800.0,10598.02,4.9,177.4,3.65,5225.0,66.39697384103738,0.0342744402163944,0.5884169807782259,0.1024999618530273,0.7056514207898634,0.4285154844940644,0.633611003557841,0.6213889916737874,0.6027779976526896,0.590555985768636,0.6522219975789387,0.6644440094629923,0.6830550034840901
2001-08-22,0.354,0.271,0.375,0.6499999761581421,0.6050000190734863,0.6416670083999634,663600.0,10598.02,4.9,177.4,3.65,5225.0,66.92609088555507,0.0357425885496473,0.5907971347771607,0.090000033378601,0.7104947971609046,0.4405055088493417,0.6322223345438639,0.6144446929295857,0.5872223774592081,0.5694447358449299,0.6594446500142415,0.6772222916285197,0.7044446070988972
2001-08-23,0.345,0.345,0.31,0.6583330035209656,0.6449999809265137,0.6524999737739563,432000.0,10598.02,4.9,177.4,3.65,5225.0,70.41865958597312,0.0368499733534387,0.5925417956347515,0.0833329558372497,0.715122184709248,0.4533781195128589,0.6519443194071451,0.6455556352933247,0.6386112968126932,0.6322226126988728,0.6588886578877766,0.665277342001597,0.6722216804822285
2001-08-24,0.345,0.345,0.31,0.7124999761581421,0.6558330059051514,0.7124999761581421,1924800.0,10598.02,4.9,177.4,3.65,5225.0,82.33798206496212,0.038546464076881,0.6059634558997848,0.1208329796791076,0.730085428711517,0.4608315744432376,0.6936109860738119,0.6747219959894817,0.6369440158208212,0.618055025736491,0.7313889662424724,0.7502779563268026,0.7880559364954631
2001-08-27,0.345,0.345,0.31,0.7416669726371765,0.6833329796791077,0.7350000143051147,1335600.0,10598.02,4.9,177.4,3.65,5225.0,84.96013260490325,0.0407943819096491,0.615259700932158,0.0908330082893371,0.7485128775108394,0.4650708243381443,0.7199999888737997,0.6983330051104228,0.6616659959157308,0.639999012152354,0.7566669980684917,0.7783339818318685,0.8150009910265605
2001-08-28,0.345,0.345,0.31,0.7541670203208923,0.7041670083999634,0.7083330154418945,1693200.0,10598.02,4.9,177.4,3.65,5225.0,70.62190355056889,0.0427516489639755,0.6230489326506181,0.0633330345153808,0.758749723398008,0.4735839784509758,0.7222223480542501,0.6902776757876079,0.6722223361333212,0.640277663866679,0.7402776877085369,0.7722223599751791,0.7902776996294658
2001-08-29,0.345,0.345,0.31,0.7124999761581421,0.6933330297470093,0.7083330154418945,166800.0,10598.02,4.9,177.4,3.65,5225.0,70.62190355056889,0.0443266989122395,0.6237462964666066,0.0483329892158508,0.7659188459119554,0.4855814566412214,0.704722007115682,0.6969440380732219,0.6855550607045492,0.6777770916620891,0.7161109844843547,0.7238889535268148,0.7352779308954875
2001-08-30,0.314,0.457,0.2289999999999999,0.7041670083999634,0.675000011920929,0.6875,153600.0,10598.02,4.9,177.4,3.65,5225.0,60.0765917431998,0.0451462077551297,0.6242227648529133,0.0133330225944519,0.7670989148437077,0.5014846868694729,0.6888890067736307,0.6736110051472981,0.6597220102945963,0.6444440086682637,0.7027780016263325,0.7180560032526652,0.731944998105367
2001-08-31,0.314,0.457,0.2289999999999999,0.7166669964790344,0.6791669726371765,0.7083330154418945,852000.0,10598.02,4.9,177.4,3.65,5225.0,65.94417566652406,0.0456786793170486,0.6275707649604525,0.0441660284996032,0.7683435981661789,0.5194066042511948,0.7013889948527018,0.6861109932263691,0.6638889710108439,0.6486109693845112,0.7236110170682271,0.7388890186945597,0.761111040910085
2001-09-01,0.314,0.457,0.2289999999999999,0.7166669964790344,0.6791669726371765,0.7083330154418945,852000.0,10598.02,5.0,178.1,3.07,5336.6,65.94417566652407,0.0458992174829373,0.6306624346559193,0.0791659951210022,0.7655909011072571,0.5413259020143096,0.7013889948527018,0.6861109932263691,0.6638889710108439,0.6486109693845112,0.7236110170682271,0.7388890186945597,0.761111040910085
2001-09-04,0.314,0.457,0.2289999999999999,0.7674999833106995,0.7149999737739563,0.7566670179367065,393600.0,10598.02,5.0,178.1,3.07,5336.6,76.57737075570088,0.0465792080437136,0.6328520772157126,0.1166670322418212,0.7715605577029868,0.5572729448280648,0.7463889916737875,0.7252780000368755,0.6938889821370443,0.6727779905001323,0.7777780095736186,0.7988890012105306,0.8302780191103618
2001-09-05,0.314,0.457,0.2289999999999999,0.762499988079071,0.737500011920929,0.7533329725265503,350400.0,10598.02,5.0,178.1,3.07,5336.6,74.7205119517364,0.0473521720512854,0.6346875455430859,0.1116659641265869,0.7746989597468869,0.5743011425346837,0.7511109908421835,0.7397219936052959,0.7261110146840414,0.7147220174471538,0.764721969763438,0.7761109670003256,0.7897219459215801
2001-09-06,0.303,0.36,0.337,0.7541670203208923,0.7250000238418579,0.7250000238418579,352800.0,10598.02,5.0,178.1,3.07,5336.6,60.36731988870299,0.0475829291365789,0.6360519085573112,0.0725000500679016,0.7716521827288283,0.5929312201432573,0.734722356001536,0.7152776916821797,0.7055553595225016,0.6861106952031453,0.7444446881612141,0.7638893524805704,0.7736116846402485
2001-09-07,0.303,0.36,0.337,0.7250000238418579,0.6958330273628235,0.7208330035209656,118800.0,10598.02,5.0,178.1,3.07,5336.6,58.46159133857712,0.0472868112635338,0.6364810153262991,0.0083330273628234,0.7687086175699371,0.6087913860063416,0.713888684908549,0.70277734597524,0.6847216884295145,0.6736103494962056,0.7319443424542744,0.7430556813875834,0.7611113389333088
2001-09-10,0.303,0.36,0.337,0.7291669845581055,0.699167013168335,0.7291669845581055,57600.0,10598.02,5.0,178.1,3.07,5336.6,61.28221076662739,0.0467011689540974,0.636707908763831,-0.0058330297470092,0.7720112528064678,0.6139887486240436,0.7191669940948486,0.7091670036315918,0.6891670227050781,0.6791670322418213,0.7391669750213623,0.7491669654846191,0.7691669464111328
2001-09-17,0.267,0.367,0.367,0.75,0.6333330273628235,0.699999988079071,1316400.0,10598.02,5.0,178.1,3.07,5336.6,48.09431538442225,0.0453929748698511,0.6400612732172876,-0.0083330273628234,0.7714876968668957,0.6200123052788716,0.6944443384806315,0.638888676961263,0.577777365843455,0.5222217043240864,0.7555556495984395,0.811111311117808,0.872222622235616
2001-09-18,0.267,0.367,0.367,0.7291669845581055,0.6891670227050781,0.7083330154418945,531600.0,10598.02,5.0,178.1,3.07,5336.6,51.53265894442395,0.0437299658398152,0.6414914028657414,0.0,0.7721658124586871,0.6241674886086651,0.7088890075683594,0.6886110305786133,0.668889045715332,0.6486110687255859,0.7286109924316406,0.7488889694213867,0.768610954284668
2001-09-19,0.267,0.367,0.367,0.7166669964790344,0.625,0.663332998752594,494400.0,10598.02,5.0,178.1,3.07,5336.6,36.476718675090176,0.0411141249349844,0.6419087840116312,-0.024167001247406,0.7725170720046218,0.622732831197435,0.6683333317438761,0.6199996670087178,0.5766663352648417,0.5283326705296834,0.7116666634877522,0.7600003282229105,0.8033336599667866
2001-09-20,0.311,0.243,0.446,0.6358330249786377,0.5858330130577087,0.586667001247406,279600.0,10598.02,5.0,178.1,3.07,5336.6,23.169641641300032,0.0367213255521394,0.6413181661350623,-0.1216660141944885,0.7826423888266164,0.604857515805952,0.6027776797612509,0.569722334543864,0.5527776678403219,0.519722322622935,0.619722346464793,0.6527776916821798,0.6697223583857219
2001-09-21,0.311,0.243,0.446,0.625,0.5541669726371765,0.5666670203208923,530400.0,10598.02,5.0,178.1,3.07,5336.6,20.877125953788223,0.0310422574794113,0.6398342081206767,-0.1416659951210022,0.7925203207621926,0.5887295838703758,0.5819446643193563,0.5388893286387126,0.5111116369565328,0.4680563012758891,0.6097223560015361,0.6527776916821798,0.6805553833643596
2001-09-24,0.311,0.243,0.446,0.6416670083999634,0.5874999761581421,0.6333330273628235,262800.0,10598.02,5.0,178.1,3.07,5336.6,42.68757303914552,0.0258475528659857,0.63977080032759,-0.123333990573883,0.7929252595228684,0.5876579492764937,0.6208333373069763,0.5999996662139893,0.566666305065155,0.545832633972168,0.6541666984558105,0.6750003695487976,0.7083337306976318
2001-09-25,0.311,0.243,0.446,0.6666669845581055,0.6150000095367432,0.6499999761581421,447600.0,10598.02,5.0,178.1,3.07,5336.6,46.90921344310924,0.0214357525172171,0.6399379481168219,-0.1033329963684082,0.7925755669827839,0.5888409385923963,0.6438889900843302,0.6211109956105549,0.5922220150629679,0.5694440205891926,0.6727779706319172,0.6955559651056925,0.7244449456532795
2001-09-26,0.311,0.243,0.446,0.6875,0.6583330035209656,0.6875,387600.0,10598.02,5.0,178.1,3.07,5336.6,55.43195586309346,0.0182953698212761,0.6406015568752783,-0.0375000238418579,0.7927522233675013,0.592164284830283,0.6777776678403219,0.6680553356806438,0.6486106713612875,0.6388883392016094,0.6972223321596782,0.7069446643193563,0.7263893286387126
2001-09-27,0.511,0.267,0.222,0.7291669845581055,0.6916670203208923,0.7250000238418579,776400.0,10598.02,5.0,178.1,3.07,5336.6,62.39709109427911,0.01667310325891,0.6428962078030162,0.0041670203208923,0.7940565879133955,0.5921099250527605,0.7152780095736185,0.7013890345891316,0.6777780453364054,0.6638890703519185,0.7388889988263447,0.7527779738108317,0.7763889630635579
2001-09-28,0.511,0.267,0.222,0.775833010673523,0.7124999761581421,0.7124999761581421,1166400.0,10598.02,5.0,178.1,3.07,5336.6,58.85916999329395,0.0158499720369942,0.6456276407571597,-0.0166670083999633,0.7914557781804032,0.5924607309710554,0.733610987663269,0.6913889646530151,0.6702779531478882,0.6280559301376343,0.754721999168396,0.7969440221786499,0.8180550336837769
2001-10-01,0.511,0.267,0.222,0.7083330154418945,0.6875,0.6875,154800.0,10660.465,5.3,177.6,2.49,5321.7,52.048804913450425,0.0151358879525917,0.6458445872726359,-0.012499988079071,0.7901281154768115,0.5917050921304577,0.6944443384806315,0.6805556615193684,0.6736113230387369,0.6597226460774739,0.701388676961263,0.715277353922526,0.7222216924031575
2001-10-02,0.511,0.267,0.222,0.7158330082893372,0.6916670203208923,0.7158330082893372,164400.0,10660.465,5.3,177.6,2.49,5321.7,58.35062184185631,0.0149451248182293,0.6462275876193221,0.0074999928474426,0.7908364333931973,0.5917467734988163,0.7077776789665222,0.6997223496437073,0.6836116909980774,0.6755563616752625,0.7238883376121521,0.731943666934967,0.7480543255805969
