Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
2004-11-26,0.495,0.237,0.268,12.779999732971191,12.399999618530272,12.649999618530272,42900.0,12527.214,5.4,191.7,1.93,6405.1,63.80648299305931,0.1430504662212778,12.114852020548875,0.6299991607665998,12.945961784329317,11.687038398776156,12.609999656677246,12.4399995803833,12.229999542236326,12.05999946594238,12.81999969482422,12.989999771118166,13.19999980926514
2004-11-29,0.495,0.237,0.268,12.75,12.550000190734863,12.68000030517578,174200.0,12527.214,5.4,191.7,1.93,6405.1,65.69332386450938,0.1522232550012,12.123329634146112,0.3900003433227521,12.981438369584415,11.719561844038632,12.660000165303549,12.570000330607098,12.460000356038412,12.37000052134196,12.770000139872234,12.859999974568684,12.969999949137373
2004-11-30,0.495,0.237,0.268,12.850000381469728,12.649999618530272,12.760000228881836,148800.0,12527.214,5.4,191.7,1.93,6405.1,70.43553416882261,0.1599718322288968,12.13138437027867,0.369999885559082,13.022095488387947,11.754904748123284,12.75333340962728,12.65666643778483,12.553332646687824,12.456665674845372,12.856667200724289,12.953334172566736,13.056667963663743
2004-12-01,0.495,0.237,0.268,13.170000076293944,12.65999984741211,13.149999618530272,162500.0,12527.214,5.4,191.7,2.16,6447.4,83.36779168952208,0.1722791523448243,12.145265919229187,0.6499996185302717,13.13725051201616,11.754749686348095,12.993333180745443,12.816666285196945,12.48333295186361,12.306666056315107,13.326666514078775,13.503333409627276,13.836666742960611
2004-12-02,0.568,0.178,0.254,13.06999969482422,12.779999732971191,12.949999809265137,212800.0,12527.214,5.4,191.7,2.16,6447.4,66.2263078990663,0.183215094943706,12.159375565992336,0.4399995803833008,13.197422448433532,11.774577769004214,12.933333079020182,12.796666463216145,12.643333117167153,12.506666501363114,13.086666425069172,13.22333304087321,13.3766663869222
2004-12-03,0.568,0.178,0.254,13.199999809265137,12.899999618530272,13.149999618530272,138300.0,12527.214,5.4,191.7,2.16,6447.4,72.70251414299628,0.1954915003869197,12.170536549639529,0.429999351501463,13.28092569193768,11.800074445391424,13.083333015441896,12.966666221618652,12.78333282470703,12.666666030883787,13.266666412353516,13.38333320617676,13.566666603088382
2004-12-06,0.568,0.178,0.254,13.1899995803833,13.050000190734863,13.119999885559082,126600.0,12527.214,5.4,191.7,2.16,6447.4,70.36718539442656,0.2070403396211576,12.180228857072915,0.4099998474121094,13.342766356373367,11.842233777141036,13.119999885559082,13.050000190734863,12.980000495910645,12.910000801086426,13.1899995803833,13.25999927520752,13.329998970031738
2004-12-07,0.568,0.178,0.254,13.199999809265137,13.0,13.0,116200.0,12527.214,5.4,191.7,2.16,6447.4,61.28183453682038,0.2151413303120553,12.187838491743642,0.369999885559082,13.360407329843415,11.923592780782805,13.06666660308838,12.93333339691162,12.866666793823242,12.733333587646484,13.133333206176758,13.266666412353516,13.333333015441896
2004-12-08,0.568,0.178,0.254,13.0,12.699999809265137,12.859999656677246,112300.0,12527.214,5.4,191.7,2.16,6447.4,52.20775258375847,0.2179326346921146,12.193814889677345,0.0599994659423828,13.343605145974683,12.025394907431078,12.853333155314129,12.706666310628254,12.553332964579264,12.40666611989339,13.006666501363116,13.15333334604899,13.30666669209798
2004-12-09,0.514,0.2339999999999999,0.252,12.949999809265137,12.5,12.850000381469728,139200.0,12527.214,5.4,191.7,2.16,6447.4,51.57835402263884,0.2165933606166372,12.200967951305246,0.0600004196167009,13.3069995069353,12.14600056172925,12.766666730244957,12.583333651224772,12.316666920979818,12.133333841959637,13.03333346048991,13.216666539510092,13.483333269755049
