Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
2005-01-11,0.381,0.2739999999999999,0.345,45.83000183105469,43.27000045776367,44.720001220703125,1503300.0,12767.286,5.3,191.6,2.28,6404.1,25.91966123294108,0.1494971658684313,47.79687020745789,-3.1699981689453125,51.45689633649664,44.47910334306879,44.60666783650717,43.38333384195964,42.04666646321615,40.82333246866863,45.943335215250656,47.16666920979818,48.50333658854167
2005-01-12,0.381,0.2739999999999999,0.345,45.20000076293945,42.900001525878906,43.09999847412109,1658100.0,12767.286,5.3,191.6,2.28,6404.1,19.62195116552648,0.0004450418154755,47.679158945654535,-4.75,51.87151241357228,43.71848697607616,43.73333358764648,42.26666641235352,41.43333435058594,39.96666717529297,44.56666564941406,46.03333282470703,46.86666488647461
2005-01-13,0.34,0.261,0.3989999999999999,43.0,41.40999984741211,42.5,2414800.0,12767.286,5.3,191.6,2.28,6404.1,17.776194532312275,-0.1727218046627762,47.49678190798716,-5.5,52.1224522233508,42.80654710526249,42.3033332824707,41.606666564941406,40.71333312988281,40.01666641235352,43.1966667175293,43.893333435058594,44.78666687011719
2005-01-14,0.34,0.261,0.3989999999999999,43.59000015258789,42.150001525878906,43.400001525878906,992800.0,12767.286,5.3,191.6,2.28,6404.1,29.2885227799557,-0.3371729331060235,47.438317465554775,-4.599998474121094,51.19798341782486,42.77101606337631,43.0466677347819,42.50333531697591,41.606669108072914,41.06333669026692,43.94333394368489,44.48666636149088,45.38333257039388
2005-01-18,0.34,0.261,0.3989999999999999,45.209999084472656,42.79999923706055,45.209999084472656,879800.0,12767.286,5.3,191.6,2.28,6404.1,46.62877506400275,-0.4578944791969449,47.410488908844734,-3.299999237060547,51.02759426967702,42.60240527255932,44.40666580200195,43.60333251953125,41.99666595458984,41.19333267211914,46.01333236694336,46.81666564941406,48.42333221435547
2005-01-19,0.34,0.261,0.3989999999999999,46.16999816894531,44.150001525878906,44.34999847412109,864600.0,12767.286,5.3,191.6,2.28,6404.1,41.10283739655036,-0.5575559206412182,47.373383419797705,-5.11000061035157,51.00646086951902,42.32053841331789,44.88999938964844,43.61000061035156,42.87000274658203,41.59000396728516,45.62999725341797,46.90999603271485,47.649993896484375
2005-01-20,0.337,0.327,0.337,44.70000076293945,43.560001373291016,43.7599983215332,453600.0,12767.286,5.3,191.6,2.28,6404.1,37.57764514205525,-0.6469352041742149,47.35054502750363,-5.090000152587884,50.8623060858106,41.98969319702631,44.00666681925456,43.31333287556966,42.86666742960612,42.17333348592122,44.453332265218094,45.14666620890299,45.59333165486653
2005-01-21,0.337,0.327,0.337,43.4900016784668,41.900001525878906,43.04999923706055,1626200.0,12767.286,5.3,191.6,2.28,6404.1,33.57883981106025,-0.7350375451209434,47.25525561092108,-4.94000244140625,50.72099682080099,41.58600238574198,42.81333414713541,42.13666661580403,41.22333399454752,40.54666646321614,43.72666676839192,44.403334299723305,45.31666692097981
2005-01-24,0.337,0.327,0.337,44.7599983215332,41.5,42.04999923706055,1875100.0,12767.286,5.3,191.6,2.28,6404.1,28.62797129483748,-0.8320001696047209,47.12558028858368,-3.5,50.7320425327796,41.01495644488154,42.76999918619792,40.78000005086263,39.51000086466471,37.52000172932942,44.03999837239583,46.02999750773112,47.29999669392903
2005-01-25,0.337,0.327,0.337,43.09999847412109,42.04999923706055,42.09999847412109,613900.0,12767.286,5.3,191.6,2.28,6404.1,29.2299436284238,-0.9267393018503972,47.08492220269607,-3.030002593994148,50.591527086215706,40.55547189144542,42.416665395100914,41.73333231608074,41.36666615804037,40.6833330790202,42.78333155314128,43.466664632161454,43.83333079020182
2005-01-26,0.337,0.327,0.337,42.75,42.02000045776367,42.060001373291016,365500.0,12767.286,5.3,191.6,2.28,6404.1,29.004144845008327,-1.0136443144307326,47.060834648488864,-2.6599998474121094,50.40957022387688,40.154428952148514,42.27666727701823,41.80333455403645,41.5466677347819,41.073335011800125,42.53333409627278,43.00666681925456,43.26333363850911
2005-01-27,0.264,0.371,0.364,42.59999847412109,41.86000061035156,42.04999923706055,646000.0,12767.286,5.3,191.6,2.28,6404.1,28.939639026714502,-1.0889326260238683,47.01873730209435,-1.0499992370605398,50.1639099197694,39.82008933254994,42.16999944051107,41.74000040690105,41.430001576741546,41.00000254313153,42.47999827067058,42.909997304280594,43.2199961344401
