Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
1990-01-26,0.24,0.38,0.38,10.75,10.625,10.75,13300.0,5872.701,5.4,127.5,8.23,3170.4,40.14972137083742,-0.002355769523482,10.99135220125786,-0.25,11.407522646516185,10.604977353483816,10.708333333333334,10.666666666666668,10.583333333333334,10.541666666666668,10.791666666666668,10.833333333333334,10.916666666666668
1990-01-29,0.24,0.38,0.38,10.625,10.5,10.5,8600.0,5872.701,5.4,127.5,8.23,3170.4,29.912101354751652,-0.0179507556525391,10.976201147364646,-0.5,11.445613982598903,10.529386017401096,10.541666666666666,10.458333333333332,10.416666666666666,10.333333333333332,10.583333333333332,10.666666666666666,10.708333333333332
1990-01-30,0.24,0.38,0.38,10.625,10.5,10.625,8900.0,5872.701,5.4,127.5,8.23,3170.4,38.90031438332048,-0.0323397854439442,10.965340514246003,-0.375,11.45456862545821,10.48293137454179,10.583333333333334,10.541666666666668,10.458333333333334,10.416666666666668,10.666666666666668,10.708333333333334,10.791666666666668
1990-01-31,0.24,0.38,0.38,10.875,10.5,10.75,8200.0,5872.701,5.4,127.5,8.23,3170.4,46.77595834955949,-0.0431506375407613,10.959375,-0.375,11.43936048492959,10.460639515070408,10.708333333333334,10.541666666666668,10.333333333333334,10.166666666666668,10.916666666666668,11.083333333333334,11.291666666666668
1990-02-01,0.24,0.38,0.38,11.0,10.75,10.875,6100.0,5872.701,5.3,128.0,8.24,3170.5,53.66700762681876,-0.049059383422697,10.957671300893743,-0.125,11.420772833479129,10.454227166520871,10.875,10.75,10.625,10.5,11.0,11.125,11.25
1990-02-02,0.15,0.37,0.48,11.0,10.75,10.875,9400.0,5872.701,5.3,128.0,8.24,3170.5,53.66700762681876,-0.0514740216173398,10.955176565008026,0.0,11.414352637019023,10.448147362980976,10.875,10.75,10.625,10.5,11.0,11.125,11.25
1990-02-05,0.15,0.37,0.48,10.875,10.75,10.875,10300.0,5872.701,5.3,128.0,8.24,3170.5,53.66700762681876,-0.0514547217741488,10.95261031696706,-0.125,11.342102159869786,10.470397840130214,10.833333333333334,10.791666666666668,10.708333333333334,10.666666666666668,10.916666666666668,10.958333333333334,11.041666666666668
1990-02-06,0.15,0.37,0.48,11.0,10.75,10.75,7100.0,5872.701,5.3,128.0,8.24,3170.5,44.76377143143512,-0.0517879147268891,10.948236546062631,0.0,11.25544295512634,10.49455704487366,10.833333333333334,10.666666666666668,10.583333333333334,10.416666666666668,10.916666666666668,11.083333333333334,11.166666666666668
1990-02-07,0.15,0.37,0.48,11.0,10.75,10.875,6300.0,5872.701,5.3,128.0,8.24,3170.5,53.63834256628967,-0.0502122396824584,10.94686008353222,0.125,11.22433014334295,10.500669856657051,10.875,10.75,10.625,10.5,11.0,11.125,11.25
1990-02-08,0.15,0.37,0.48,10.875,10.625,10.875,6500.0,5872.701,5.3,128.0,8.24,3170.5,53.63834256628968,-0.0474082787966998,10.945493122622183,0.25,11.156578774420227,10.530921225579773,10.791666666666666,10.708333333333332,10.541666666666666,10.458333333333332,10.958333333333332,11.041666666666666,11.208333333333332
1990-02-09,0.19,0.3,0.51,11.0,10.75,10.875,3700.0,5872.701,5.3,128.0,8.24,3170.5,53.63834256628967,-0.043873387347319,10.944737984944991,0.125,11.142070448163864,10.532929551836135,10.875,10.75,10.625,10.5,11.0,11.125,11.25
1990-02-12,0.19,0.3,0.51,10.875,10.625,10.625,13200.0,5872.701,5.3,128.0,8.24,3170.5,35.91152102269432,-0.043954275296211,10.932968488566647,0.125,11.12734401024306,10.51015598975694,10.708333333333334,10.541666666666668,10.458333333333334,10.291666666666668,10.791666666666668,10.958333333333334,11.041666666666668
1990-02-13,0.19,0.3,0.51,10.875,10.625,10.75,19700.0,5872.701,5.3,128.0,8.24,3170.5,46.174263179295615,-0.0442027407639735,10.923440391223895,0.125,11.10399370822819,10.50850629177181,10.75,10.625,10.5,10.375,10.875,11.0,11.125
1990-02-14,0.19,0.3,0.51,10.75,10.625,10.625,4800.0,5872.701,5.3,128.0,8.24,3170.5,38.97318873567505,-0.0464367706104635,10.919701122422344,-0.125,11.04873093881916,10.51376906118084,10.666666666666666,10.583333333333332,10.541666666666666,10.458333333333332,10.708333333333332,10.791666666666666,10.833333333333332
1990-02-15,0.19,0.3,0.51,10.75,10.5,10.5,15600.0,5872.701,5.3,128.0,8.24,3170.5,33.0296023578083,-0.0516866654075412,10.903279408076248,-0.375,11.031010661399392,10.481489338600609,10.583333333333334,10.416666666666668,10.333333333333334,10.166666666666668,10.666666666666668,10.833333333333334,10.916666666666668
