Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
1990-01-26,0.24,0.38,0.38,1.328125,1.25,1.328125,2244800.0,5872.701,5.4,127.5,8.23,3170.4,26.3445700974832,-0.0227337280115045,1.4932074666955135,-0.25,1.7420814596172254,1.3110436357502064,1.3020833333333333,1.2760416666666663,1.2239583333333333,1.1979166666666663,1.3541666666666663,1.3802083333333333,1.4322916666666663
1990-01-29,0.24,0.38,0.38,1.375,1.328125,1.34375,464000.0,5872.701,5.4,127.5,8.23,3170.4,30.28044835126647,-0.0298769534462369,1.4906458434483685,-0.171875,1.74654344226221,1.2862691531052215,1.3489583333333333,1.3229166666666663,1.3020833333333333,1.2760416666666663,1.3697916666666663,1.3958333333333333,1.4166666666666663
1990-01-30,0.24,0.38,0.38,1.359375,1.3046879768371582,1.328125,750400.0,5872.701,5.4,127.5,8.23,3170.4,28.52186592732228,-0.0363563381250887,1.486262481807257,-0.1875,1.749860061786633,1.2610775335807989,1.330729325612386,1.302083651224772,1.2760423024495442,1.2473966280619302,1.3567706743876138,1.3854163487752278,1.4114576975504556
1990-01-31,0.24,0.38,0.38,1.359375,1.296875,1.359375,436800.0,5872.701,5.4,127.5,8.23,3170.4,36.96939688742679,-0.0414985412800524,1.4843011930215373,-0.15625,1.742750966035286,1.2447491293321455,1.3385416666666667,1.3177083333333337,1.2760416666666667,1.2552083333333337,1.3802083333333337,1.4010416666666667,1.4427083333333337
1990-02-01,0.24,0.38,0.38,1.375,1.34375,1.359375,646400.0,5872.701,5.3,128.0,8.24,3170.5,36.96939688742679,-0.0454384786050141,1.481507537426458,-0.171875,1.733266982087671,1.2307956132797606,1.359375,1.34375,1.328125,1.3125,1.375,1.390625,1.40625
1990-02-02,0.15,0.37,0.48,1.4375,1.34375,1.40625,646400.0,5872.701,5.3,128.0,8.24,3170.5,49.00507614423018,-0.0475668942426146,1.4798614061259552,-0.125,1.7178020379568872,1.2259480574105446,1.3958333333333333,1.3541666666666663,1.3020833333333333,1.2604166666666663,1.4479166666666663,1.4895833333333333,1.5416666666666663
1990-02-05,0.15,0.37,0.48,1.4375,1.40625,1.4375,406400.0,5872.701,5.3,128.0,8.24,3170.5,55.53612718330065,-0.0478413180444731,1.4792867534258916,-0.09375,1.694741277197087,1.2286963181703447,1.4270833333333333,1.4166666666666663,1.3958333333333333,1.3854166666666663,1.4479166666666663,1.4583333333333333,1.4791666666666663
1990-02-06,0.15,0.37,0.48,1.4375,1.375,1.421875,401600.0,5872.701,5.3,128.0,8.24,3170.5,51.715007561531074,-0.0470795576404827,1.4785273146849218,-0.0078129768371582,1.6684773831185222,1.233085212248909,1.4114583333333333,1.3854166666666663,1.3489583333333333,1.3229166666666663,1.4479166666666663,1.4739583333333333,1.5104166666666663
1990-02-07,0.15,0.37,0.48,1.421875,1.390625,1.4140629768371582,291200.0,5872.701,5.3,128.0,8.24,3170.5,49.74068456624612,-0.0457256022215241,1.4779148748724098,0.0703129768371582,1.6422669551795104,1.238201937871637,1.408854325612386,1.395833651224772,1.377604325612386,1.364583651224772,1.427083651224772,1.440104325612386,1.458333651224772
1990-02-08,0.15,0.37,0.48,1.46875,1.40625,1.421875,568000.0,5872.701,5.3,128.0,8.24,3170.5,51.86121562180367,-0.0438425928564878,1.476895289203093,0.15625,1.6056030103363153,1.2522095850311166,1.4322916666666667,1.3958333333333337,1.3697916666666667,1.3333333333333337,1.4583333333333337,1.4947916666666667,1.5208333333333337
