Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
2015-07-22,0.3081,0.4595,0.2324,55.08604431152344,53.67150115966797,54.18506240844727,999021.0,18401.626,5.2,238.034,0.13,12012.9,37.2615323322478,-0.3975305220913068,55.41813610259268,0.3874244689941477,58.099420698628535,53.14033035422791,54.31420262654623,53.542360941569015,52.89965947469076,52.127817789713546,54.95690409342448,55.728745778401695,56.37144724527995
2015-07-23,0.3253999999999999,0.4186999999999999,0.256,54.76168823242188,53.47328567504883,53.92377853393555,1248305.0,18401.626,5.2,238.034,0.13,12012.9,35.26100001239837,-0.4351401841353735,55.36027415392514,0.30633544921875,57.947503411267085,52.97420107176514,54.05291748046875,53.34414672851562,52.764514923095696,52.05574417114256,54.63254928588867,55.34132003784181,55.920951843261726
2015-07-24,0.3253999999999999,0.4186999999999999,0.256,54.01387405395508,51.950626373291016,53.07685470581055,1281491.0,18401.626,5.2,238.034,0.13,12012.9,29.364581192804323,-0.4881560135792422,55.27297896912593,-2.24344253540039,58.02492049418756,52.62739044941596,53.01378504435221,52.013696034749344,50.95053736368815,49.95044835408528,54.07694371541341,55.077032725016274,56.14019139607747
2015-07-27,0.3253999999999999,0.4186999999999999,0.256,53.536354064941406,52.13532638549805,52.42814636230469,1393146.0,18401.626,5.2,238.034,0.13,12012.9,25.58357059608447,-0.5572861093449287,55.15946281080878,-3.5408592224121094,58.14100155998952,52.1770450098347,52.69994227091471,51.863530476888016,51.29891459147135,50.46250279744466,53.264558156331375,54.10096995035807,54.665585835774735
2015-07-28,0.3253999999999999,0.4186999999999999,0.256,53.83367919921875,51.79745864868164,53.46427536010742,1816573.0,18401.626,5.2,238.034,0.13,12012.9,39.855754038616446,-0.6150914004198467,55.07562370680464,-2.567798614501953,58.167069615900175,52.01943360370432,53.03180440266927,52.2299296061198,50.99558385213216,50.19370905558269,54.266150156656906,55.06802495320638,56.302370707194015
2015-07-29,0.3253999999999999,0.4186999999999999,0.256,53.81565856933594,52.32904052734375,53.50932312011719,1986943.0,18401.626,5.2,238.034,0.13,12012.9,40.42889902361306,-0.6606476460128893,54.995242117562746,-2.009193420410156,58.17904051695848,51.87141419495558,53.21800740559896,52.620356241861984,51.73138936360677,51.1337381998698,54.10697428385417,54.70462544759115,55.59359232584636
2015-07-30,0.2110999999999999,0.3818999999999999,0.407,56.93305587768555,54.99594497680664,56.60870361328125,3918058.0,18401.626,5.2,238.034,0.13,12012.9,66.08571230772242,-0.6451837383197393,55.14351460765216,0.4594993591308594,58.23390324541934,51.855293913394135,56.17923482259115,55.42541376749675,54.24212392171224,53.48830286661784,57.362524668375656,58.11634572347005,59.29963556925456
2015-07-31,0.2110999999999999,0.3818999999999999,0.407,57.43760681152344,55.10406112670898,56.8159294128418,1803477.0,18401.626,5.2,238.034,0.13,12012.9,67.1763264063377,-0.5875075534482324,55.21138696503342,1.1802864074707102,57.82232580907361,52.09298180811388,56.45253245035807,55.467458089192704,54.11898676554361,53.13391240437824,57.80100377400717,58.78607813517253,60.13454945882162
2015-08-01,0.2110999999999999,0.3818999999999999,0.407,57.43760681152344,55.10406112670898,56.8159294128418,1803477.0,18401.626,5.1,238.033,0.14,12070.4,67.1763264063377,-0.5050579633905121,55.27396518821021,1.3604850769042969,57.689628469738096,52.16351140758124,56.45253245035807,55.467458089192704,54.11898676554361,53.13391240437824,57.80100377400717,58.78607813517253,60.13454945882162
2015-08-03,0.2110999999999999,0.3818999999999999,0.407,58.3295783996582,56.21227264404297,56.915035247802734,2361867.0,18401.626,5.1,238.033,0.14,12070.4,67.83493003973935,-0.4086707216792341,55.35371136132843,2.9912567138671875,57.7996891226755,52.11651914453641,57.1522954305013,55.975012461344406,55.03498967488607,53.85770670572917,58.09231821695964,59.26960118611654,60.20962397257488
2015-08-04,0.2110999999999999,0.3818999999999999,0.407,57.16731262207031,56.077125549316406,56.37444686889648,780260.0,18401.626,5.1,238.033,0.14,12070.4,60.22891213616452,-0.3162937370284593,55.36983872314778,2.1893844604492045,57.94063001551794,52.23325914463831,56.53962834676107,55.91194407145183,55.44944127400717,54.82175699869792,57.00213114420573,57.629815419514976,58.09231821695964
2015-08-05,0.2110999999999999,0.3818999999999999,0.407,57.62681198120117,56.0591049194336,56.53662490844727,1664184.0,18401.626,5.1,238.033,0.14,12070.4,61.714872770010025,-0.2279645046847432,55.40787600267953,2.612846374511726,58.0686818514654,52.3971254910639,56.74084726969401,55.85488255818685,55.17314020792644,54.28717549641927,57.422589619954415,58.30855433146158,58.99029668172199
2015-08-06,0.2432,0.4403,0.3166,56.31137847900391,54.491397857666016,55.62663269042969,2815594.0,18401.626,5.1,238.033,0.14,12070.4,49.69397040807013,-0.1608015065285722,55.41931088852244,2.5497779846191406,58.08929039780163,52.40715048964954,55.47646967569987,54.64156087239582,53.65648905436197,52.82158025105792,56.46154149373372,57.296450297037765,58.28152211507162
