Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.55,0.28,0.17,210.5,203.5,206.5,182100.0,9900.169,4.1,168.4,5.42,4610.2,68.34333684835215,10.11867814927656,170.91869712258398,24.3125,212.82366084109773,156.90758915890223,206.8333333333333,203.16666666666669,199.8333333333333,196.16666666666669,210.16666666666669,213.8333333333333,217.16666666666669,1
0.55,0.28,0.17,236.5,210.75,227.0,751800.0,9900.169,4.1,168.4,5.42,4610.2,77.8555011980112,10.82429926429012,172.21978224173898,49.6875,216.4062374173109,161.50626258268912,224.75,213.0,199.0,187.25,238.75,250.5,264.5,1
0.55,0.28,0.17,249.5,220.5,237.0,1421400.0,9900.169,4.1,168.4,5.42,4610.2,81.05891542008486,11.832777741167524,174.94185899558337,65.25,226.0454245551284,158.1358254448716,235.66666666666663,221.8333333333333,206.66666666666663,192.8333333333333,250.8333333333333,264.66666666666663,279.8333333333333,0
0.55,0.28,0.17,239.0,207.25,217.625,790500.0,9900.169,4.0,168.8,5.3,4664.5,61.25061149831205,12.642129133835711,175.91655135756605,33.625,229.16156611729613,157.50718388270386,221.29166666666663,203.5833333333333,189.54166666666663,171.83333333333331,235.3333333333333,253.04166666666663,267.0833333333333,0
0.62,0.25,0.13,225.75,214.5,215.25,282000.0,9900.169,4.0,168.8,5.3,4664.5,59.20430993818289,13.217538283033273,176.23438283508744,25.875,231.66343077087572,157.4428192291242,218.5,211.25,207.25,200.0,222.5,229.75,233.75,0
0.62,0.25,0.13,229.0,206.25,207.0,435200.0,9900.169,4.0,168.8,5.3,4664.5,52.2127509883438,13.454403692814306,176.6133119942945,19.625,232.32744636163892,160.153803638361,214.0833333333333,199.16666666666669,191.3333333333333,176.41666666666669,221.91666666666669,236.8333333333333,244.66666666666669,1
0.62,0.25,0.13,219.0,201.125,216.75,292700.0,9900.169,4.0,168.8,5.3,4664.5,58.840806413308734,13.591549817222532,176.94306214387964,31.75,234.00257532713127,162.72867467286872,212.29166666666663,205.5833333333333,194.41666666666663,187.7083333333333,223.4583333333333,230.16666666666663,241.3333333333333,1
0.62,0.25,0.13,229.375,215.0,226.0,516200.0,9900.169,4.0,168.8,5.3,4664.5,64.26627676496594,13.775604855235006,177.6436971546515,41.125,237.5787920200724,162.9962079799276,223.4583333333333,217.54166666666669,209.0833333333333,203.16666666666669,231.91666666666669,237.8333333333333,246.29166666666669,1
0.62,0.25,0.13,241.6875,223.25,241.5,515800.0,9900.169,4.0,168.8,5.3,4664.5,71.52382675520874,14.195309079598813,178.54216904443658,31.5,244.06536758246943,161.68463241753057,235.47916666666663,229.2708333333333,217.04166666666663,210.8333333333333,247.7083333333333,253.91666666666663,266.1458333333333,1
0.62,0.27,0.11,258.0,224.0,250.0,560300.0,9900.169,4.0,168.8,5.3,4664.5,74.76664030727702,14.843970614519083,179.61789649456065,49.0,251.6066435707729,160.14335642922714,244.0,230.0,210.0,196.0,264.0,278.0,298.0,0
0.62,0.27,0.11,258.75,238.0,243.5,309700.0,9900.169,4.0,168.8,5.3,4664.5,67.93998268240806,15.464598131172332,180.1450698126782,37.0,256.18166903774664,161.69958096225338,246.75,234.75,226.0,214.0,255.5,267.5,276.25,0
0.62,0.27,0.11,246.5,227.0,228.5,386100.0,9900.169,4.0,168.8,5.3,4664.5,54.65266275248296,15.760556961699937,180.63748150473032,1.5,257.04205690752696,165.95794309247304,234.0,221.5,214.5,202.0,241.0,253.5,260.5,0
0.62,0.27,0.11,236.375,217.0,217.0,395600.0,9900.169,4.0,168.8,5.3,4664.5,46.59188844326298,15.618107817872236,181.01296439375943,-20.0,255.31065690382985,172.21434309617013,223.4583333333333,210.54166666666669,204.0833333333333,191.16666666666669,229.91666666666669,242.8333333333333,249.29166666666669,1
0.62,0.27,0.11,232.0,201.0,230.375,352800.0,9900.169,4.0,168.8,5.3,4664.5,55.41629398771951,15.386133955052989,181.4633873032705,12.75,255.77036051435968,176.39213948564034,221.125,210.25,190.125,179.25,241.25,252.125,272.25,1
0.54,0.26,0.2,271.5,236.0,271.0,936400.0,9900.169,4.0,168.8,5.3,4664.5,71.7657184210883,15.723288222529144,183.5806169965076,55.75,264.7708173150951,175.55418268490487,259.5,247.5,224.0,212.0,283.0,295.0,318.5,1
0.54,0.26,0.2,298.0,268.0,281.75,685200.0,9900.169,4.0,168.8,5.3,4664.5,74.60870111902686,16.535160209564864,185.250357452259,74.75,274.5638263035483,175.1986736964517,282.5833333333333,267.16666666666663,252.5833333333333,237.16666666666663,297.16666666666663,312.5833333333333,327.16666666666663,1
0.54,0.26,0.2,302.0,282.9375,286.25,367100.0,9900.169,4.0,168.8,5.3,4664.5,75.78633414384024,17.636124292252994,186.1624106444424,69.5,283.0330166201292,176.8544833798708,290.3958333333333,278.79166666666663,271.3333333333333,259.72916666666663,297.85416666666663,309.4583333333333,316.91666666666663,1
0.54,0.26,0.2,309.0,290.25,301.875,454700.0,9900.169,4.0,168.8,5.3,4664.5,79.58056829472707,19.069662797984616,187.442354264126,75.875,293.5522236891025,178.03527631089747,300.375,291.75,281.625,273.0,310.5,319.125,329.25,0
0.54,0.26,0.2,309.125,287.6875,291.0,352500.0,9900.169,4.0,168.8,5.3,4664.5,70.68546766115492,20.41953615934507,188.32283179447845,49.5,301.23217440815534,178.45532559184468,295.9375,282.75,274.5,261.3125,304.1875,317.375,325.625,0
0.52,0.31,0.17,293.9375,274.25,281.4375,377100.0,9900.169,4.0,168.8,5.3,4664.5,63.48582879922099,21.447102880995647,189.16213578454224,31.4375,305.0783724657252,182.65287753427484,283.2083333333333,272.47916666666663,263.5208333333333,252.79166666666663,292.16666666666663,302.8958333333333,311.85416666666663,1
0.52,0.31,0.17,285.875,275.0,285.875,177600.0,9900.169,4.0,168.8,5.3,4664.5,65.3742323647225,22.240702734499955,189.5709557922221,42.375,309.1391876786617,186.5295623213383,282.25,278.625,271.375,267.75,289.5,293.125,300.375,0
0.52,0.31,0.17,290.0,265.0,271.5,175400.0,9900.169,4.0,168.8,5.3,4664.5,54.7840202764042,22.566019082351097,189.9115702662985,43.0,311.4104928612824,188.7082571387176,275.5,261.0,250.5,236.0,286.0,300.5,311.0,1
0.52,0.31,0.17,304.0,277.5,303.5625,381800.0,9900.169,4.0,168.8,5.3,4664.5,68.08817166970317,23.04087671991723,190.93084675004053,86.5625,318.8402828003959,187.93471719960405,295.0208333333333,286.04166666666663,268.5208333333333,259.54166666666663,312.54166666666663,321.5208333333333,339.04166666666663,1
0.6,0.25,0.15,342.375,314.75,327.0,388100.0,9900.169,4.0,168.8,5.3,4664.5,74.43319825337895,23.90598792395103,192.16011062188952,96.625,329.7765409220887,187.9359590779113,328.0416666666667,313.70833333333337,300.4166666666667,286.08333333333337,341.33333333333337,355.6666666666667,368.95833333333337,1
0.6,0.25,0.15,344.875,320.0,327.625,237400.0,9900.169,4.0,168.8,5.3,4664.5,74.58866086182684,24.925836871943524,192.9045955082321,56.625,338.5833776960261,190.366622303974,330.8333333333333,316.79166666666663,305.9583333333333,291.91666666666663,341.66666666666663,355.7083333333333,366.5416666666666,0
0.6,0.25,0.15,344.875,320.0,327.625,237400.0,10002.179,4.0,169.3,5.45,4672.6,74.58866086182684,25.93239924879726,193.64094207444825,45.875,344.5535643992195,196.4589356007805,330.8333333333333,316.79166666666663,305.9583333333333,291.91666666666663,341.66666666666663,355.7083333333333,366.5416666666666,0
0.6,0.25,0.15,345.5,311.0,321.25,285600.0,10002.179,4.0,169.3,5.45,4672.6,68.89933799074755,26.717053612022298,194.4745494318364,35.0,348.5445713755344,202.9179286244656,325.9166666666667,306.33333333333337,291.4166666666667,271.83333333333337,340.83333333333337,360.4166666666667,375.33333333333337,0
0.6,0.25,0.15,321.5,300.0,300.0,215900.0,10002.179,4.0,169.3,5.45,4672.6,53.271209306874894,26.92156254455995,194.99310142435425,-1.875,349.0549436473876,209.8075563526124,307.1666666666667,292.83333333333337,285.6666666666667,271.33333333333337,314.33333333333337,328.6666666666667,335.83333333333337,0
0.6,0.25,0.15,299.625,262.0,283.5,1183500.0,10002.179,4.0,169.3,5.45,4672.6,44.273900428347176,26.42711931428973,197.3146832446054,-7.5,348.8326207630013,214.2298792369988,281.7083333333333,263.79166666666663,244.0833333333333,226.16666666666663,301.41666666666663,319.3333333333333,339.04166666666663,0
0.75,0.1169999999999999,0.133,278.125,235.25,236.125,797500.0,10002.179,4.0,169.3,5.45,4672.6,28.38902678911373,24.704432734070227,197.9887566778536,-45.3125,349.7736045690711,211.9013954309289,249.8333333333333,221.54166666666669,206.9583333333333,178.66666666666669,264.4166666666667,292.70833333333337,307.2916666666667,1
0.75,0.1169999999999999,0.133,254.5,238.0,248.375,729100.0,10002.179,4.0,169.3,5.45,4672.6,35.31346639705629,22.4413482903178,198.7763219035797,-37.5,349.49396450965065,212.66853549034937,246.9583333333333,239.41666666666669,230.4583333333333,222.91666666666669,255.91666666666669,263.45833333333337,272.4166666666667,1
0.75,0.1169999999999999,0.133,286.25,249.5625,285.5,1143200.0,10002.179,4.0,169.3,5.45,4672.6,51.65899616616485,20.49934688119656,200.8509103820963,14.0,347.7132968986294,220.14920310137057,273.7708333333333,261.29166666666663,237.0833333333333,224.60416666666663,297.97916666666663,310.4583333333333,334.66666666666663,0
0.75,0.1169999999999999,0.133,298.0,267.25,278.4375,481000.0,10002.179,4.0,169.3,5.45,4672.6,48.9442649441716,18.700996799829547,201.6240437901388,-25.125,342.605796080174,231.40045391982605,281.2291666666667,264.45833333333337,250.47916666666669,233.70833333333337,295.20833333333337,311.9791666666667,325.95833333333337,0
0.75,0.1169999999999999,0.133,289.25,250.0,254.0,1011300.0,10002.179,4.0,169.3,5.45,4672.6,40.45614362683703,16.654447676192508,202.6988491324296,-73.0,339.5651528637263,236.8035971362736,264.4166666666667,239.58333333333337,225.16666666666669,200.33333333333337,278.83333333333337,303.6666666666667,318.08333333333337,0
0.593,0.222,0.185,260.5,218.375,232.8125,1031300.0,10002.179,4.0,169.3,5.45,4672.6,34.4749922705746,14.183622644961623,203.3161141543073,-94.8125,342.9137502185191,229.6362497814808,237.22916666666663,213.9583333333333,195.10416666666663,171.83333333333331,256.0833333333333,279.35416666666663,298.2083333333333,0
0.593,0.222,0.185,254.625,229.0,230.0,641500.0,10002.179,4.0,169.3,5.45,4672.6,33.71161265176342,11.49919528549153,203.65205793056887,-97.625,345.67264253219764,221.7023574678024,237.875,221.125,212.25,195.5,246.75,263.5,272.375,0
0.593,0.222,0.185,229.0625,207.5,211.5,822200.0,10002.179,4.0,169.3,5.45,4672.6,28.861207806221785,8.500242555574793,203.7766820919996,-109.75,349.7999755114301,210.1000244885699,216.0208333333333,202.97916666666669,194.4583333333333,181.41666666666669,224.54166666666669,237.5833333333333,246.10416666666669,1
0.593,0.222,0.185,233.0,212.0,224.75,1367500.0,10002.179,4.0,169.3,5.45,4672.6,36.42091214401325,5.6533837136573375,204.3163689837761,-75.25,349.283139105468,202.904360894532,223.25,213.5,202.25,192.5,234.5,244.25,255.5,1
0.5710000000000001,0.25,0.179,235.75,220.0,234.0,916400.0,10002.179,4.0,169.3,5.45,4672.6,41.43413112243599,3.185784561427047,204.81955024213747,-49.5,348.40182792667133,198.08567207332865,229.91666666666663,224.0833333333333,214.16666666666663,208.3333333333333,239.8333333333333,245.66666666666663,255.5833333333333,1
0.5710000000000001,0.25,0.179,275.0,229.75,269.0,1232100.0,10002.179,4.0,169.3,5.45,4672.6,56.43237693359837,1.6363971712567933,206.24970836807296,32.875,347.7002712527277,197.54347874727225,257.9166666666667,240.83333333333337,212.66666666666669,195.58333333333337,286.08333333333337,303.1666666666667,331.33333333333337,0
0.5710000000000001,0.25,0.179,284.4375,258.625,262.0625,886600.0,10002.179,4.0,169.3,5.45,4672.6,53.30998582292271,0.6293351312157065,207.13053054616591,13.6875,346.379849711297,196.48265028870293,268.375,252.3125,242.5625,226.5,278.125,294.1875,303.9375,1
0.5710000000000001,0.25,0.179,282.0,254.625,279.3125,369800.0,10002.179,4.0,169.3,5.45,4672.6,59.70630419317599,0.2887632634258995,207.6025642499297,-6.1875,346.853373593924,196.79037640607595,271.9791666666667,261.95833333333337,244.60416666666669,234.58333333333337,289.33333333333337,299.3541666666667,316.70833333333337,0
0.5710000000000001,0.25,0.179,288.0,274.0625,277.5,596900.0,10002.179,4.0,169.3,5.45,4672.6,58.7308449287247,0.3542123348152077,208.33266034480343,-0.9375,344.1208217582412,196.9166782417588,279.8541666666667,271.70833333333337,265.9166666666667,257.77083333333337,285.64583333333337,293.7916666666667,299.58333333333337,1
0.537,0.259,0.204,290.0,264.0,281.125,544100.0,10002.179,4.0,169.3,5.45,4672.6,60.23025245037705,0.7277439527515006,209.0192007845421,27.125,337.1248414939742,199.32515850602584,278.375,266.75,252.375,240.75,292.75,304.375,318.75,0
0.537,0.259,0.204,285.0625,255.0,270.0625,418300.0,10002.179,4.0,169.3,5.45,4672.6,53.39872002077869,1.0966401954972111,209.4586310189647,37.25,328.35646171577,202.33728828423003,270.0416666666667,255.02083333333337,239.97916666666669,224.95833333333337,285.08333333333337,300.1041666666667,315.14583333333337,0
0.537,0.259,0.204,267.0,235.0625,249.125,675900.0,10002.179,4.0,169.3,5.45,4672.6,42.797784639443,1.106747875380116,209.91471676343352,19.125,317.49506018721326,205.3486898127868,250.3958333333333,233.79166666666669,218.4583333333333,201.85416666666669,265.7291666666667,282.33333333333337,297.6666666666667,0
0.537,0.259,0.204,256.46875,235.375,239.0625,328100.0,10002.179,4.1,170.0,5.73,4674.4,38.55348569515933,0.7283801608471612,210.0765009642712,27.5625,306.5546680922062,208.0703319077938,243.63541666666663,230.8020833333333,222.54166666666663,209.7083333333333,251.8958333333333,264.72916666666663,272.9895833333333,0
0.537,0.259,0.204,245.0,231.25,233.625,314400.0,10002.179,4.1,170.0,5.73,4674.4,36.30839927731565,0.0379459934573405,210.20108613343564,8.875,299.9602155368173,208.0272844631827,236.625,228.25,222.875,214.5,242.0,250.375,255.75,1
0.511,0.244,0.244,252.0,239.875,245.375,479800.0,10002.179,4.1,170.0,5.73,4674.4,44.38368871666865,-0.6245137800387579,210.48280061162285,11.375,296.01887965533405,208.156120344666,245.75,239.5,233.625,227.375,251.625,257.875,263.75,0
0.511,0.244,0.244,254.0,230.40625,235.0,330200.0,10002.179,4.1,170.0,5.73,4674.4,39.30634317339007,-1.3988161817030094,210.61719740887568,-34.0,296.05147748273373,208.01102251726627,239.8020833333333,225.60416666666669,216.2083333333333,202.01041666666669,249.19791666666669,263.39583333333337,272.7916666666667,0
0.511,0.244,0.244,233.0,216.0,228.625,1577400.0,10002.179,4.1,170.0,5.73,4674.4,36.35752729434297,-2.3011503812618725,211.07673084327448,-33.4375,296.2786649760976,205.8088350239024,225.875,218.75,208.875,201.75,235.75,242.875,252.75,1
0.511,0.244,0.244,246.0,232.0625,240.9375,684000.0,10002.179,4.1,170.0,5.73,4674.4,45.47356441063972,-3.034747047943031,211.4035386045589,-38.375,291.2049250052402,206.42632499475977,239.66666666666663,233.3333333333333,225.72916666666663,219.3958333333333,247.2708333333333,253.60416666666663,261.2083333333333,0
0.511,0.244,0.244,244.0,233.0,234.875,672500.0,10002.179,4.1,170.0,5.73,4674.4,42.051457978351095,-3.713932792862411,211.65341169030384,-42.625,287.0486802208517,206.22631977914827,237.29166666666663,230.5833333333333,226.29166666666663,219.5833333333333,241.5833333333333,248.29166666666663,252.5833333333333,0
0.419,0.302,0.2789999999999999,236.875,227.0,229.0,422800.0,10002.179,4.1,170.0,5.73,4674.4,38.78759863649358,-4.40867817673222,211.7687408303731,-52.125,286.3821763231783,204.39282367682165,230.9583333333333,225.04166666666669,221.0833333333333,215.16666666666669,234.91666666666669,240.8333333333333,244.79166666666669,1
0.419,0.302,0.2789999999999999,241.0,226.125,233.0625,393000.0,10002.179,4.1,170.0,5.73,4674.4,42.35727071187444,-5.001893255657601,211.89952622522705,-37.0,286.3786810748178,204.4213189251822,233.3958333333333,225.79166666666669,218.5208333333333,210.91666666666669,240.66666666666669,248.2708333333333,255.54166666666669,0
0.419,0.302,0.2789999999999999,238.75,226.8125,230.375,419000.0,10002.179,4.1,170.0,5.73,4674.4,40.55215180784271,-5.531850958102838,212.01972204064583,-18.75,286.36809491154,204.46940508846004,231.97916666666663,225.2083333333333,220.04166666666663,213.2708333333333,237.1458333333333,243.91666666666663,249.0833333333333,0
0.419,0.302,0.2789999999999999,233.0,217.0,222.5,380600.0,10002.179,4.1,170.0,5.73,4674.4,35.44495831502799,-6.107411722322714,212.081291087385,-16.5625,285.26189800653174,206.67560199346823,224.16666666666663,215.3333333333333,208.16666666666663,199.3333333333333,231.3333333333333,240.16666666666663,247.3333333333333,1
0.419,0.302,0.2789999999999999,252.0,228.1875,246.125,1087700.0,10002.179,4.1,170.0,5.73,4674.4,55.04369815360295,-6.290540652214718,212.64341999198464,12.5,285.0422477989686,209.0327522010314,242.10416666666663,232.2083333333333,218.29166666666663,208.3958333333333,256.0208333333333,265.91666666666663,279.8333333333333,1
0.273,0.485,0.242,253.0,235.5,252.0,702300.0,10002.179,4.1,170.0,5.73,4674.4,58.64614775930736,-6.110031381582736,213.0585883813464,6.625,285.49213125830715,210.38286874169287,246.8333333333333,240.66666666666669,229.3333333333333,223.16666666666669,258.1666666666667,264.33333333333337,275.6666666666667,0
0.273,0.485,0.242,247.0,239.25,241.6875,502700.0,10002.179,4.1,170.0,5.73,4674.4,50.45709650987548,-5.861667243027921,213.273139620951,6.6875,282.86686239767545,210.27688760232456,242.6458333333333,238.29166666666669,234.8958333333333,230.54166666666669,246.04166666666669,250.3958333333333,253.79166666666669,1
