Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,11.833333015441896,11.75,11.833333015441896,2400.0,5872.701,5.4,127.5,8.23,3170.4,41.05776212419981,0.0157060151273352,11.887003695865747,-0.3333339691162074,12.34104502793179,11.467288273612398,11.80555534362793,11.777777671813965,11.722222328186032,11.694444656372069,11.86111068725586,11.888888359069826,11.944443702697756,1
0.24,0.38,0.38,11.916666984558104,11.75,11.916666984558104,3000.0,5872.701,5.4,127.5,8.23,3170.4,49.654985884948125,0.0122177662364735,11.88740893205007,-0.0833330154418963,12.34104502793179,11.467288273612398,11.861111323038736,11.805555661519367,11.694444338480633,11.638888676961264,11.972222646077473,12.02777830759684,12.138889630635576,0
0.24,0.38,0.38,12.0,11.75,11.833333015441896,13050.0,5872.701,5.4,127.5,8.23,3170.4,42.50197863958482,0.0081007425128032,11.88437566013201,-0.0833339691162073,12.34104502793179,11.467288273612398,11.8611110051473,11.722222010294598,11.6111110051473,11.472222010294598,11.972222010294598,12.1111110051473,12.222222010294598,0
0.24,0.38,0.38,11.833333015441896,11.75,11.75,6000.0,5872.701,5.4,127.5,8.23,3170.4,36.44439422795707,0.0024574432700811,11.880997265156974,-0.25,12.32951751660926,11.49548248339074,11.777777671813965,11.722222328186032,11.694444656372069,11.638889312744135,11.80555534362793,11.86111068725586,11.888888359069826,1
0.24,0.38,0.38,11.916666984558104,11.833333015441896,11.916666984558104,3450.0,5872.701,5.3,128.0,8.24,3170.5,52.17446156135318,-0.001193191440493,11.88150556970854,-0.0833330154418963,12.257431829455342,11.625901567456278,11.8888889948527,11.8611110051473,11.805555025736494,11.777777036031091,11.944444974263506,11.972222963968909,12.027778943379714,0
0.15,0.37,0.48,11.916666984558104,11.833333015441896,11.916666984558104,1500.0,5872.701,5.3,128.0,8.24,3170.5,52.17446156135318,-0.0034007707980766,11.88172208088372,0.0,12.242715272616437,11.665618124295186,11.8888889948527,11.8611110051473,11.805555025736494,11.777777036031091,11.944444974263506,11.972222963968909,12.027778943379714,0
0.15,0.37,0.48,12.0,11.833333015441896,11.916666984558104,3000.0,5872.701,5.3,128.0,8.24,3170.5,52.17446156135318,-0.0045803950147036,11.882147201366378,-0.0833330154418963,12.235425571334437,11.689574524032995,11.916666666666666,11.833333333333332,11.749999682108562,11.666666348775228,12.000000317891436,12.08333365122477,12.16666730244954,0
0.15,0.37,0.48,11.916666984558104,11.833333015441896,11.916666984558104,1500.0,5872.701,5.3,128.0,8.24,3170.5,52.17446156135318,-0.0050434393663503,11.882355906222434,-0.0833330154418963,12.231392798821368,11.685273995001875,11.8888889948527,11.8611110051473,11.805555025736494,11.777777036031091,11.944444974263506,11.972222963968909,12.027778943379714,1
0.15,0.37,0.48,12.0,11.916666984558104,12.0,6000.0,5872.701,5.3,128.0,8.24,3170.5,60.7778131233877,-0.0036920471814335,11.885133806901951,0.1666669845581037,12.20592403043431,11.69407606493312,11.972222328186035,11.94444465637207,11.88888931274414,11.861111640930174,12.027777671813968,12.055555343627931,12.111110687255865,1
0.15,0.37,0.48,12.166666984558104,12.0,12.083333015441896,8100.0,5872.701,5.3,128.0,8.24,3170.5,67.51962645876132,6.370097516737727e-05,11.891256665747008,0.25,12.131526453710162,11.743473641657271,12.083333333333334,11.999999682108564,11.91666634877523,11.83333269755046,12.166666666666668,12.250000317891438,12.333333651224772,1
0.19,0.3,0.51,12.25,12.083333015441896,12.166666984558104,3450.0,5872.701,5.3,128.0,8.24,3170.5,72.89539827620922,0.0064589699692602,11.894833423134164,0.3333339691162074,12.131526453710162,11.743473641657271,12.166666666666666,12.083333333333332,11.999999682108562,11.916666348775228,12.250000317891436,12.33333365122477,12.41666730244954,1
0.19,0.3,0.51,12.25,12.083333015441896,12.25,7500.0,5872.701,5.3,128.0,8.24,3170.5,77.24155457611593,0.0154881972119464,11.904585388451732,0.3333330154418963,12.18817055086289,11.71182954450454,12.194444338480633,12.138888676961262,12.027777353922527,11.972221692403158,12.305555661519366,12.361111323038736,12.47222264607747,1
0.19,0.3,0.51,12.333333015441896,12.25,12.333333015441896,5850.0,5872.701,5.3,128.0,8.24,3170.5,80.79482655483322,0.0269892403011572,11.913575258049914,0.5,12.26340711420829,11.678259584247522,12.30555534362793,12.277777671813965,12.222222328186032,12.194444656372069,12.36111068725586,12.388888359069826,12.444443702697756,0
0.19,0.3,0.51,12.5,12.25,12.25,24750.0,5872.701,5.3,128.0,8.24,3170.5,68.46150133820504,0.0380456224635261,11.940987644431033,0.5,12.30140501052498,11.665261687930832,12.333333333333334,12.166666666666668,12.083333333333334,11.916666666666668,12.416666666666668,12.583333333333334,12.666666666666668,1
