Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.38,0.32,0.3,806.625,696.0,726.0,448867.0,9526.21,4.3,165.9,4.74,4501.4,70.95574029735735,11.866026465108702,571.1486728495172,167.25,727.3135606221439,285.9364393778561,742.875,679.125,632.25,568.5,789.75,853.5,900.375,1
0.41,0.32,0.27,833.25,690.0,826.875,721900.0,9526.21,4.3,165.9,4.74,4501.4,76.94540613504297,22.144983153830832,590.0849206085035,347.625,786.0374531666919,260.1750468333082,783.375,733.5,640.125,590.25,876.75,926.625,1020.0,1
0.41,0.32,0.27,990.0,810.0,974.25,845467.0,9526.21,4.3,165.9,4.74,4501.4,82.89262412206155,35.17892252295072,620.7424269779232,486.0,877.9753786263018,217.36212137369824,924.75,859.5,744.75,679.5,1039.5,1104.75,1219.5,0
0.41,0.32,0.27,990.0,810.0,974.25,845467.0,9526.21,4.2,166.0,4.74,4464.1,82.89262412206155,49.17619114357301,646.8684409500958,615.0,951.4016740589936,196.28582594100635,924.75,859.5,744.75,679.5,1039.5,1104.75,1219.5,0
0.41,0.32,0.27,953.25,833.25,835.5,873317.0,9526.21,4.2,166.0,4.74,4464.1,62.63887882655584,60.71773822515317,660.247166205631,429.75,983.6956843426112,200.1418156573889,874.0,794.75,754.0,674.75,914.75,994.0,1034.75,0
0.41,0.32,0.27,900.0,783.75,804.0,692750.0,9526.21,4.2,166.0,4.74,4464.1,58.87084172857386,69.47410754186022,667.9040190648647,357.0,1006.2474883544104,213.2900116455893,829.25,758.5,713.0,642.25,874.75,945.5,991.0,1
0.41,0.32,0.27,912.0,720.75,907.125,1264033.0,9526.21,4.2,166.0,4.74,4464.1,66.48628347911009,77.5127116456528,689.0941532060266,448.875,1042.0724495432505,224.67755045674943,846.625,781.25,655.375,590.0,972.5,1037.875,1163.75,0
0.54,0.32,0.14,912.0,827.25,836.625,632083.0,9526.21,4.2,166.0,4.74,4464.1,58.01313739059296,83.37858403529299,695.351784453556,308.625,1061.1211918443032,244.8913081556969,858.625,805.25,773.875,720.5,890.0,943.375,974.75,0
0.54,0.32,0.14,865.875,777.75,783.9375,569683.0,9526.21,4.2,166.0,4.74,4464.1,52.269019169268425,86.5444966063829,698.6135825048996,59.4375,1070.687647570502,267.781102429498,809.1875,752.5,721.0625,664.375,840.625,897.3125,928.75,0
0.54,0.32,0.14,791.25,726.0,768.0,449167.0,9526.21,4.2,166.0,4.74,4464.1,50.523009123266434,87.40063838352918,700.5711366876237,-10.125,1077.5954980745582,288.7732519254419,761.75,732.25,696.5,667.0,797.5,827.0,862.75,0
0.54,0.32,0.14,808.5,738.0,738.0,286467.0,9526.21,4.2,166.0,4.74,4464.1,47.10540251742094,86.0863439952227,701.2326946294594,12.0,1082.780623902025,301.5131260979754,761.5,714.5,691.0,644.0,785.0,832.0,855.5,1
0.54,0.32,0.14,774.0,732.0,756.0,240517.0,9526.21,4.2,166.0,4.74,4464.1,49.47168627874935,83.57153104608734,702.0335539714542,-70.875,1084.276259388772,327.6924906112281,754.0,734.0,712.0,692.0,776.0,796.0,818.0,0
0.43,0.31,0.26,792.0,726.0,729.0,187167.0,9526.21,4.2,166.0,4.74,4464.1,45.91649173420663,79.81484131645298,702.3369626469876,-245.25,1082.19967840347,353.8440715965301,749.0,706.0,683.0,640.0,772.0,815.0,838.0,1
0.43,0.31,0.26,807.0,714.0,796.875,792600.0,9526.21,4.2,166.0,4.74,4464.1,55.24553330807751,76.37769097787942,706.6364925447065,-177.375,1063.6625448868365,416.143705113164,772.625,738.25,679.625,645.25,831.25,865.625,924.25,0
0.43,0.31,0.26,793.875,744.0,790.5,341400.0,9526.21,4.2,166.0,4.74,4464.1,54.23175250040087,73.04521323041935,708.2477743330776,-45.0,1042.5023518006756,475.7788981993245,776.125,758.375,726.25,708.5,808.25,826.0,858.125,1
0.43,0.31,0.26,838.5,766.125,816.75,418517.0,9526.21,4.2,166.0,4.74,4464.1,57.90207798678989,70.20535482772817,710.7445316557967,12.75,1020.6127210943716,534.6435289056283,807.125,775.75,734.75,703.375,848.125,879.5,920.5,1
0.43,0.31,0.26,865.5,808.5,855.0,226583.0,9526.21,4.2,166.0,4.74,4464.1,62.90380211318284,68.27337496234895,712.5195675077158,-52.125,990.2625912342874,604.6686587657127,843.0,820.5,786.0,763.5,877.5,900.0,934.5,0
