Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,4.935605049133301,4.786542892456055,4.836231231689453,517738.0,5872.701,5.4,127.5,8.23,3170.4,24.157492070063498,-0.0830938220841047,5.240727846598251,-0.2981228828430176,5.598675067651735,4.754502146017089,4.852793057759603,4.769981066385904,4.7037309010823565,4.620918909708658,4.9190432230631504,5.001855214436849,5.0681053797403965,0
0.24,0.38,0.38,4.885918140411377,4.720293998718262,4.720293998718262,610568.0,5872.701,5.4,127.5,8.23,3170.4,18.93185681750782,-0.0926912472041421,5.229710716089274,-0.414060115814209,5.6073365089352345,4.684559691244819,4.7755020459493,4.665085951487223,4.609877904256185,4.499461809794108,4.830710093180338,4.941126187642415,4.996334234873453,0
0.24,0.38,0.38,4.720293998718262,4.571231842041016,4.60435676574707,714720.0,5872.701,5.4,127.5,8.23,3170.4,15.150399248568364,-0.1044651476364532,5.214589036678565,-0.4803104400634765,5.607719067069021,4.603021213082346,4.631960868835449,4.543627738952637,4.482898712158203,4.394565582275391,4.692689895629883,4.781023025512695,4.841752052307129,1
0.24,0.38,0.38,4.703731060028076,4.587793827056885,4.703731060028076,1460383.0,5872.701,5.4,127.5,8.23,3170.4,29.14701944272153,-0.1151624572843279,5.190536526403399,-0.3478107452392578,5.562699418671689,4.568541187636295,4.665085315704346,4.626439571380615,4.549148082733154,4.510502338409424,4.742376804351807,4.781022548675537,4.858314037322998,1
0.24,0.38,0.38,4.852793216705322,4.75341796875,4.819667816162109,1365288.0,5872.701,5.3,128.0,8.24,3170.5,42.02163653431769,-0.1225120282704509,5.174900353226493,-0.1656250953674316,5.504226666178841,4.562420434269768,4.8086263338724775,4.764459451039633,4.709251085917155,4.665084203084311,4.863834698994955,4.9080015818278,4.963209946950277,1
0.15,0.37,0.48,4.952167987823486,4.80310583114624,4.952167987823486,589436.0,5872.701,5.3,128.0,8.24,3170.5,53.22884592441908,-0.1249848323173997,5.170918621627046,-0.0993738174438476,5.42844789928818,4.585199418598172,4.902480602264404,4.852793216705322,4.753418445587158,4.703731060028076,5.001855373382568,5.05154275894165,5.150917530059815,0
0.15,0.37,0.48,4.985292911529541,4.885918140411377,4.935605049133301,670946.0,5872.701,5.3,128.0,8.24,3170.5,51.78505329219863,-0.124250731149901,5.166225758716627,0.0,5.34842587713282,4.613877856692864,4.935605367024739,4.885917822519938,4.836230595906575,4.7865430514017735,4.985292593638102,5.034980138142903,5.084667364756266,0
0.15,0.37,0.48,4.935605049133301,4.869356155395508,4.869356155395508,635474.0,5872.701,5.3,128.0,8.24,3170.5,46.02365358424844,-0.1223188565758928,5.160722244243764,-0.0993738174438485,5.301743933521951,4.619153836406028,4.891439119974772,4.847273190816244,4.82519022623698,4.781024297078451,4.913522084554037,4.957688013712565,4.97977097829183,0
0.15,0.37,0.48,4.919043064117432,4.80310583114624,4.869356155395508,802267.0,5872.701,5.3,128.0,8.24,3170.5,46.02365358424844,-0.1194587234761554,5.154058976065213,-0.1490607261657714,5.264121090674392,4.62199560472966,4.8638350168863935,4.808626969655355,4.747897783915202,4.692689736684164,4.924564202626547,4.979772249857585,5.040501435597738,0
0.15,0.37,0.48,4.902480125427246,4.852793216705322,4.869356155395508,1636233.0,5872.701,5.3,128.0,8.24,3170.5,46.02365358424844,-0.1158944382242635,5.141371704453245,-0.0496869087219238,5.2068899093998615,4.639477020608074,4.874876499176025,4.847272872924805,4.825189590454102,4.797585964202881,4.8969597816467285,4.924563407897949,4.946646690368652,0
0.19,0.3,0.51,4.869356155395508,4.819667816162109,4.852793216705322,880758.0,5872.701,5.3,128.0,8.24,3170.5,44.13768017134484,-0.1120757549132447,5.1346115417879234,0.0165619850158691,5.176144669419703,4.642066170805517,4.847272396087647,4.825188636779785,4.797584056854248,4.775500297546387,4.874876976013184,4.896960735321045,4.924565315246582,0
0.19,0.3,0.51,4.852793216705322,4.80310583114624,4.852793216705322,767550.0,5872.701,5.3,128.0,8.24,3170.5,44.13768017134484,-0.1080423582004718,5.128973402638575,0.1324992179870605,5.14091677104163,4.649137979400874,4.836230754852295,4.819668292999268,4.786543369293213,4.7699809074401855,4.86935567855835,4.885918140411377,4.919043064117432,1
