Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,4.78125,4.6875,4.71875,119600.0,5872.701,5.4,127.5,8.23,3170.4,40.325412871501264,-0.0499611397847935,4.859199785620053,0.0,5.066336594040294,4.614913405959706,4.729166666666667,4.677083333333334,4.635416666666667,4.583333333333334,4.770833333333334,4.822916666666667,4.864583333333334,1
0.24,0.38,0.38,4.84375,4.71875,4.75,146800.0,5872.701,5.4,127.5,8.23,3170.4,44.93268655536802,-0.0513523854519589,4.855992396958784,0.03125,5.050402359812622,4.608972640187378,4.770833333333333,4.697916666666666,4.645833333333333,4.572916666666666,4.822916666666666,4.895833333333333,4.947916666666666,0
0.24,0.38,0.38,4.71875,4.5,4.5,376400.0,5872.701,5.4,127.5,8.23,3170.4,26.23536008129008,-0.0560224976609297,4.831060211372432,-0.25,5.05540603976962,4.55396896023038,4.572916666666667,4.427083333333334,4.354166666666667,4.208333333333334,4.645833333333334,4.791666666666667,4.864583333333334,1
0.24,0.38,0.38,4.625,4.53125,4.625,190400.0,5872.701,5.4,127.5,8.23,3170.4,40.515669409656255,-0.0603809362984573,4.824009847613571,-0.28125,5.043848110341012,4.534276889658988,4.59375,4.5625,4.5,4.46875,4.65625,4.6875,4.75,0
0.24,0.38,0.38,4.6875,4.53125,4.5625,166400.0,5872.701,5.3,128.0,8.24,3170.5,36.44517351178947,-0.0651750780536863,4.816417155220547,-0.28125,5.012729947872677,4.518520052127323,4.59375,4.5,4.4375,4.34375,4.65625,4.75,4.8125,0
0.15,0.37,0.48,4.59375,4.5,4.53125,478000.0,5872.701,5.3,128.0,8.24,3170.5,34.44847621542263,-0.0703410215614942,4.794464262706951,-0.25,4.984567251792404,4.499807748207596,4.541666666666667,4.489583333333334,4.447916666666667,4.395833333333334,4.583333333333334,4.635416666666667,4.677083333333334,0
0.15,0.37,0.48,4.59375,4.53125,4.53125,87200.0,5872.701,5.3,128.0,8.24,3170.5,34.448476215422616,-0.0753088744931608,4.790818960040658,-0.15625,4.955459255687861,4.485165744312139,4.552083333333333,4.510416666666666,4.489583333333333,4.447916666666666,4.572916666666666,4.614583333333333,4.635416666666666,0
0.15,0.37,0.48,4.5625,4.5,4.53125,86000.0,5872.701,5.3,128.0,8.24,3170.5,34.44847621542263,-0.0797205008712998,4.787321383805465,-0.25,4.940901846953964,4.465348153046036,4.53125,4.5,4.46875,4.4375,4.5625,4.59375,4.625,0
0.15,0.37,0.48,4.65625,4.40625,4.4375,239200.0,5872.701,5.3,128.0,8.24,3170.5,27.504082381325446,-0.084866257825419,4.774684366316298,-0.28125,4.943976795265872,4.424773204734128,4.5,4.34375,4.25,4.09375,4.59375,4.75,4.84375,0
0.15,0.37,0.48,4.5,4.4375,4.4375,173600.0,5872.701,5.3,128.0,8.24,3170.5,27.50408238132546,-0.0900089771513318,4.766070167176831,-0.3125,4.934505454146284,4.393619545853716,4.458333333333333,4.416666666666666,4.395833333333333,4.354166666666666,4.479166666666666,4.520833333333333,4.541666666666666,1
0.19,0.3,0.51,4.625,4.5,4.5625,648400.0,5872.701,5.3,128.0,8.24,3170.5,46.60970506637558,-0.0926807520455544,4.748337497984846,-0.15625,4.929058251534414,4.383441748465586,4.5625,4.5,4.4375,4.375,4.625,4.6875,4.75,1
0.19,0.3,0.51,4.625,4.5625,4.625,162800.0,5872.701,5.3,128.0,8.24,3170.5,53.65597541909078,-0.0924553388068368,4.745697701935212,-0.125,4.923067655277218,4.380057344722782,4.604166666666667,4.583333333333334,4.541666666666667,4.520833333333334,4.645833333333334,4.666666666666667,4.708333333333334,0
0.19,0.3,0.51,4.65625,4.59375,4.625,122800.0,5872.701,5.3,128.0,8.24,3170.5,53.65597541909078,-0.0902151162897721,4.743780080732805,0.125,4.9130047268006205,4.37762027319938,4.625,4.59375,4.5625,4.53125,4.65625,4.6875,4.71875,0
0.19,0.3,0.51,4.625,4.5625,4.625,248000.0,5872.701,5.3,128.0,8.24,3170.5,53.65597541909078,-0.086623868017852,4.740087374015945,0.0,4.869113295546879,4.39338670445312,4.604166666666667,4.583333333333334,4.541666666666667,4.520833333333334,4.645833333333334,4.666666666666667,4.708333333333334,0
0.19,0.3,0.51,4.625,4.5625,4.59375,78800.0,5872.701,5.3,128.0,8.24,3170.5,48.71747104671301,-0.0826752243263332,4.738655970705064,0.03125,4.834876181467657,4.402623818532343,4.59375,4.5625,4.53125,4.5,4.625,4.65625,4.6875,1
0.23,0.43,0.34,4.6875,4.59375,4.6875,204400.0,5872.701,5.3,128.0,8.24,3170.5,61.10836653238095,-0.0770254064813991,4.737390138492083,0.15625,4.819132890674959,4.408992109325041,4.65625,4.625,4.5625,4.53125,4.71875,4.75,4.8125,0
0.23,0.43,0.34,4.6875,4.5625,4.65625,171200.0,5872.701,5.3,128.0,8.24,3170.5,55.912381375964735,-0.0709285174382035,4.735742622989705,0.125,4.815681925221815,4.409318074778184,4.635416666666667,4.583333333333334,4.510416666666667,4.458333333333334,4.708333333333334,4.760416666666667,4.833333333333334,0
0.23,0.43,0.34,4.65625,4.53125,4.625,456400.0,5872.701,5.3,128.0,8.24,3170.5,50.91690268345131,-0.0652079368873919,4.730055974347435,0.09375,4.791940626950214,4.417434373049786,4.604166666666667,4.552083333333334,4.479166666666667,4.427083333333334,4.677083333333334,4.729166666666667,4.802083333333334,1
0.23,0.43,0.34,4.71875,4.625,4.71875,76400.0,5872.701,5.3,128.0,8.24,3170.5,62.51110597333153,-0.0583787529204819,4.729959618044711,0.28125,4.791940626950214,4.417434373049786,4.6875,4.65625,4.59375,4.5625,4.75,4.78125,4.84375,0
0.24,0.38,0.38,4.71875,4.5625,4.59375,754000.0,5872.701,5.3,128.0,8.24,3170.5,45.84912467647421,-0.0530739599254042,4.719391823756997,0.15625,4.771192277278806,4.422557722721193,4.625,4.53125,4.46875,4.375,4.6875,4.78125,4.84375,1
0.24,0.38,0.38,4.65625,4.5625,4.65625,58800.0,5872.701,5.3,128.0,8.24,3170.5,53.06637069868582,-0.0478845943860877,4.719012089350734,0.09375,4.7609640135149895,4.4265359864850105,4.625,4.59375,4.53125,4.5,4.6875,4.71875,4.78125,0
0.24,0.38,0.38,4.6875,4.53125,4.53125,269200.0,5872.701,5.3,128.0,8.24,3170.5,40.58396253671543,-0.0449247749740703,4.713980878722727,-0.09375,4.734928874685207,4.430696125314793,4.583333333333333,4.479166666666666,4.427083333333333,4.322916666666666,4.635416666666666,4.739583333333333,4.791666666666666,0
0.24,0.38,0.38,4.5625,4.34375,4.40625,454800.0,5872.701,5.3,128.0,8.24,3170.5,31.920420239996204,-0.045409459850394,4.7006532586752,-0.21875,4.745952644984532,4.410297355015468,4.4375,4.3125,4.21875,4.09375,4.53125,4.65625,4.75,0
