Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,3.507812976837158,3.382812976837158,3.40625,5921600.0,5872.701,5.4,127.5,8.23,3170.4,8.142593804183377,-0.06771718086643,3.742870997474862,-0.4296879768371582,4.108277446073509,3.4643793284473654,3.432291984558105,3.3567709922790527,3.307291984558105,3.2317709922790527,3.4817709922790527,3.557291984558105,3.6067709922790527,0
0.24,0.38,0.38,3.421875,3.328125,3.382812976837158,3512000.0,5872.701,5.4,127.5,8.23,3170.4,7.61283797965217,-0.0792448199211159,3.726406873247215,-0.4921870231628418,4.1138372816113735,3.4002257905932165,3.377604325612386,3.3333336512247724,3.283854325612386,3.2395836512247724,3.4270836512247724,3.471354325612386,3.5208336512247724,0
0.24,0.38,0.38,3.375,3.296875,3.320312976837158,3131200.0,5872.701,5.4,127.5,8.23,3170.4,6.343036922715584,-0.091416420753279,3.710499632349008,-0.5,4.1136227791103055,3.334034090778,3.330729325612386,3.2864586512247724,3.252604325612386,3.2083336512247724,3.3645836512247724,3.408854325612386,3.4427086512247724,1
0.24,0.38,0.38,3.414062976837158,3.3125,3.398437976837158,3228800.0,5872.701,5.4,127.5,8.23,3170.4,24.50508151028625,-0.1018987936627371,3.698384113844584,-0.40625,4.0930281069845496,3.297597560587472,3.375000317891439,3.33593765894572,3.2734373410542807,3.234374682108561,3.437500635782878,3.476563294728597,3.539063612620036,1
0.24,0.38,0.38,3.46875,3.398437976837158,3.4375,3750400.0,5872.701,5.3,128.0,8.24,3170.5,32.10132025132859,-0.109917428198488,3.687126936957656,-0.3671879768371582,4.068266043691232,3.273140826197074,3.4348959922790527,3.401041984558105,3.364583969116211,3.330729961395264,3.471354007720948,3.5052080154418945,3.541666030883789,1
0.15,0.37,0.48,3.53125,3.4375,3.523437976837158,2030400.0,5872.701,5.3,128.0,8.24,3170.5,45.91567483230926,-0.1143498748979989,3.6833903376809216,-0.28125,4.055131172871186,3.2589319947008355,3.4973959922790527,3.463541984558105,3.4036459922790527,3.369791984558105,3.557291984558105,3.5911459922790527,3.6510419845581055,1
0.15,0.37,0.48,3.554687976837158,3.515625,3.554687976837158,2340800.0,5872.701,5.3,128.0,8.24,3170.5,50.16947907254506,-0.1155430103634294,3.68009010362346,-0.1328120231628418,4.038791021991204,3.250272145580817,3.541666984558105,3.5286459922790527,3.502604007720948,3.4895830154418945,3.567708969116211,3.580729961395264,3.606771945953369,0
0.15,0.37,0.48,3.5625,3.539062976837158,3.554687976837158,4756800.0,5872.701,5.3,128.0,8.24,3170.5,50.16947907254506,-0.1143799162779985,3.673879223137417,-0.078125,4.013339412184277,3.246036255387744,3.552083651224772,3.541667302449544,3.52864662806193,3.518230279286702,3.5651043256123858,3.575520674387614,3.588541348775228,1
0.15,0.37,0.48,3.601562976837158,3.515625,3.601562976837158,3648000.0,5872.701,5.3,128.0,8.24,3170.5,56.93387411672396,-0.1107923962579807,3.671232954795745,0.03125,3.9892119008135447,3.2467262667584764,3.572916984558105,3.5442709922790527,3.486979007720948,3.4583330154418945,3.630208969116211,3.658854961395264,3.716146945953369,1
0.15,0.37,0.48,3.703125,3.601562976837158,3.664062976837158,4387200.0,5872.701,5.3,128.0,8.24,3170.5,64.37409861768174,-0.1046236874794242,3.670930719871881,0.2109379768371582,3.9560367677038815,3.2572451975518546,3.656250317891439,3.609375635782878,3.554688294728597,3.507813612620036,3.71093765894572,3.7578123410542807,3.8124996821085615,1
0.19,0.3,0.51,3.6875,3.640625,3.6875,2460800.0,5872.701,5.3,128.0,8.24,3170.5,66.85196753975416,-0.0965481309371965,3.671313430503641,0.28125,3.934111712918895,3.2643264546531263,3.671875,3.65625,3.625,3.609375,3.703125,3.71875,3.75,0
0.19,0.3,0.51,3.679687976837158,3.585937976837158,3.585937976837158,2219200.0,5872.701,5.3,128.0,8.24,3170.5,49.60199486297221,-0.089101043219275,3.669571356265912,0.203125,3.893471438692044,3.2760605265636937,3.617187976837158,3.554687976837158,3.523437976837158,3.460937976837158,3.648437976837158,3.710937976837158,3.742187976837158,0
0.19,0.3,0.51,3.59375,3.539062976837158,3.554687976837158,1227200.0,5872.701,5.3,128.0,8.24,3170.5,45.43931880819353,-0.0827337524266574,3.6682895077036,0.234375,3.859697006842577,3.28327245841316,3.562500317891439,3.531250635782878,3.507813294728597,3.476563612620036,3.58593765894572,3.6171873410542807,3.6406246821085615,0
0.19,0.3,0.51,3.578125,3.484375,3.523437976837158,1883200.0,5872.701,5.3,128.0,8.24,3170.5,41.4277628049247,-0.0776870498739535,3.6658510762291616,0.125,3.824387499753859,3.2904569655018787,3.5286459922790527,3.479166984558105,3.4348959922790527,3.385416984558105,3.572916984558105,3.6223959922790527,3.6666669845581055,1
