Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,8.683255195617676,8.42635440826416,8.570219039916992,6186721.0,5872.701,5.4,127.5,8.23,3170.4,20.339055361371848,-0.0971133933625412,9.094067855620354,-0.4521455764770525,9.837393631093033,8.416967140086168,8.559942881266275,8.436630566914875,8.30304209391276,8.17972977956136,8.69353135426839,8.816843668619791,8.950432141621906,1
0.24,0.38,0.38,8.75518798828125,8.590770721435547,8.70380687713623,5668525.0,5872.701,5.4,127.5,8.23,3170.4,35.744525850842024,-0.1122421950818539,9.080105458849566,-0.3288345336914062,9.83556891999264,8.368439277791785,8.683255195617676,8.611322402954102,8.518837928771973,8.446905136108398,8.775739669799805,8.847672462463379,8.940156936645508,0
0.24,0.38,0.38,8.70380687713623,8.477733612060547,8.631875038146973,5943436.0,5872.701,5.4,127.5,8.23,3170.4,31.9104193093702,-0.125071755872893,9.06389928504974,-0.5651817321777362,9.796597899938607,8.321091518854118,8.604471842447916,8.505136807759602,8.378398577372232,8.279063542683918,8.731210072835285,8.8305451075236,8.957283337910969,0
0.24,0.38,0.38,8.70380687713623,8.344145774841309,8.559943199157715,9348201.0,5872.701,5.4,127.5,8.23,3170.4,28.395955828056685,-0.1366502168658298,9.036782295628887,-0.4932498931884765,9.748043082653435,8.274079109729376,8.535965283711752,8.368123690287273,8.17630418141683,8.008462587992351,8.727784792582195,8.895626386006674,9.087445894877115,0
0.24,0.38,0.38,8.621599197387695,8.344145774841309,8.36469841003418,7417739.0,5872.701,5.3,128.0,8.24,3170.5,21.113311823825057,-0.1496411137782726,9.009261698654582,-0.6576662063598651,9.706337533851457,8.201720632652451,8.44348112742106,8.265363057454426,8.166027704874674,7.987909634908039,8.542816480000813,8.720934549967447,8.8202699025472,1
0.15,0.37,0.48,8.64215087890625,8.36469841003418,8.611323356628418,9479574.0,5872.701,5.3,128.0,8.24,3170.5,42.57770425028726,-0.1585604745287555,8.989473082232577,-0.3904895782470703,9.62217197557852,8.193401812110691,8.539390881856283,8.436630884806316,8.261938412984213,8.159178415934246,8.714083353678387,8.816843350728353,8.991535822550457,1
0.15,0.37,0.48,8.868224143981934,8.672979354858398,8.868224143981934,6046832.0,5872.701,5.3,128.0,8.24,3170.5,56.728802050110914,-0.1600002142472079,8.985745264670587,0.1541414260864257,9.504562354862404,8.237023948848536,8.803142547607422,8.73806095123291,8.607897758483887,8.542816162109375,8.933305740356445,8.998387336730957,9.12855052947998,0
0.15,0.37,0.48,9.001812934875488,8.734635353088379,8.847672462463379,6420274.0,5872.701,5.3,128.0,8.24,3170.5,55.467048684611065,-0.1566396160945486,8.981380509272837,0.2260732650756836,9.36674045857496,8.299830777081779,8.861373583475748,8.720934232076008,8.594196001688639,8.453756650288899,8.988111813863117,9.128551165262856,9.255289395650228,1
0.15,0.37,0.48,8.981260299682617,8.744911193847656,8.960707664489746,6093056.0,5872.701,5.3,128.0,8.24,3170.5,60.97542165858959,-0.1482860032699265,8.980778371260792,0.2877283096313476,9.30982334457144,8.323864437716159,8.895626386006674,8.80999247233073,8.659277280171713,8.57364336649577,9.046341578165691,9.131975491841636,9.282690684000652,0
0.15,0.37,0.48,9.073744773864746,8.929880142211914,8.960707664489746,5673391.0,5872.701,5.3,128.0,8.24,3170.5,60.97542165858959,-0.1369028019710177,8.980248409583702,0.3699369430541992,9.246728221910876,8.354076107007582,8.988110860188803,8.90247694651286,8.84424622853597,8.758612314860027,9.046341578165691,9.131975491841636,9.190206209818523,0
