Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,6.0,5.9375,5.9375,21200.0,5872.701,5.4,127.5,8.23,3170.4,31.758613382807155,-0.1731827483148147,6.325987700335445,-0.1875,6.852437552448964,5.672562447551036,5.958333333333333,5.916666666666666,5.895833333333333,5.854166666666666,5.979166666666666,6.020833333333333,6.041666666666666,1
0.24,0.38,0.38,6.125,6.0,6.0625,2600.0,5872.701,5.4,127.5,8.23,3170.4,45.17409788821793,-0.174278501340861,6.324717173590504,-0.0625,6.777159739098395,5.679090260901606,6.0625,6.0,5.9375,5.875,6.125,6.1875,6.25,0
0.24,0.38,0.38,6.0625,5.9375,5.9375,129400.0,5872.701,5.4,127.5,8.23,3170.4,36.82171432226091,-0.1748942232766954,6.249775650613222,-0.125,6.723924995936049,5.66357500406395,5.979166666666667,5.895833333333334,5.854166666666667,5.770833333333334,6.020833333333334,6.104166666666667,6.145833333333334,1
0.24,0.38,0.38,6.125,6.0,6.125,70400.0,5872.701,5.4,127.5,8.23,3170.4,52.13793298419427,-0.1717867215598591,6.237889039242219,0.0625,6.623833878409576,5.701166121590424,6.083333333333333,6.041666666666666,5.958333333333333,5.916666666666666,6.166666666666666,6.208333333333333,6.291666666666666,0
0.24,0.38,0.38,6.125,6.125,6.125,21200.0,5872.701,5.3,128.0,8.24,3170.5,52.13793298419427,-0.1661169390759413,6.234740857669035,0.0625,6.500504227071982,5.761995772928017,6.125,6.125,6.125,6.125,6.125,6.125,6.125,0
0.15,0.37,0.48,6.125,6.125,6.125,3600.0,5872.701,5.3,128.0,8.24,3170.5,52.13793298419427,-0.1587597739073664,6.234223618748364,0.125,6.3933062937639145,5.819193706236086,6.125,6.125,6.125,6.125,6.125,6.125,6.125,1
0.15,0.37,0.48,6.25,6.1875,6.25,12200.0,5872.701,5.3,128.0,8.24,3170.5,61.657489683837525,-0.1483745170845219,6.2344716494845365,0.3125,6.348432647468728,5.845317352531271,6.229166666666667,6.208333333333334,6.166666666666667,6.145833333333334,6.270833333333334,6.291666666666667,6.333333333333334,1
0.15,0.37,0.48,6.3125,6.1875,6.3125,9000.0,5872.701,5.3,128.0,8.24,3170.5,65.60430883032315,-0.1353003968654761,6.235366242038217,0.1875,6.33195877618726,5.85554122381274,6.270833333333333,6.229166666666666,6.145833333333333,6.104166666666666,6.354166666666666,6.395833333333333,6.479166666666666,0
0.15,0.37,0.48,6.3125,6.1875,6.1875,7000.0,5872.701,5.3,128.0,8.24,3170.5,53.011685840094586,-0.1229122411688629,6.234943181818182,0.25,6.307398301853143,5.867601698146858,6.229166666666667,6.145833333333334,6.104166666666667,6.020833333333334,6.270833333333334,6.354166666666667,6.395833333333334,1
0.15,0.37,0.48,6.3125,6.1875,6.25,8600.0,5872.701,5.3,128.0,8.24,3170.5,57.69636093701119,-0.1103261494802776,6.235104921309018,0.25,6.307398301853143,5.867601698146858,6.25,6.1875,6.125,6.0625,6.3125,6.375,6.4375,1
