Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,5.585818767547607,5.436683177947998,5.585818767547607,713611.0,5872.701,5.4,127.5,8.23,3170.4,34.40689947799686,-0.1344062578488988,5.781411066519469,-0.1626944541931152,6.33303502898426,5.3429535021284105,5.536106904347737,5.486395041147867,5.386971314748128,5.337259451548258,5.635530630747477,5.685242493947347,5.784666220347086,1
0.24,0.38,0.38,5.7213969230651855,5.585818767547607,5.680723190307617,240636.0,5872.701,5.4,127.5,8.23,3170.4,48.00029561029186,-0.1379628095277261,5.779216351436885,-0.0677900314331054,6.284778147352969,5.341046399460995,5.662646293640137,5.603895664215088,5.527068138122559,5.46831750869751,5.739473819732666,5.798224449157715,5.875051975250244,1
0.24,0.38,0.38,5.7213969230651855,5.599377155303955,5.707839012145996,478506.0,5872.701,5.4,127.5,8.23,3170.4,51.325766573214935,-0.1379560277246771,5.77625110605058,-0.0813469886779785,6.229499486597894,5.348872658101203,5.676204363505046,5.631011803944906,5.554184595743815,5.508992036183676,5.753031571706137,5.798224131266276,5.875051339467367,1
0.24,0.38,0.38,5.748513221740723,5.694281101226807,5.748513221740723,437939.0,5872.701,5.4,127.5,8.23,3170.4,56.17646172537076,-0.1347528100904405,5.77523510629842,0.0,6.174154309251549,5.36354443647599,5.730435848236084,5.712358474731445,5.676203727722168,5.658126354217529,5.766590595245361,5.78466796875,5.820822715759277,0
0.24,0.38,0.38,5.748513221740723,5.694281101226807,5.707839012145996,1110061.0,5872.701,5.3,128.0,8.24,3170.5,50.38301615964632,-0.1300558507105252,5.769509386672711,-0.0813469886779785,6.130091368813221,5.371001255851085,5.716877778371175,5.685242335001627,5.662645657857259,5.631010214487711,5.739474455515543,5.771109898885091,5.793706576029459,0
0.15,0.37,0.48,5.694281101226807,5.626492023468018,5.680723190307617,293189.0,5872.701,5.3,128.0,8.24,3170.5,46.67992617178802,-0.12480505882425,5.767560868853228,0.013556957244873,6.082790341366541,5.38034041882633,5.667165438334147,5.640049775441488,5.599376360575358,5.572260697682699,5.707838853200277,5.7349545160929365,5.775627930959066,0
0.15,0.37,0.48,5.6536078453063965,5.531588077545166,5.5587029457092285,930275.0,5872.701,5.3,128.0,8.24,3170.5,33.786242222049,-0.1211446964023615,5.753964019615854,0.0,6.017209116978277,5.391690333323847,5.581299622853597,5.508991400400797,5.459279855092366,5.386971632639567,5.631011168162027,5.703319390614827,5.753030935923258,0
0.15,0.37,0.48,5.585818767547607,5.504471778869629,5.504471778869629,1784027.0,5872.701,5.3,128.0,8.24,3170.5,29.59426103799288,-0.1192621799289283,5.726272864786167,0.0271158218383789,5.969937810237682,5.388797703449451,5.531587441762288,5.477356115976969,5.45024045308431,5.39600912729899,5.558703104654947,5.612934430440267,5.640050093332926,1
0.15,0.37,0.48,5.545145034790039,5.4637980461120605,5.531588077545166,1630056.0,5872.701,5.3,128.0,8.24,3170.5,34.29743582698981,-0.1178882201371052,5.708347511329772,0.054232120513916,5.913501100770809,5.399137897260808,5.513510386149089,5.481875737508139,5.43216339747111,5.40052874883016,5.563222726186117,5.594857374827067,5.644569714864096,1
0.15,0.37,0.48,5.545145034790039,5.531588077545166,5.545145034790039,772617.0,5872.701,5.3,128.0,8.24,3170.5,36.73537962040863,-0.1164200546285949,5.701522978245366,0.067789077758789,5.861104376780028,5.412216918004519,5.540626049041748,5.536107063293457,5.527069091796875,5.522550106048584,5.54966402053833,5.554183006286621,5.563220977783203,0
0.19,0.3,0.51,5.572260856628418,5.531588077545166,5.531588077545166,593754.0,5872.701,5.3,128.0,8.24,3170.5,35.22715226670289,-0.1149207549450243,5.69623202106161,-0.0542306900024414,5.848457655485977,5.403171124879013,5.545145670572917,5.518030484517416,5.504472891489665,5.477357705434164,5.558703263600668,5.585818449656169,5.59937604268392,0
0.19,0.3,0.51,5.545145034790039,5.504471778869629,5.504471778869629,668434.0,5872.701,5.3,128.0,8.24,3170.5,32.178139132193934,-0.1136512337921987,5.689738199370074,-0.1762514114379882,5.83468569323192,5.392538942845961,5.518029530843099,5.490914026896158,5.4773562749226885,5.450240770975748,5.531587282816568,5.558702786763509,5.572260538736979,0
0.19,0.3,0.51,5.518030166625977,5.450241088867188,5.49091386795044,629711.0,5872.701,5.3,128.0,8.24,3170.5,30.64778773726128,-0.1125495581666938,5.683591309825891,-0.2169251441955557,5.80992535699126,5.387472065799266,5.486395041147868,5.45475991566976,5.41860596338908,5.386970837910972,5.522548993428548,5.554184118906656,5.590338071187336,1
0.19,0.3,0.51,5.5587029457092285,5.504471778869629,5.5587029457092285,153048.0,5872.701,5.3,128.0,8.24,3170.5,45.57944631253858,-0.1102727781695002,5.682659895021157,-0.1898102760314941,5.788830568354957,5.3895858268324215,5.540625890096028,5.522548834482828,5.486394723256429,5.468317667643229,5.576780001322428,5.594857056935628,5.631011168162027,0
0.19,0.3,0.51,5.572260856628418,5.531588077545166,5.5587029457092285,306097.0,5872.701,5.3,128.0,8.24,3170.5,45.57944631253858,-0.1071274841200023,5.680838125837168,-0.1491360664367675,5.753941337923421,5.401426751752482,5.5541839599609375,5.536107063293457,5.5135111808776855,5.495434284210205,5.576779842376709,5.5948567390441895,5.617452621459961,0
0.23,0.43,0.34,5.545145034790039,5.42312479019165,5.49091386795044,507088.0,5872.701,5.3,128.0,8.24,3170.5,35.425051676258136,-0.1044400737376185,5.676323933697518,-0.1898093223571768,5.743911431191713,5.393831421972959,5.48639456431071,5.427644093831381,5.364374319712321,5.305623849232992,5.5496643384297695,5.608414808909099,5.671684583028158,0
0.23,0.43,0.34,5.450241088867188,5.396008968353272,5.450241088867188,186239.0,5872.701,5.3,128.0,8.24,3170.5,30.691424330538226,-0.1025914048414941,5.674367433893521,-0.1084618568420401,5.746358622690571,5.3805380447898985,5.43216371536255,5.414086341857911,5.377931594848634,5.359854221343995,5.468318462371827,5.486395835876466,5.522550582885743,1
0.23,0.43,0.34,5.5587029457092285,5.42312479019165,5.545145034790039,743114.0,5872.701,5.3,128.0,8.24,3170.5,49.02878687950835,-0.0996173895454398,5.670054312239608,0.0406732559204101,5.745493688021488,5.38818188723486,5.50899092356364,5.459278901418051,5.3734127680460615,5.323700745900473,5.594857056935629,5.644569079081218,5.730435212453207,0
0.23,0.43,0.34,5.5587029457092285,5.47735595703125,5.47735595703125,624179.0,5872.701,5.3,128.0,8.24,3170.5,40.251582362965216,-0.0969484186860686,5.664799254013458,-0.054232120513916,5.745493688021488,5.38818188723486,5.504471619923909,5.45024029413859,5.423124631245931,5.368893305460611,5.531587282816568,5.585818608601888,5.612934271494547,0
0.24,0.38,0.38,5.47735595703125,5.42312479019165,5.450241088867188,677654.0,5872.701,5.3,128.0,8.24,3170.5,37.17968661056821,-0.094822192461035,5.658629443539204,-0.0949039459228506,5.747379182527716,5.383584905912226,5.450240612030029,5.423125267028809,5.39600944519043,5.368894100189209,5.477356433868408,5.504471778869629,5.531587600708008,0
0.24,0.38,0.38,5.450241088867188,5.396008968353272,5.396008968353272,1234528.0,5872.701,5.3,128.0,8.24,3170.5,31.61202504626484,-0.0937967312018251,5.645556511206098,-0.1355791091918936,5.752630339065556,5.3593527694549525,5.414086341857911,5.377931594848634,5.359854221343995,5.323699474334718,5.43216371536255,5.468318462371827,5.486395835876466,1
0.24,0.38,0.38,5.450241088867188,5.409566879272461,5.436683177947998,1280627.0,5872.701,5.3,128.0,8.24,3170.5,39.45779837301267,-0.0926522494895061,5.6353003927676255,-0.0677886009216308,5.738112175654276,5.349466931630269,5.432163715362549,5.414086341857909,5.391489505767821,5.373412132263182,5.454760551452637,5.472837924957276,5.495434761047364,1
0.24,0.38,0.38,5.545145034790039,5.436683177947998,5.545145034790039,2407284.0,5872.701,5.3,128.0,8.24,3170.5,55.25301565399237,-0.0895515448880578,5.627682163121291,0.0542311668395987,5.714028934052637,5.357280775496314,5.508991082509358,5.472837130228678,5.400529225667317,5.364375273386637,5.581298987070719,5.617452939351399,5.68976084391276,0
0.24,0.38,0.38,5.5587029457092285,5.531588077545166,5.531588077545166,676732.0,5872.701,5.2,128.6,8.28,3192.6,53.24939646586647,-0.0853994489866637,5.625452431479653,-0.0271148681640625,5.672412092839501,5.377205102289894,5.5406263669331866,5.522549788157145,5.513511498769124,5.495434919993082,5.549664656321207,5.567741235097249,5.57677952448527,1
0.21,0.37,0.42,5.572260856628418,5.531588077545166,5.545145034790039,1009566.0,5872.701,5.2,128.6,8.28,3192.6,55.12695150676936,-0.0803950851617281,5.622765538323189,-0.0135579109191894,5.637266499182285,5.396081298211513,5.549664656321208,5.527068456013998,5.508991877237956,5.486395676930746,5.56774123509725,5.59033743540446,5.608414014180502,0
0.21,0.37,0.42,5.599377155303955,5.531588077545166,5.545145034790039,1695517.0,5872.701,5.2,128.6,8.28,3192.6,55.12695150676936,-0.0749356366731751,5.618636047421713,0.0542311668395987,5.603990794659844,5.4157991871821975,5.558703422546387,5.518029689788818,5.490914344787598,5.450240612030029,5.585818767547607,5.626492500305176,5.6536078453063965,1
