Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.426,0.3329999999999999,0.241,9.25,8.875,9.0625,962000.0,10470.231,4.2,175.6,5.98,4979.0,38.45927607819479,-0.1517352914229432,9.875531426406273,-0.03125,10.558922031929988,8.706702968070013,9.0625,8.875,8.6875,8.5,9.25,9.4375,9.625,0
0.426,0.3329999999999999,0.241,9.09375,8.75,8.75,631000.0,10470.231,4.2,175.6,5.98,4979.0,32.21499407223649,-0.1707021102102147,9.853179211672584,-0.875,10.558706291049,8.581918708951001,8.864583333333334,8.635416666666668,8.520833333333334,8.291666666666668,8.979166666666668,9.208333333333334,9.322916666666668,0
0.426,0.3329999999999999,0.241,9.0,8.5,8.625,821800.0,10470.231,4.2,175.6,5.98,4979.0,29.969226360981978,-0.1929042302460353,9.822214177460625,-0.875,10.422528341821188,8.521221658178813,8.708333333333334,8.416666666666668,8.208333333333334,7.916666666666668,8.916666666666668,9.208333333333334,9.416666666666668,0
0.426,0.3329999999999999,0.241,8.625,8.375,8.5,976800.0,10470.231,4.2,175.6,5.98,4979.0,27.73806563868236,-0.2175249368397614,9.783743692698126,-0.78125,10.41744649413178,8.38255350586822,8.5,8.375,8.25,8.125,8.625,8.75,8.875,1
0.357,0.214,0.429,9.25,8.5,9.09375,1357000.0,10470.231,4.2,175.6,5.98,4979.0,48.67885942039143,-0.2324021907039797,9.756937426279446,-0.21875,10.351103108811254,8.364521891188746,8.947916666666666,8.645833333333332,8.197916666666666,7.895833333333332,9.395833333333332,9.697916666666666,10.145833333333332,1
0.357,0.214,0.429,9.625,9.25,9.5625,566200.0,10470.231,4.2,175.6,5.98,4979.0,59.39715222197585,-0.2323842228469548,9.753835884368115,-0.3125,10.275293783843203,8.390331216156794,9.479166666666666,9.333333333333332,9.104166666666666,8.958333333333332,9.708333333333332,9.854166666666666,10.083333333333332,0
0.357,0.214,0.429,10.25,9.4375,9.5,663200.0,10470.231,4.2,175.6,5.98,4979.0,57.548109185659634,-0.2234986608349956,9.74918017428772,-0.375,10.187145145845127,8.422229854154871,9.729166666666666,9.208333333333332,8.916666666666666,8.395833333333332,10.020833333333332,10.541666666666666,10.833333333333332,1
0.357,0.214,0.429,9.9375,9.4375,9.6875,486000.0,10470.231,4.2,175.6,5.98,4979.0,61.67765796321401,-0.206020006795306,9.748362139305655,0.0625,10.122487393538622,8.452512606461378,9.6875,9.4375,9.1875,8.9375,9.9375,10.1875,10.4375,0
0.366,0.39,0.244,9.75,9.25,9.5,292800.0,10470.231,4.2,175.6,5.98,4979.0,55.45347648880662,-0.1865935207977627,9.746393391251145,0.6875,10.076645930140993,8.467104069859007,9.5,9.25,9.0,8.75,9.75,10.0,10.25,0
0.366,0.39,0.244,9.625,9.125,9.1875,254200.0,10470.231,4.2,175.6,5.98,4979.0,46.44085320175496,-0.171525010569418,9.74257342383764,0.15625,10.077852644276057,8.472147355723946,9.3125,9.0,8.8125,8.5,9.5,9.8125,10.0,0
0.366,0.39,0.244,9.3125,8.8125,8.9375,764600.0,10470.231,4.2,175.6,5.98,4979.0,40.382512773918805,-0.1635755751244626,9.726355806166056,-0.125,10.080439934995626,8.453935065004375,9.020833333333334,8.729166666666668,8.520833333333334,8.229166666666668,9.229166666666668,9.520833333333334,9.729166666666668,0
0.366,0.39,0.244,9.1875,8.9375,8.9375,442600.0,10470.231,4.2,175.6,5.98,4979.0,40.38251277391881,-0.1601321385525364,9.717263137129285,0.1875,10.040484135254536,8.425140864745464,9.020833333333334,8.854166666666668,8.770833333333334,8.604166666666668,9.104166666666668,9.270833333333334,9.354166666666668,0
0.366,0.39,0.244,9.0,8.46875,8.5,1197200.0,10470.231,4.2,175.6,5.98,4979.0,30.969618159528565,-0.1663085688585243,9.680458726891604,-0.125,10.04294822789109,8.322676772108911,8.65625,8.3125,8.125,7.78125,8.84375,9.1875,9.375,1
