Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,1.8518520593643188,1.7716050148010254,1.808642029762268,5068575.0,5872.701,5.4,127.5,8.23,3170.4,43.88933256288194,0.0058528102899077,1.8375241900867505,0.0617280006408691,1.9263152414028608,1.7310921496684588,1.810699701309204,1.7695473432540894,1.7304526567459106,1.689300298690796,1.8497943878173828,1.8909467458724976,1.9300414323806765,0
0.24,0.38,0.38,1.808642029762268,1.7407410144805908,1.7777780294418335,6662250.0,5872.701,5.4,127.5,8.23,3170.4,37.8591554769672,0.0052487369715479,1.833140495427478,0.0493830442428588,1.9270566412426469,1.7272643497966294,1.7757203578948977,1.7427986860275269,1.7078193426132202,1.6748976707458496,1.810699701309204,1.8436213731765747,1.878600716590881,0
0.24,0.38,0.38,1.7716050148010254,1.703703999519348,1.7283949851989746,10829700.0,5872.701,5.4,127.5,8.23,3170.4,30.19900537630221,0.0031780561741441,1.82197888331498,-0.0246909856796264,1.9278408991385447,1.7128997934769636,1.7345679998397827,1.69753098487854,1.6666669845581052,1.6296299695968626,1.7654320001602175,1.80246901512146,1.833333015441895,1
0.24,0.38,0.38,1.7345679998397827,1.703703999519348,1.7345679998397827,8606250.0,5872.701,5.4,127.5,8.23,3170.4,32.178264305367705,0.0003879261412183,1.8151546749537328,-0.0679010152816772,1.92484293382233,1.7023175557368435,1.7242799997329712,1.7139919996261597,1.6934159994125364,1.6831279993057249,1.7448559999465945,1.755144000053406,1.7757200002670293,1
0.24,0.38,0.38,1.753085970878601,1.7222219705581665,1.7407410144805908,3476925.0,5872.701,5.3,128.0,8.24,3170.5,34.32696534211564,-0.0026092748265605,1.8128793966164096,-0.1234569549560544,1.9172872065244249,1.6956757904352615,1.738682985305786,1.7242799997329712,1.7078189849853516,1.6934159994125366,1.7551440000534058,1.7695469856262207,1.7860080003738403,1
0.15,0.37,0.48,1.8209880590438845,1.7222219705581665,1.796296000480652,7223175.0,5872.701,5.3,128.0,8.24,3170.5,50.58419695134686,-0.0046868511971855,1.8118889245288,-0.098765969276428,1.911563089367712,1.6952270121604562,1.7798353433609009,1.7386826276779173,1.6810692548751829,1.6399165391921993,1.837448716163636,1.8786014318466189,1.9362148046493528,1
0.15,0.37,0.48,1.8395060300827024,1.796296000480652,1.8209880590438845,3950775.0,5872.701,5.3,128.0,8.24,3170.5,56.150948905278426,-0.0056744850450036,1.8121767719083488,-0.0308640003204343,1.909648202682156,1.6952901017421302,1.81893002986908,1.7983540296554568,1.7757200002670293,1.7551440000534064,1.841564059257507,1.86214005947113,1.8847740888595568,1
0.15,0.37,0.48,1.8333330154418943,1.796296000480652,1.8271600008010864,4663575.0,5872.701,5.3,128.0,8.24,3170.5,57.53077014507296,-0.0058157876116431,1.812716136297181,-0.0555559396743776,1.911881052518278,1.696760953402132,1.818929672241211,1.804526329040528,1.7818926572799687,1.7674893140792851,1.8415633440017696,1.8559666872024527,1.878600358963012,1
0.15,0.37,0.48,1.888888955116272,1.814815044403076,1.876543045043945,6196500.0,5872.701,5.3,128.0,8.24,3170.5,67.09122046152831,-0.004618085828041,1.815629650539754,-0.0061728954315189,1.920313594704732,1.6957358142079266,1.8600823481877644,1.8312757412592569,1.7860084374745684,1.7572018305460608,1.9053496519724529,1.9341562589009604,1.979423562685649,0
0.15,0.37,0.48,1.882715940475464,1.8271600008010864,1.8333330154418943,4491450.0,5872.701,5.3,128.0,8.24,3170.5,54.66665809273742,-0.0033227727990662,1.8161966367550333,0.0061730146408078,1.9217793337404965,1.6961218722760445,1.847736318906148,1.8127566973368323,1.7921803792317703,1.7572007576624546,1.86831263701121,1.9032922585805256,1.923868576685588,1
