Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.37,0.39,0.24,2.25,2.1875,2.21875,136800.0,5872.701,5.2,128.6,8.28,3192.6,37.79427197396866,-0.0171602183135748,2.3490609365228265,0.046875,2.4265780490742808,2.118734450925719,2.21875,2.1875,2.15625,2.125,2.25,2.28125,2.3125,0
0.37,0.39,0.24,2.28125,2.21875,2.21875,164000.0,5872.701,5.2,128.6,8.28,3192.6,37.79427197396866,-0.0179719876807551,2.348230930557713,-0.09375,2.4091931693439075,2.1189318306560927,2.239583333333333,2.197916666666667,2.177083333333333,2.135416666666667,2.260416666666667,2.302083333333333,2.322916666666667,1
0.34,0.35,0.31,2.34375,2.21875,2.34375,453600.0,5872.701,5.2,128.6,8.28,3192.6,58.77921957686395,-0.0172168585636457,2.3481533570468978,0.0,2.417966704828917,2.119533295171083,2.302083333333333,2.260416666666667,2.177083333333333,2.135416666666667,2.385416666666667,2.427083333333333,2.510416666666667,0
0.34,0.35,0.31,2.34375,2.21875,2.34375,453600.0,5960.028,5.4,128.9,8.26,3219.8,58.77921957686395,-0.0154799722452832,2.3480784237222005,-0.0625,2.4247665379228724,2.118983462077128,2.302083333333333,2.260416666666667,2.177083333333333,2.135416666666667,2.385416666666667,2.427083333333333,2.510416666666667,0
0.34,0.35,0.31,2.3125,2.25,2.3125,113600.0,5960.028,5.4,128.9,8.26,3219.8,52.845569679449504,-0.013682083494402,2.347927437912794,-0.09375,2.428630760505733,2.122931739494267,2.2916666666666665,2.270833333333333,2.2291666666666665,2.208333333333333,2.333333333333333,2.3541666666666665,2.395833333333333,0
0.34,0.35,0.31,2.3125,2.28125,2.28125,48800.0,5960.028,5.4,128.9,8.26,3219.8,47.33236388485679,-0.0124075991625138,2.347806104946005,-0.0625,2.4241468875659966,2.139915612434004,2.2916666666666665,2.270833333333333,2.2604166666666665,2.239583333333333,2.302083333333333,2.3229166666666665,2.333333333333333,0
0.34,0.35,0.31,2.3125,2.1875,2.1875,333600.0,5960.028,5.4,128.9,8.26,3219.8,34.77428959350958,-0.0129954322225209,2.345836463950028,-0.0625,2.4261561378107,2.1347813621893,2.2291666666666665,2.145833333333333,2.1041666666666665,2.020833333333333,2.270833333333333,2.3541666666666665,2.395833333333333,1
0.34,0.35,0.31,2.25,2.21875,2.25,15200.0,5960.028,5.4,128.9,8.26,3219.8,45.82986643307701,-0.0136929443484391,2.345782842040167,-0.0625,2.425586252181449,2.138476247818551,2.239583333333333,2.229166666666667,2.208333333333333,2.197916666666667,2.260416666666667,2.270833333333333,2.291666666666667,0
0.38,0.37,0.25,2.25,2.15625,2.1875,111200.0,5960.028,5.4,128.9,8.26,3219.8,38.332949003211255,-0.0153885784569922,2.345137585418072,-0.09375,2.425586252181449,2.138476247818551,2.1979166666666665,2.145833333333333,2.1041666666666665,2.052083333333333,2.239583333333333,2.2916666666666665,2.333333333333333,0
0.38,0.37,0.25,2.1875,2.125,2.125,88800.0,5960.028,5.4,128.9,8.26,3219.8,32.246492466930064,-0.0185830054596097,2.3444232708723107,-0.15625,2.433427941438452,2.124384558561548,2.145833333333333,2.104166666666667,2.083333333333333,2.041666666666667,2.166666666666667,2.208333333333333,2.229166666666667,0
0.38,0.37,0.25,2.1875,2.0625,2.125,356800.0,5960.028,5.4,128.9,8.26,3219.8,32.246492466930064,-0.022507035241368,2.3415992742540546,-0.09375,2.439132070127928,2.1139929298720723,2.125,2.0625,2.0,1.9375,2.1875,2.25,2.3125,1
0.38,0.37,0.25,2.1875,2.125,2.171875,240000.0,5960.028,5.4,128.9,8.26,3219.8,41.51839124138788,-0.0258835004511418,2.3401425802483264,-0.046875,2.437626654360457,2.101435845639543,2.161458333333333,2.135416666666667,2.098958333333333,2.072916666666667,2.197916666666667,2.223958333333333,2.260416666666667,0
0.27,0.56,0.17,2.21875,2.125,2.15625,120800.0,5960.028,5.4,128.9,8.26,3219.8,39.44239379353797,-0.0289300569257096,2.3393515880928644,-0.1875,2.4317019872455097,2.0886105127544905,2.1666666666666665,2.114583333333333,2.0729166666666665,2.020833333333333,2.208333333333333,2.2604166666666665,2.302083333333333,0
0.27,0.56,0.17,2.21875,2.125,2.125,84800.0,5960.028,5.4,128.9,8.26,3219.8,35.3620089111496,-0.0320427655187448,2.3387062991678738,-0.21875,2.413269336761976,2.0789181632380247,2.15625,2.09375,2.0625,2.0,2.1875,2.25,2.28125,0
0.27,0.56,0.17,2.15625,2.09375,2.09375,103200.0,5960.028,5.4,128.9,8.26,3219.8,31.59106526247889,-0.0354593072044751,2.3378121462931523,-0.21875,2.3929671685145726,2.0679703314854274,2.114583333333333,2.072916666666667,2.052083333333333,2.010416666666667,2.135416666666667,2.177083333333333,2.197916666666667,1
