Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,26.25,25.666667938232425,26.25,423450.0,5872.701,5.4,127.5,8.23,3170.4,35.81583565583786,-0.6264244041183014,27.588825997531696,-1.3333320617675746,29.877666475532777,25.39733276152777,26.05555597941081,25.861111958821617,25.47222391764324,25.27777989705404,26.44444402058919,26.638888041178383,27.02777608235677,0
0.24,0.38,0.38,26.25,25.916667938232425,26.166667938232425,143250.0,5872.701,5.4,127.5,8.23,3170.4,34.760450574032205,-0.6540837295350597,27.5565295871298,-1.1666641235351491,29.661548545032662,25.29678427967437,26.111111958821613,25.972223917643227,25.77777989705404,25.63889185587565,26.3055559794108,26.444444020589188,26.638888041178376,0
0.24,0.38,0.38,26.08333206176757,25.08333206176757,25.5,268200.0,5872.701,5.4,127.5,8.23,3170.4,27.327232648928728,-0.6852763730485406,27.47265661658196,-1.5833320617675746,29.47781342019886,25.10551940450817,25.55555470784505,25.027777353922527,24.55555470784505,24.027777353922527,26.027777353922527,26.55555470784505,27.027777353922527,1
0.24,0.38,0.38,25.75,25.416667938232425,25.666667938232425,260850.0,5872.701,5.4,127.5,8.23,3170.4,31.54961688926602,-0.7128274888927636,27.403753274948567,-1.0,29.229976279957096,25.003356544749938,25.611111958821613,25.472223917643227,25.27777989705404,25.13889185587565,25.8055559794108,25.944444020589188,26.138888041178376,1
0.24,0.38,0.38,25.83333206176757,25.666667938232425,25.83333206176757,285750.0,5872.701,5.3,128.0,8.24,3170.5,35.85012558948185,-0.7323681839344752,27.34075122354055,-1.1666679382324254,28.970141172262743,24.954858064797804,25.777777353922527,25.72222264607748,25.61111323038737,25.55555852254233,25.88888676961263,25.94444147745768,26.05555089314777,1
0.15,0.37,0.48,25.916667938232425,25.75,25.916667938232425,232350.0,5872.701,5.3,128.0,8.24,3170.5,38.0940794596594,-0.7428649564101735,27.29576396961588,-1.75,28.669906549698624,24.96342627500841,25.861111958821613,25.8055559794108,25.694444020589188,25.638888041178376,25.972223917643227,26.02777989705404,26.13889185587565,1
0.15,0.37,0.48,26.416667938232425,25.75,26.166667938232425,119700.0,5872.701,5.3,128.0,8.24,3170.5,44.78012652631778,-0.7414611717827272,27.277682844374187,-0.4166641235351491,28.370615046292304,25.02105136606121,26.111111958821613,25.8055559794108,25.444444020589188,25.138888041178376,26.472223917643227,26.77777989705404,27.13889185587565,0
0.15,0.37,0.48,26.0,25.75,25.83333206176757,145800.0,5872.701,5.3,128.0,8.24,3170.5,38.39963297968899,-0.7363001764579306,27.25004901710284,-0.3333358764648508,28.097663650625567,25.04400276172795,25.86111068725586,25.72222137451172,25.61111068725586,25.47222137451172,25.97222137451172,26.11111068725586,26.22222137451172,1
0.15,0.37,0.48,26.25,25.75,26.25,214200.0,5872.701,5.3,128.0,8.24,3170.5,48.90082856488498,-0.7207289115185785,27.22270811504236,-0.25,27.902671231666805,25.080661974509955,26.08333333333333,25.916666666666664,25.58333333333333,25.416666666666664,26.416666666666664,26.58333333333333,26.916666666666664,0
0.15,0.37,0.48,26.08333206176757,25.75,25.75,226050.0,5872.701,5.3,128.0,8.24,3170.5,39.562537365930666,-0.705783483703065,27.18140903747544,-0.0833320617675745,27.684454028079934,25.090545971920065,25.86111068725586,25.638889312744144,25.527778625488285,25.30555725097657,25.97222137451172,26.19444274902344,26.305553436279293,0
