Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.33,0.32,0.35,2.59375,2.21875,2.59375,612400.0,7013.738,6.5,146.3,2.96,3495.1,71.71247469054568,0.106938332577684,2.150524865991662,0.21875,2.609063785358422,1.8253112146415773,2.46875,2.34375,2.09375,1.96875,2.71875,2.84375,3.09375,0
0.33,0.32,0.35,2.96875,2.4375,2.5625,494800.0,7013.738,6.5,146.3,2.96,3495.1,68.7012327080488,0.1107936032901412,2.1787943085371944,0.25,2.6376246668987084,1.8655003331012912,2.65625,2.34375,2.125,1.8125,2.875,3.1875,3.40625,0
0.33,0.32,0.35,2.5625,2.40625,2.40625,74400.0,7013.738,6.5,146.3,2.96,3495.1,55.303744198127255,0.113023024789245,2.181117196507989,0.0625,2.641171381002067,1.905703618997933,2.458333333333333,2.354166666666667,2.302083333333333,2.197916666666667,2.510416666666667,2.614583333333333,2.666666666666667,0
0.33,0.32,0.35,2.40625,2.34375,2.34375,88000.0,7013.738,6.5,146.3,2.96,3495.1,50.73714604935875,0.112861772207572,2.18305823794282,0.09375,2.631664531042254,1.9527104689577457,2.364583333333333,2.322916666666667,2.302083333333333,2.260416666666667,2.385416666666667,2.427083333333333,2.447916666666667,1
0.33,0.32,0.35,2.4375,2.375,2.375,64800.0,7013.738,6.5,146.3,2.96,3495.1,52.97723042616678,0.1114518852440352,2.1847304382898627,-0.03125,2.6173403378474505,2.007659662152549,2.395833333333333,2.354166666666667,2.333333333333333,2.291666666666667,2.416666666666667,2.458333333333333,2.479166666666667,0
0.37,0.39,0.24,2.40625,2.34375,2.34375,10800.0,7013.738,6.5,146.3,2.96,3495.1,50.336201516289,0.1085806901549253,2.1849610004295994,0.0,2.5967646066959,2.0626103933041,2.364583333333333,2.322916666666667,2.302083333333333,2.260416666666667,2.385416666666667,2.427083333333333,2.447916666666667,0
0.37,0.39,0.24,2.375,2.3125,2.3125,16000.0,7013.738,6.5,146.3,2.96,3495.1,47.59826762169061,0.1041980353788912,2.185234366627371,-0.0625,2.5713663670000826,2.1161336329999174,2.333333333333333,2.291666666666667,2.270833333333333,2.229166666666667,2.354166666666667,2.395833333333333,2.416666666666667,0
0.37,0.39,0.24,2.3125,2.1875,2.21875,96400.0,7013.738,6.5,146.3,2.96,3495.1,40.05633145750497,0.0973645580628359,2.185661667460192,-0.03125,2.5543925531654086,2.145607446834592,2.239583333333333,2.166666666666667,2.114583333333333,2.041666666666667,2.291666666666667,2.364583333333333,2.416666666666667,0
0.37,0.39,0.24,2.21875,2.15625,2.1875,236000.0,7013.738,6.5,146.3,2.96,3495.1,37.75543120175096,0.0886326858104857,2.1857173087775097,-0.0625,2.560256350946111,2.127243649053889,2.1875,2.15625,2.125,2.09375,2.21875,2.25,2.28125,1
0.37,0.39,0.24,2.25,2.125,2.21875,60800.0,7013.738,6.5,146.3,2.96,3495.1,41.62448903982247,0.0794652392413548,2.185972893866124,0.03125,2.5514684948388062,2.114156505161194,2.1979166666666665,2.145833333333333,2.0729166666666665,2.020833333333333,2.270833333333333,2.3229166666666665,2.395833333333333,0
0.33,0.38,0.29,2.28125,2.21875,2.21875,52000.0,7013.738,6.5,146.3,2.96,3495.1,41.62448903982247,0.0703242384721874,2.186188369152971,-0.375,2.548422834907033,2.1015771650929675,2.239583333333333,2.197916666666667,2.177083333333333,2.135416666666667,2.260416666666667,2.302083333333333,2.322916666666667,0
