Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,2.0,1.9375,1.9375,228400.0,5872.701,5.4,127.5,8.23,3170.4,30.12806926246857,-0.0471914667456332,2.041855855245324,-0.0625,2.2227558252357205,1.88036917476428,1.9583333333333333,1.9166666666666663,1.8958333333333333,1.8541666666666663,1.9791666666666663,2.020833333333333,2.0416666666666665,0
0.24,0.38,0.38,2.0625,1.875,1.9375,113200.0,5872.701,5.4,127.5,8.23,3170.4,30.12806926246857,-0.0490914371082875,2.0392538546255508,-0.0625,2.204887540566699,1.8732374594333008,1.9583333333333333,1.8541666666666663,1.7708333333333333,1.6666666666666663,2.0416666666666665,2.145833333333333,2.2291666666666665,0
0.24,0.38,0.38,1.96875,1.875,1.875,961200.0,5872.701,5.4,127.5,8.23,3170.4,21.641634909536577,-0.051621690749546,2.010554515378463,-0.1875,2.1697013316652747,1.870923668334726,1.90625,1.84375,1.8125,1.75,1.9375,2.0,2.03125,0
0.24,0.38,0.38,1.9375,1.78125,1.84375,489600.0,5872.701,5.4,127.5,8.23,3170.4,18.616349278661986,-0.0547952728856598,1.9969223642919145,-0.1875,2.1666873135493963,1.845812686450604,1.8541666666666667,1.7708333333333337,1.6979166666666667,1.6145833333333337,1.9270833333333333,2.010416666666667,2.083333333333333,1
0.24,0.38,0.38,1.9375,1.84375,1.90625,41600.0,5872.701,5.3,128.0,8.24,3170.5,38.46657016527541,-0.0570836759313322,1.99629707910616,-0.09375,2.143585436044804,1.843914563955196,1.8958333333333333,1.8541666666666663,1.8020833333333333,1.7604166666666663,1.9479166666666663,1.9895833333333333,2.0416666666666665,0
0.15,0.37,0.48,1.9375,1.84375,1.875,82000.0,5872.701,5.3,128.0,8.24,3170.5,33.721401025740406,-0.0590657742571113,1.9946703683108729,-0.125,2.143628226206644,1.828246773793356,1.8854166666666667,1.8333333333333333,1.7916666666666667,1.7395833333333337,1.9270833333333333,1.9791666666666667,2.020833333333333,0
0.15,0.37,0.48,1.90625,1.78125,1.84375,350400.0,5872.701,5.3,128.0,8.24,3170.5,29.519675165447552,-0.0611159345003362,1.986490301324093,-0.125,2.1274987449748584,1.8162512550251413,1.84375,1.78125,1.71875,1.65625,1.90625,1.96875,2.03125,0
0.15,0.37,0.48,1.84375,1.75,1.78125,1996000.0,5872.701,5.3,128.0,8.24,3170.5,22.9271702534562,-0.063959137267101,1.938071754444024,-0.1875,2.114964552482978,1.794410447517022,1.7916666666666667,1.7395833333333337,1.6979166666666667,1.6458333333333337,1.8333333333333333,1.8854166666666667,1.9270833333333333,1
0.15,0.37,0.48,1.875,1.75,1.8125,628800.0,5872.701,5.3,128.0,8.24,3170.5,31.723976349087607,-0.0665060070266195,1.9293849564337264,-0.1875,2.1060168299202098,1.77835817007979,1.8125,1.75,1.6875,1.625,1.875,1.9375,2.0,1
0.15,0.37,0.48,1.875,1.8125,1.875,214800.0,5872.701,5.3,128.0,8.24,3170.5,45.95813871434472,-0.0675848982368771,1.9281294333863548,-0.0625,2.088930865604265,1.7766941343957348,1.8541666666666667,1.8333333333333333,1.7916666666666667,1.7708333333333337,1.8958333333333333,1.9166666666666667,1.9583333333333333,0
