Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,15.8125,15.28125,15.46875,2181200.0,5872.701,5.4,127.5,8.23,3170.4,12.825644926390936,-0.2456852781809826,16.547210069526557,-0.78125,17.484820926872217,15.47767907312778,15.520833333333334,15.229166666666668,14.989583333333334,14.697916666666668,15.760416666666668,16.052083333333336,16.291666666666668,1
0.24,0.38,0.38,15.71875,15.28125,15.53125,1443600.0,5872.701,5.4,127.5,8.23,3170.4,18.088827181216487,-0.2681125112962494,16.513671231842963,-0.53125,17.44231813230963,15.360806867690371,15.510416666666666,15.302083333333332,15.072916666666666,14.864583333333332,15.739583333333332,15.947916666666666,16.177083333333332,0
0.24,0.38,0.38,15.625,15.28125,15.5,1468400.0,5872.701,5.4,127.5,8.23,3170.4,17.47996616962712,-0.2892969809366027,16.480738915438735,-0.875,17.36326314729728,15.27111185270272,15.46875,15.3125,15.125,14.96875,15.65625,15.8125,16.0,1
0.24,0.38,0.38,15.78125,15.5625,15.78125,1862800.0,5872.701,5.4,127.5,8.23,3170.4,38.85326084168412,-0.3034454397774893,16.453051159351308,-0.53125,17.234025171213233,15.259724828786764,15.708333333333334,15.635416666666668,15.489583333333334,15.416666666666668,15.854166666666668,15.927083333333334,16.072916666666668,0
0.24,0.38,0.38,15.84375,15.6875,15.71875,2898000.0,5872.701,5.3,128.0,8.24,3170.5,36.433625815277225,-0.3127477152269885,16.410455965715748,-0.6875,17.106723087384818,15.249526912615185,15.75,15.65625,15.59375,15.5,15.8125,15.90625,15.96875,1
0.15,0.37,0.48,16.21875,15.65625,16.0625,2850000.0,5872.701,5.3,128.0,8.24,3170.5,54.43971560677183,-0.3123277103729048,16.391677381421278,-0.34375,16.999651129366026,15.272223870633976,15.979166666666666,15.739583333333332,15.416666666666666,15.177083333333332,16.302083333333332,16.541666666666664,16.864583333333332,0
0.15,0.37,0.48,16.21875,15.96875,16.0625,1864400.0,5872.701,5.3,128.0,8.24,3170.5,54.43971560677183,-0.3051241278955403,16.380452168521323,0.0,16.877791066996394,15.309708933003607,16.083333333333332,15.947916666666664,15.833333333333332,15.697916666666664,16.197916666666664,16.333333333333332,16.447916666666664,0
0.15,0.37,0.48,16.0625,15.6875,15.78125,1008800.0,5872.701,5.3,128.0,8.24,3170.5,41.602811650953264,-0.2978380939599011,16.369596323767105,-0.25,16.7842969405612,15.309453059438797,15.84375,15.625,15.46875,15.25,16.0,16.21875,16.375,1
0.15,0.37,0.48,16.03125,15.4375,16.0,1370000.0,5872.701,5.3,128.0,8.24,3170.5,51.8022187718785,-0.2867134652334562,16.36072114036318,0.03125,16.677106276524228,15.344768723475774,15.822916666666666,15.614583333333332,15.229166666666666,15.020833333333332,16.208333333333332,16.416666666666664,16.802083333333332,0
0.15,0.37,0.48,16.03125,15.75,15.90625,792000.0,5872.701,5.3,128.0,8.24,3170.5,47.68384832127463,-0.2746082995907797,16.354498521886452,0.15625,16.557791118030917,15.385958881969083,15.895833333333334,15.760416666666668,15.614583333333334,15.479166666666668,16.041666666666668,16.177083333333336,16.322916666666668,0
0.19,0.3,0.51,15.875,15.5625,15.6875,1256000.0,5872.701,5.3,128.0,8.24,3170.5,39.27689099474425,-0.265387265818706,16.340323392554993,0.21875,16.527451325030277,15.360048674969724,15.708333333333334,15.541666666666668,15.395833333333334,15.229166666666668,15.854166666666668,16.020833333333336,16.166666666666668,0
0.19,0.3,0.51,15.75,15.5,15.5,875600.0,5872.701,5.3,128.0,8.24,3170.5,33.44510903185281,-0.2608439135859021,16.32805528414889,-0.03125,16.528702064358228,15.302547935641774,15.583333333333334,15.416666666666668,15.333333333333334,15.166666666666668,15.666666666666668,15.833333333333334,15.916666666666668,1
0.19,0.3,0.51,15.625,15.34375,15.5625,1800800.0,5872.701,5.3,128.0,8.24,3170.5,37.04054678694525,-0.2578789445122273,16.305739125297038,0.0625,16.467233173318537,15.282766826681463,15.510416666666666,15.395833333333332,15.229166666666666,15.114583333333332,15.677083333333332,15.791666666666666,15.958333333333332,0
0.19,0.3,0.51,15.625,15.5,15.5625,544400.0,5872.701,5.3,128.0,8.24,3170.5,37.04054678694525,-0.2554709457244619,16.29924659985109,-0.21875,16.407659834469335,15.267340165530666,15.5625,15.5,15.4375,15.375,15.625,15.6875,15.75,1
0.19,0.3,0.51,15.71875,15.53125,15.6875,1249200.0,5872.701,5.3,128.0,8.24,3170.5,44.95810053376309,-0.250961704441014,16.287225302815795,-0.03125,16.307804377777593,15.295320622222407,15.645833333333334,15.572916666666668,15.458333333333334,15.385416666666668,15.760416666666668,15.833333333333334,15.947916666666668,0
0.23,0.43,0.34,15.75,15.40625,15.5625,1732000.0,5872.701,5.3,128.0,8.24,3170.5,39.26116664290705,-0.2467941364538979,16.2680034685002,-0.5,16.18814120730453,15.330608792695472,15.572916666666666,15.395833333333332,15.229166666666666,15.052083333333332,15.739583333333332,15.916666666666666,16.083333333333332,0
0.23,0.43,0.34,15.5,15.28125,15.40625,1158400.0,5872.701,5.3,128.0,8.24,3170.5,33.19441561092441,-0.2449895772046531,16.25298316742,-0.65625,16.158088917895935,15.295036082104064,15.395833333333334,15.291666666666668,15.177083333333334,15.072916666666668,15.510416666666668,15.614583333333334,15.729166666666668,0
0.23,0.43,0.34,15.375,15.1875,15.34375,1489200.0,5872.701,5.3,128.0,8.24,3170.5,30.984644042419504,-0.245199474225363,16.23305619164793,-0.4375,16.130989603668844,15.253385396331154,15.302083333333334,15.229166666666668,15.114583333333334,15.041666666666668,15.416666666666668,15.489583333333334,15.604166666666668,0
0.23,0.43,0.34,15.40625,15.0,15.0,1751200.0,5872.701,5.3,128.0,8.24,3170.5,21.78232651953592,-0.25158646154473,16.20207623154971,-1.0,16.160890416643593,15.126609583356409,15.135416666666666,14.864583333333332,14.729166666666666,14.458333333333332,15.270833333333332,15.541666666666666,15.677083333333332,0
0.24,0.38,0.38,15.0625,14.6875,14.78125,2007200.0,5872.701,5.3,128.0,8.24,3170.5,17.882596496964453,-0.2644269250173522,16.162305461036425,-1.125,16.237021707692108,14.953603292307893,14.84375,14.625,14.46875,14.25,15.0,15.21875,15.375,1
0.24,0.38,0.38,15.09375,14.71875,15.0625,2487200.0,5872.701,5.3,128.0,8.24,3170.5,35.11566179515002,-0.2755493220677691,16.125437359829206,-0.625,16.25796952232222,14.892030477677777,14.958333333333334,14.822916666666668,14.583333333333334,14.447916666666668,15.197916666666668,15.333333333333334,15.572916666666668,0
0.24,0.38,0.38,15.25,15.0625,15.0625,2992000.0,5872.701,5.3,128.0,8.24,3170.5,35.11566179515002,-0.2843837812940631,16.084234821317523,-0.4375,16.271998166345092,14.831126833654908,15.125,15.0,14.9375,14.8125,15.1875,15.3125,15.375,1
0.24,0.38,0.38,15.1875,15.0625,15.09375,1621600.0,5872.701,5.3,128.0,8.24,3170.5,37.06929586302897,-0.2901743448049553,16.063854226939124,-0.46875,16.280152706069277,14.782347293930725,15.114583333333334,15.041666666666668,14.989583333333334,14.916666666666668,15.166666666666668,15.239583333333334,15.291666666666668,1
0.24,0.38,0.38,15.4375,15.09375,15.34375,1807200.0,5872.701,5.2,128.6,8.28,3192.6,50.75589340975042,-0.28910353252715,16.04771137243227,-0.21875,16.25307109490634,14.765678905093662,15.291666666666666,15.145833333333332,14.947916666666666,14.802083333333332,15.489583333333332,15.635416666666666,15.833333333333332,1
0.21,0.37,0.42,15.625,15.28125,15.46875,1276000.0,5872.701,5.2,128.6,8.28,3192.6,56.24586300527704,-0.2811350491564005,16.03869028720754,-0.21875,16.234129642504694,14.759620357495304,15.458333333333334,15.291666666666668,15.114583333333334,14.947916666666668,15.635416666666668,15.802083333333334,15.979166666666668,0
0.21,0.37,0.42,15.65625,15.40625,15.46875,1276000.0,5872.701,5.2,128.6,8.28,3192.6,56.24586300527703,-0.2686201965954767,16.029946012889575,-0.09375,16.15468002388279,14.779694976117211,15.510416666666666,15.364583333333332,15.260416666666666,15.114583333333332,15.614583333333332,15.760416666666666,15.864583333333332,1
0.21,0.37,0.42,15.625,15.4375,15.625,1002400.0,5872.701,5.2,128.6,8.28,3192.6,63.093282349707934,-0.2508066998978191,16.025123440069194,0.21875,16.078766832566572,14.81185816743343,15.5625,15.5,15.375,15.3125,15.6875,15.75,15.875,1
0.21,0.37,0.42,15.6875,15.53125,15.65625,1419200.0,5872.701,5.2,128.6,8.28,3192.6,64.37970368286226,-0.2295357139387285,16.01900698215671,0.3125,16.060921383023093,14.817203616976908,15.625,15.5625,15.46875,15.40625,15.71875,15.78125,15.875,1
0.21,0.37,0.42,15.84375,15.65625,15.8125,2642800.0,5872.701,5.2,128.6,8.28,3192.6,70.34341785362415,-0.2041966651106379,16.01282153721309,0.8125,16.02083484281822,14.83854015718178,15.770833333333334,15.697916666666668,15.583333333333334,15.510416666666668,15.885416666666668,15.958333333333334,16.072916666666668,0
0.22,0.42,0.36,15.8125,15.65625,15.71875,975200.0,5872.701,5.2,128.6,8.28,3192.6,63.03685707413451,-0.1786664690892946,16.009606804801386,0.9375,15.984992122137974,14.855632877862025,15.729166666666666,15.645833333333332,15.572916666666666,15.489583333333332,15.802083333333332,15.885416666666666,15.958333333333332,1
0.22,0.42,0.36,15.78125,15.5,15.75,1215600.0,5872.701,5.2,128.6,8.28,3192.6,64.45680573521739,-0.153449008250304,16.006116793035417,0.6875,15.99499290034006,14.85188209965994,15.677083333333334,15.572916666666668,15.395833333333334,15.291666666666668,15.854166666666668,15.958333333333334,16.135416666666668,0
0.22,0.42,0.36,15.6875,15.40625,15.46875,1886000.0,5872.701,5.2,128.6,8.28,3192.6,46.0758671326204,-0.1338869428898169,15.995137673168005,0.40625,15.992719538243204,14.851030461756796,15.520833333333334,15.354166666666668,15.239583333333334,15.072916666666668,15.635416666666668,15.802083333333334,15.916666666666668,0
0.22,0.42,0.36,15.5625,15.15625,15.4375,1141600.0,5872.701,5.2,128.6,8.28,3192.6,44.45075459769648,-0.1190884657162017,15.98832554135438,0.34375,15.982711563985273,14.848538436014728,15.385416666666666,15.208333333333332,14.979166666666666,14.802083333333332,15.614583333333332,15.791666666666666,16.020833333333332,1
0.22,0.42,0.36,15.75,15.4375,15.71875,2280000.0,5872.701,5.2,128.6,8.28,3192.6,59.34238473164213,-0.1032928677691767,15.98190511831093,0.375,16.003207120194084,14.84366787980592,15.635416666666666,15.520833333333332,15.322916666666666,15.208333333333332,15.833333333333332,15.947916666666666,16.145833333333332,1
0.25,0.35,0.4,15.90625,15.8125,15.84375,3302000.0,5872.701,5.2,128.6,8.28,3192.6,64.25631301829587,-0.0854705978502427,15.977298682860628,0.375,16.029905291377876,14.832594708622128,15.854166666666666,15.802083333333332,15.760416666666666,15.708333333333332,15.895833333333332,15.947916666666666,15.989583333333332,0
0.25,0.35,0.4,15.875,15.6875,15.84375,1396800.0,5872.701,5.2,128.6,8.28,3192.6,64.25631301829587,-0.0671175172601069,15.97544125437122,0.375,16.069613095508785,14.821011904491217,15.802083333333334,15.729166666666668,15.614583333333334,15.541666666666668,15.916666666666668,15.989583333333334,16.104166666666668,0
0.25,0.35,0.4,15.90625,15.6875,15.84375,3576000.0,5872.701,5.2,128.6,8.28,3192.6,64.25631301829588,-0.0492408592380222,15.97091334505065,0.21875,16.1159068228727,14.818468177127302,15.8125,15.71875,15.59375,15.5,15.9375,16.03125,16.15625,0
0.25,0.35,0.4,15.90625,15.5625,15.625,900800.0,5872.701,5.2,128.6,8.28,3192.6,48.49847138489459,-0.0359777362164714,15.96794309022138,-0.03125,16.130895652401524,14.831604347598477,15.697916666666666,15.489583333333332,15.354166666666666,15.145833333333332,15.833333333333332,16.041666666666664,16.177083333333332,0
0.25,0.35,0.4,15.5625,15.28125,15.46875,2378800.0,5872.701,5.2,128.6,8.28,3192.6,40.34425080854529,-0.0287124393337831,15.956874643473656,-0.34375,16.113786205919347,14.895588794080652,15.4375,15.3125,15.15625,15.03125,15.59375,15.71875,15.875,0
0.37,0.39,0.24,15.5625,15.4375,15.46875,1900400.0,5872.701,5.2,128.6,8.28,3192.6,40.34425080854529,-0.0255218810884854,15.948378723934292,-0.25,16.045141905954807,15.032983094045193,15.489583333333334,15.416666666666668,15.364583333333334,15.291666666666668,15.541666666666668,15.614583333333334,15.666666666666668,1
0.37,0.39,0.24,15.8125,15.65625,15.71875,3750000.0,5872.701,5.2,128.6,8.28,3192.6,56.07586850984959,-0.0210057708975141,15.940753956237003,-0.03125,16.03075127331397,15.11299872668603,15.729166666666666,15.645833333333332,15.572916666666666,15.489583333333332,15.802083333333332,15.885416666666666,15.958333333333332,1
0.37,0.39,0.24,16.25,15.65625,16.21875,2919600.0,5872.701,5.2,128.6,8.28,3192.6,72.69340238708554,-0.0078704880078182,15.947759574019983,0.75,16.109234212367102,15.150140787632896,16.041666666666668,15.833333333333336,15.447916666666668,15.239583333333336,16.427083333333336,16.635416666666668,17.020833333333336,0
0.37,0.39,0.24,16.40625,16.09375,16.1875,1617600.0,5872.701,5.2,128.6,8.28,3192.6,70.76278492269628,0.009497915049841,15.951060798755115,0.75,16.15597815888857,15.212771841111431,16.229166666666668,16.052083333333336,15.916666666666668,15.739583333333336,16.364583333333336,16.541666666666668,16.677083333333336,0
0.37,0.39,0.24,16.34375,16.125,16.15625,2705200.0,5872.701,5.2,128.6,8.28,3192.6,68.65878718483076,0.0280888522632016,15.95567959609912,0.4375,16.212761400902654,15.237238599097347,16.208333333333332,16.072916666666664,15.989583333333332,15.854166666666664,16.291666666666664,16.427083333333332,16.510416666666664,0
0.34,0.35,0.31,16.21875,15.90625,16.15625,1451600.0,5872.701,5.2,128.6,8.28,3192.6,68.65878718483076,0.0464074623760435,15.95807332261226,0.3125,16.26757260195378,15.251177398046222,16.09375,15.96875,15.78125,15.65625,16.28125,16.40625,16.59375,0
0.34,0.35,0.31,16.21875,15.90625,16.15625,1451600.0,5960.028,5.4,128.9,8.26,3219.8,68.65878718483076,0.0634893193319299,15.960410586669614,0.3125,16.312081711510967,15.275418288489032,16.09375,15.96875,15.78125,15.65625,16.28125,16.40625,16.59375,1
0.34,0.35,0.31,16.1875,15.90625,16.1875,1537200.0,5960.028,5.4,128.9,8.26,3219.8,70.0277854716833,0.0792544146981182,15.963211792961554,0.34375,16.362228502713485,15.281521497286516,16.09375,16.0,15.8125,15.71875,16.28125,16.375,16.5625,1
0.34,0.35,0.31,16.4375,16.25,16.40625,2120000.0,5960.028,5.4,128.9,8.26,3219.8,77.84437170455581,0.0966771487075263,15.970622656590267,0.78125,16.452821944819657,15.265928055180344,16.364583333333332,16.291666666666664,16.177083333333332,16.104166666666664,16.479166666666664,16.552083333333332,16.666666666666664,1
0.34,0.35,0.31,16.71875,16.4375,16.53125,2836800.0,5960.028,5.4,128.9,8.26,3219.8,81.09511189206714,0.1159994852148528,15.982896514919522,1.0625,16.559626983925064,15.230998016074931,16.5625,16.40625,16.28125,16.125,16.6875,16.84375,16.96875,1
0.34,0.35,0.31,16.8125,16.65625,16.6875,2432800.0,5960.028,5.4,128.9,8.26,3219.8,84.3970117093927,0.1377280381598866,15.995881783679778,1.21875,16.69006771490361,15.197432285096392,16.71875,16.625,16.5625,16.46875,16.78125,16.875,16.9375,0
0.38,0.37,0.25,16.8125,16.59375,16.6875,963200.0,5960.028,5.4,128.9,8.26,3219.8,84.3970117093927,0.1595118042433226,16.00089164044545,0.96875,16.800742965743908,15.18050703425609,16.697916666666668,16.583333333333336,16.479166666666668,16.364583333333336,16.802083333333336,16.916666666666668,17.020833333333336,1
0.38,0.37,0.25,16.90625,16.625,16.75,1295200.0,5960.028,5.4,128.9,8.26,3219.8,85.72479707125221,0.1808218271675519,16.00811790961849,0.53125,16.89318234314078,15.21619265685922,16.760416666666668,16.614583333333336,16.479166666666668,16.333333333333336,16.895833333333336,17.041666666666668,17.177083333333336,1
0.38,0.37,0.25,16.90625,16.6875,16.84375,1904000.0,5960.028,5.4,128.9,8.26,3219.8,87.55740744143633,0.201801407417806,16.01980211925646,0.65625,16.98123679398191,15.26876320601809,16.8125,16.71875,16.59375,16.5,16.9375,17.03125,17.15625,1
0.38,0.37,0.25,16.9375,16.84375,16.90625,1373600.0,5960.028,5.4,128.9,8.26,3219.8,88.67570100271378,0.2220112931073382,16.028654739574247,0.75,17.085511891581085,15.283238108418914,16.895833333333332,16.854166666666664,16.802083333333332,16.760416666666664,16.947916666666664,16.989583333333332,17.041666666666664,1
