Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.39,0.32,0.29,7.5625,7.4375,7.5625,1583400.0,7455.288,5.6,149.8,5.29,3491.8,29.18577595049416,-0.1529604646865475,7.886724175223697,-0.4375,8.431930413889932,7.355569586110069,7.520833333333333,7.479166666666666,7.395833333333333,7.354166666666666,7.604166666666666,7.645833333333333,7.729166666666666,0
0.39,0.32,0.29,7.5625,7.4375,7.5,1056400.0,7455.288,5.6,149.8,5.29,3491.8,25.482742958014683,-0.1613621133132414,7.877641048615527,-0.4375,8.380773395190745,7.325476604809255,7.5,7.4375,7.375,7.3125,7.5625,7.625,7.6875,0
0.44,0.3,0.26,7.5,7.4375,7.5,1086800.0,7455.288,5.6,149.8,5.29,3491.8,25.482742958014683,-0.1679712820849465,7.868731303268047,-0.375,8.330973310930528,7.300276689069472,7.479166666666667,7.458333333333334,7.416666666666667,7.395833333333334,7.520833333333334,7.541666666666667,7.583333333333334,0
0.44,0.3,0.26,7.5,7.4375,7.4375,979000.0,7455.288,5.5,150.1,5.45,3507.8,21.800237670255868,-0.1737248061296861,7.859757095605741,-0.4375,8.288663608777664,7.267586391222336,7.458333333333333,7.416666666666666,7.395833333333333,7.354166666666666,7.479166666666666,7.520833333333333,7.541666666666666,1
0.44,0.3,0.26,7.5,7.375,7.5,1257200.0,7455.288,5.5,150.1,5.45,3507.8,32.97596246334949,-0.177247314427248,7.850393060927032,-0.3125,8.23024525339817,7.257254746601832,7.458333333333333,7.416666666666666,7.333333333333333,7.291666666666666,7.541666666666666,7.583333333333333,7.666666666666666,0
0.44,0.3,0.26,7.5625,7.4375,7.4375,1071200.0,7455.288,5.5,150.1,5.45,3507.8,28.30799996278759,-0.1797799780849351,7.8414346506898704,-0.3125,8.179318655637232,7.239431344362767,7.479166666666667,7.395833333333334,7.354166666666667,7.270833333333334,7.520833333333334,7.604166666666667,7.645833333333334,0
0.44,0.3,0.26,7.4375,7.375,7.4375,1819200.0,7455.288,5.5,150.1,5.45,3507.8,28.30799996278759,-0.1811497049490558,7.827079768239606,-0.125,8.13204614722134,7.224203852778658,7.416666666666667,7.395833333333334,7.354166666666667,7.333333333333334,7.458333333333334,7.479166666666667,7.520833333333334,0
0.44,0.3,0.26,7.4375,7.3125,7.375,1223400.0,7455.288,5.5,150.1,5.45,3507.8,23.819003352077345,-0.1823029963919696,7.816527773008078,-0.0625,8.116371197473532,7.1898788025264695,7.375,7.3125,7.25,7.1875,7.4375,7.5,7.5625,0
0.3,0.35,0.35,7.4375,7.375,7.375,1178400.0,7455.288,5.5,150.1,5.45,3507.8,23.819003352077345,-0.1828446674578784,7.806819411635188,-0.125,8.070694724095146,7.173055275904853,7.395833333333333,7.354166666666666,7.333333333333333,7.291666666666666,7.416666666666666,7.458333333333333,7.479166666666666,0
0.3,0.35,0.35,7.375,7.3125,7.375,1682000.0,7455.288,5.5,150.1,5.45,3507.8,23.819003352077345,-0.1825578514453822,7.793679194422031,-0.125,7.997891340834064,7.1771086591659365,7.354166666666667,7.333333333333334,7.291666666666667,7.270833333333334,7.395833333333334,7.416666666666667,7.458333333333334,0
0.3,0.35,0.35,7.4375,7.3125,7.375,1011400.0,7455.288,5.5,150.1,5.45,3507.8,23.819003352077345,-0.1813507048808194,7.786155971289486,-0.1875,7.927724657349103,7.184775342650898,7.375,7.3125,7.25,7.1875,7.4375,7.5,7.5625,1
0.3,0.35,0.35,7.5,7.375,7.4375,1555200.0,7455.288,5.5,150.1,5.45,3507.8,40.53382427344702,-0.178219507636566,7.776781515597878,-0.0625,7.8594728864017505,7.2030271135982495,7.4375,7.375,7.3125,7.25,7.5,7.5625,7.625,1
0.3,0.35,0.35,7.5,7.4375,7.5,1351600.0,7455.288,5.5,150.1,5.45,3507.8,52.54719488012646,-0.1726431459297857,7.770461525726102,0.0,7.798120285288743,7.226879714711258,7.479166666666667,7.458333333333334,7.416666666666667,7.395833333333334,7.520833333333334,7.541666666666667,7.583333333333334,0
0.33,0.35,0.32,7.5625,7.375,7.5,2600400.0,7455.288,5.5,150.1,5.45,3507.8,52.54719488012646,-0.1654330359520793,7.759079882576076,0.0625,7.722806991299458,7.264693008700543,7.479166666666667,7.395833333333334,7.291666666666667,7.208333333333334,7.583333333333334,7.666666666666667,7.770833333333334,0
0.33,0.35,0.32,7.5625,7.4375,7.5,3428800.0,7455.288,5.5,150.1,5.45,3507.8,52.54719488012646,-0.1571998347356961,7.745459737511882,0.0,7.651496179235407,7.304753820764594,7.5,7.4375,7.375,7.3125,7.5625,7.625,7.6875,1
0.33,0.35,0.32,7.625,7.375,7.5625,3590000.0,7455.288,5.5,150.1,5.45,3507.8,63.78590010906749,-0.1474015365451932,7.73591452072313,0.125,7.593750000000006,7.343749999999994,7.520833333333333,7.416666666666666,7.270833333333333,7.166666666666666,7.666666666666666,7.770833333333333,7.916666666666666,1
0.33,0.35,0.32,7.625,7.5625,7.625,1464200.0,7455.288,5.5,150.1,5.45,3507.8,71.55833810758689,-0.1358027999591428,7.733603623986499,0.1875,7.609255330699701,7.334494669300298,7.604166666666667,7.583333333333334,7.541666666666667,7.520833333333334,7.645833333333334,7.666666666666667,7.708333333333334,0
0.33,0.35,0.32,7.6875,7.625,7.625,3717600.0,7455.288,5.5,150.1,5.45,3507.8,71.55833810758689,-0.1233740863537064,7.728147155572494,0.25,7.633535224081937,7.328964775918063,7.645833333333333,7.604166666666666,7.583333333333333,7.541666666666666,7.666666666666666,7.708333333333333,7.729166666666666,1
0.42,0.25,0.33,7.75,7.625,7.75,1467200.0,7455.288,5.5,150.1,5.45,3507.8,81.90141876993039,-0.1088011964434043,7.728572043837214,0.375,7.687823371909214,7.299676628090786,7.708333333333333,7.666666666666666,7.583333333333333,7.541666666666666,7.791666666666666,7.833333333333333,7.916666666666666,0
0.42,0.25,0.33,7.75,7.625,7.625,1012000.0,7455.288,5.5,150.1,5.45,3507.8,57.6930177391568,-0.0953946353938554,7.727201430570266,0.25,7.702776776413457,7.297223223586543,7.666666666666667,7.583333333333334,7.541666666666667,7.458333333333334,7.708333333333334,7.791666666666667,7.833333333333334,1
0.42,0.25,0.33,7.75,7.625,7.75,3242800.0,7455.288,5.5,150.1,5.45,3507.8,68.4524290970856,-0.0812101750974756,7.728128865293956,0.375,7.739774395786857,7.278975604213143,7.708333333333333,7.666666666666666,7.583333333333333,7.541666666666666,7.791666666666666,7.833333333333333,7.916666666666666,0
0.42,0.25,0.33,7.75,7.625,7.75,1814400.0,7455.288,5.5,150.1,5.45,3507.8,68.4524290970856,-0.0670966210548639,7.728615592749681,0.3125,7.776034476458553,7.267715523541447,7.708333333333333,7.666666666666666,7.583333333333333,7.541666666666666,7.791666666666666,7.833333333333333,7.916666666666666,1
0.4,0.43,0.17,7.8125,7.75,7.8125,1436200.0,7455.288,5.5,150.1,5.45,3507.8,73.01999036726488,-0.0526172877341016,7.730067684026305,0.3125,7.822543856274787,7.252456143725213,7.791666666666667,7.770833333333334,7.729166666666667,7.708333333333334,7.833333333333334,7.854166666666667,7.895833333333334,0
0.4,0.43,0.17,7.8125,7.6875,7.8125,1365600.0,7455.288,5.5,150.1,5.45,3507.8,73.01999036726488,-0.0385477961846259,7.731402522174264,0.3125,7.862167515542656,7.250332484457345,7.770833333333333,7.729166666666666,7.645833333333333,7.604166666666666,7.854166666666666,7.895833333333333,7.979166666666666,0
0.4,0.43,0.17,7.8125,7.6875,7.8125,1365600.0,7522.289,5.6,150.5,5.53,3495.3,73.01999036726488,-0.0253848732882718,7.732694818758052,0.3125,7.897014140255856,7.246735859744144,7.770833333333333,7.729166666666666,7.645833333333333,7.604166666666666,7.854166666666666,7.895833333333333,7.979166666666666,0
0.4,0.43,0.17,7.8125,7.6875,7.75,1064200.0,7522.289,5.6,150.5,5.53,3495.3,59.73425422830365,-0.0144194859655619,7.73290708007441,0.1875,7.915472238876533,7.259527761123468,7.75,7.6875,7.625,7.5625,7.8125,7.875,7.9375,0
0.4,0.43,0.17,7.8125,7.625,7.6875,1751600.0,7522.289,5.6,150.5,5.53,3495.3,49.36966807873144,-0.0063705811618466,7.73200851509489,0.0625,7.922918435196064,7.277081564803935,7.708333333333333,7.604166666666666,7.520833333333333,7.416666666666666,7.791666666666666,7.895833333333333,7.979166666666666,1
0.44,0.31,0.25,7.75,7.625,7.75,1600200.0,7522.289,5.6,150.5,5.53,3495.3,57.81528770856505,0.0004400628508779,7.732328000435007,0.125,7.929997489949721,7.30750251005028,7.708333333333333,7.666666666666666,7.583333333333333,7.541666666666666,7.791666666666666,7.833333333333333,7.916666666666666,0
0.44,0.31,0.25,7.8125,7.6875,7.6875,2230600.0,7522.289,5.6,150.5,5.53,3495.3,48.48354029731358,0.0051194097863011,7.731245167536239,-0.0625,7.924777964135955,7.343972035864046,7.729166666666667,7.645833333333334,7.604166666666667,7.520833333333334,7.770833333333334,7.854166666666667,7.895833333333334,0
0.44,0.31,0.25,7.75,7.625,7.6875,2108800.0,7522.289,5.6,150.5,5.53,3495.3,48.48354029731358,0.0082059337346954,7.730268493324722,0.0625,7.914077341143205,7.385922658856796,7.6875,7.625,7.5625,7.5,7.75,7.8125,7.875,0
0.44,0.31,0.25,7.75,7.6875,7.6875,1580600.0,7522.289,5.6,150.5,5.53,3495.3,48.48354029731358,0.0101136034244441,7.729564574274004,-0.0625,7.896024395786857,7.435225604213143,7.708333333333333,7.666666666666666,7.645833333333333,7.604166666666666,7.729166666666666,7.770833333333333,7.791666666666666,0
0.44,0.31,0.25,7.6875,7.5625,7.625,3488600.0,7522.289,5.6,150.5,5.53,3495.3,38.85054906583406,0.0101621849605377,7.725899221480232,-0.125,7.880195670417034,7.469804329582965,7.625,7.5625,7.5,7.4375,7.6875,7.75,7.8125,0
0.36,0.42,0.22,7.5625,7.5,7.5,1875600.0,7522.289,5.6,150.5,5.53,3495.3,26.6372280654042,0.0070255156646182,7.721720663564692,-0.3125,7.880195670417034,7.469804329582965,7.520833333333333,7.479166666666666,7.458333333333333,7.416666666666666,7.541666666666666,7.583333333333333,7.604166666666666,1
0.36,0.42,0.22,7.5625,7.5625,7.5625,2206600.0,7522.289,5.6,150.5,5.53,3495.3,37.90001826566907,0.0030379606691838,7.718329530406044,-0.25,7.873780948031235,7.482469051968764,7.5625,7.5625,7.5625,7.5625,7.5625,7.5625,7.5625,1
0.36,0.42,0.22,7.625,7.5625,7.625,3502000.0,7522.289,5.6,150.5,5.53,3495.3,47.24506103997703,-0.0002836519060583,7.715277985255783,-0.1875,7.8633477632909585,7.505402236709042,7.604166666666667,7.583333333333334,7.541666666666667,7.520833333333334,7.645833333333334,7.666666666666667,7.708333333333334,0
0.36,0.42,0.22,7.6875,7.625,7.625,1322800.0,7522.289,5.6,150.5,5.53,3495.3,47.24506103997703,-0.0030130937538033,7.71417662400903,-0.125,7.859561800402925,7.515438199597074,7.645833333333333,7.604166666666666,7.583333333333333,7.541666666666666,7.666666666666666,7.708333333333333,7.729166666666666,0
0.36,0.42,0.22,7.625,7.5625,7.5625,2150400.0,7522.289,5.6,150.5,5.53,3495.3,39.35946052596289,-0.0062185761569587,7.711227025599658,-0.125,7.8633477632909585,7.505402236709042,7.583333333333333,7.541666666666666,7.520833333333333,7.479166666666666,7.604166666666666,7.645833333333333,7.666666666666666,0
0.37,0.39,0.24,7.5,7.4375,7.5,3214600.0,7522.289,5.6,150.5,5.53,3495.3,33.00343775955609,-0.0105373724776259,7.705260022039788,-0.25,7.873780948031235,7.482469051968764,7.479166666666667,7.458333333333334,7.416666666666667,7.395833333333334,7.520833333333334,7.541666666666667,7.583333333333334,0
0.37,0.39,0.24,7.5625,7.4375,7.5,2263800.0,7522.289,5.6,150.5,5.53,3495.3,33.00343775955609,-0.015303557150345,7.701256268417516,-0.1875,7.87350828582721,7.457741714172791,7.5,7.4375,7.375,7.3125,7.5625,7.625,7.6875,1
0.37,0.39,0.24,7.5625,7.4375,7.5625,4176200.0,7522.289,5.6,150.5,5.53,3495.3,44.858654077870376,-0.019068273998999,7.696436725158066,-0.125,7.8747870449973,7.4502129550027,7.520833333333333,7.479166666666666,7.395833333333333,7.354166666666666,7.604166666666666,7.645833333333333,7.729166666666666,0
0.37,0.39,0.24,7.625,7.5,7.5625,1362800.0,7522.289,5.6,150.5,5.53,3495.3,44.85865407787038,-0.0219644770855198,7.694935627523705,-0.125,7.86570238529026,7.4405476147097405,7.5625,7.5,7.4375,7.375,7.625,7.6875,7.75,1
0.37,0.39,0.24,7.625,7.5625,7.625,2840000.0,7522.289,5.6,150.5,5.53,3495.3,55.37237711638341,-0.0231172763369131,7.693339501113013,0.0,7.854758285827209,7.43899171417279,7.604166666666667,7.583333333333334,7.541666666666667,7.520833333333334,7.645833333333334,7.666666666666667,7.708333333333334,0
0.38,0.37,0.25,7.125,6.875,7.0625,14524000.0,7522.289,5.6,150.5,5.53,3495.3,18.58120964085749,-0.032038582223568,7.627405081281799,-0.4375,7.9309536512618175,7.2877963487381825,7.020833333333333,6.916666666666666,6.770833333333333,6.666666666666666,7.166666666666666,7.270833333333333,7.416666666666666,0
0.38,0.37,0.25,7.125,6.9375,6.9375,7288800.0,7522.289,5.6,150.5,5.53,3495.3,15.876394035816531,-0.0472826475565597,7.5930215802004515,-0.625,7.9918905306632,7.139359469336799,7.0,6.875,6.8125,6.6875,7.0625,7.1875,7.25,1
0.38,0.37,0.25,7.0,6.9375,7.0,3881000.0,7522.289,5.6,150.5,5.53,3495.3,22.39384480224965,-0.0645856592087017,7.577691503009376,-0.625,8.003828064955966,7.046171935044035,6.979166666666667,6.958333333333334,6.916666666666667,6.895833333333334,7.020833333333334,7.041666666666667,7.083333333333334,1
0.38,0.37,0.25,7.0625,7.0,7.0625,2975200.0,7522.289,5.6,150.5,5.53,3495.3,28.76207893780164,-0.081127771283769,7.567680152965919,-0.5625,7.999226992565999,6.982023007434,7.041666666666667,7.020833333333334,6.979166666666667,6.958333333333334,7.083333333333334,7.104166666666667,7.145833333333334,0
0.38,0.37,0.25,7.0625,6.875,6.9375,2668000.0,7522.289,5.4,150.9,5.92,3474.9,24.18270919584081,-0.0981351967885663,7.556886820008474,-0.625,8.009007122585828,6.897242877414172,6.958333333333333,6.854166666666666,6.770833333333333,6.666666666666666,7.041666666666666,7.145833333333333,7.229166666666666,0
0.38,0.37,0.25,7.0,6.875,6.9375,1846800.0,7522.289,5.4,150.9,5.92,3474.9,24.18270919584081,-0.1143190444239091,7.549629633271751,-0.5625,7.995143702626678,6.829856297373321,6.9375,6.875,6.8125,6.75,7.0,7.0625,7.125,1
0.38,0.37,0.25,7.0625,6.9375,7.0625,3790800.0,7522.289,5.4,150.9,5.92,3474.9,37.443103663987046,-0.1268834471495386,7.538189247241214,-0.4375,7.968812986545181,6.793687013454818,7.020833333333333,6.979166666666666,6.895833333333333,6.854166666666666,7.104166666666666,7.145833333333333,7.229166666666666,0
0.38,0.37,0.25,7.125,7.0,7.0625,2963200.0,7522.289,5.4,150.9,5.92,3474.9,37.443103663987046,-0.1362314121315551,7.529613952381995,-0.5,7.935459783328227,6.764540216671772,7.0625,7.0,6.9375,6.875,7.125,7.1875,7.25,1
0.38,0.37,0.25,7.1875,7.125,7.1875,2994800.0,7522.289,5.4,150.9,5.92,3474.9,49.25847799371873,-0.1407685395381607,7.523492393481254,-0.375,7.892195315844363,6.757804684155637,7.166666666666667,7.145833333333334,7.104166666666667,7.083333333333334,7.208333333333334,7.229166666666667,7.270833333333334,0
0.38,0.37,0.25,7.3125,7.125,7.1875,3764800.0,7522.289,5.4,150.9,5.92,3474.9,49.25847799371873,-0.1417316434618534,7.516100868673978,-0.4375,7.855147298844032,6.751102701155968,7.208333333333333,7.104166666666666,7.020833333333333,6.916666666666666,7.291666666666666,7.395833333333333,7.479166666666666,1
0.34,0.43,0.23,7.25,7.0625,7.25,1978400.0,7522.289,5.4,150.9,5.92,3474.9,54.92566376869927,-0.1390839451256994,7.51305976507803,0.1875,7.835147666388208,6.746102333611793,7.1875,7.125,7.0,6.9375,7.3125,7.375,7.5,0
0.34,0.43,0.23,7.25,7.1875,7.1875,1724200.0,7522.289,5.4,150.9,5.92,3474.9,48.655437050709,-0.1349920131602529,7.509849173801884,0.25,7.802631349591388,6.741118650408612,7.208333333333333,7.166666666666666,7.145833333333333,7.104166666666666,7.229166666666666,7.270833333333333,7.291666666666666,0
0.34,0.43,0.23,7.1875,7.125,7.125,1560000.0,7522.289,5.4,150.9,5.92,3474.9,42.99242161794654,-0.1308988462637287,7.506445687851834,0.125,7.754181807926344,6.739568192073656,7.145833333333333,7.104166666666666,7.083333333333333,7.041666666666666,7.166666666666666,7.208333333333333,7.229166666666666,0
0.34,0.43,0.23,7.1875,7.0625,7.125,1967200.0,7522.289,5.4,150.9,5.92,3474.9,42.99242161794654,-0.1267211309599335,7.502238677940977,0.0625,7.699111769550002,6.744638230449998,7.125,7.0625,7.0,6.9375,7.1875,7.25,7.3125,1
0.34,0.43,0.23,7.1875,7.125,7.1875,1822800.0,7522.289,5.4,150.9,5.92,3474.9,50.64096662744074,-0.1214234510043499,7.499054732028393,0.25,7.652677043120348,6.753572956879652,7.166666666666667,7.145833333333334,7.104166666666667,7.083333333333334,7.208333333333334,7.229166666666667,7.270833333333334,0
0.43,0.37,0.2,7.1875,7.125,7.1875,1477000.0,7522.289,5.4,150.9,5.92,3474.9,50.64096662744074,-0.1154247634333412,7.496521669125419,0.25,7.614777181082349,6.760222818917651,7.166666666666667,7.145833333333334,7.104166666666667,7.083333333333334,7.208333333333334,7.229166666666667,7.270833333333334,1
0.43,0.37,0.2,7.3125,7.1875,7.25,3836600.0,7522.289,5.4,150.9,5.92,3474.9,58.12150877088857,-0.1080409316035473,7.491423006178956,0.1875,7.577704671728019,6.772295328271979,7.25,7.1875,7.125,7.0625,7.3125,7.375,7.4375,0
0.43,0.37,0.2,7.3125,7.1875,7.1875,2169400.0,7522.289,5.4,150.9,5.92,3474.9,49.47060372608384,-0.1009268947123649,7.487909761815954,0.125,7.515571363274238,6.796928636725762,7.229166666666667,7.145833333333334,7.104166666666667,7.020833333333334,7.270833333333334,7.354166666666667,7.395833333333334,0
0.43,0.37,0.2,7.1875,7.125,7.1875,1879800.0,7522.289,5.4,150.9,5.92,3474.9,49.47060372608383,-0.0941248568226708,7.484930543318959,0.0,7.442609988796092,6.832390011203908,7.166666666666667,7.145833333333334,7.104166666666667,7.083333333333334,7.208333333333334,7.229166666666667,7.270833333333334,0
0.46,0.37,0.17,7.25,7.125,7.1875,1599600.0,7522.289,5.4,150.9,5.92,3474.9,49.47060372608383,-0.087660418340497,7.482441548338629,0.0,7.319513998438374,6.911736001561625,7.1875,7.125,7.0625,7.0,7.25,7.3125,7.375,1
0.46,0.37,0.17,7.25,7.1875,7.25,1129800.0,7522.289,5.4,150.9,5.92,3474.9,58.874002089740976,-0.0805495103513547,7.481075761184777,0.0,7.335731807605865,6.914268192394135,7.229166666666667,7.208333333333334,7.166666666666667,7.145833333333334,7.270833333333334,7.291666666666667,7.333333333333334,0
0.46,0.37,0.17,7.25,7.1875,7.25,910000.0,7522.289,5.4,150.9,5.92,3474.9,58.874002089740976,-0.0732225847188678,7.479987300014701,0.0625,7.338786782655629,6.942463217344371,7.229166666666667,7.208333333333334,7.166666666666667,7.145833333333334,7.270833333333334,7.291666666666667,7.333333333333334,1
0.46,0.37,0.17,7.3125,7.1875,7.3125,2920200.0,7522.289,5.4,150.9,5.92,3474.9,67.04021817118792,-0.064980312882184,7.477493302207849,0.1875,7.356988767136726,6.955511232863274,7.270833333333333,7.229166666666666,7.145833333333333,7.104166666666666,7.354166666666666,7.395833333333333,7.479166666666666,1
0.46,0.37,0.17,7.4375,7.3125,7.4375,8590400.0,7522.289,5.4,151.2,5.98,3491.7,77.3973855967226,-0.0544539880157734,7.47581494950166,0.3125,7.40655651805256,6.94344348194744,7.395833333333333,7.354166666666666,7.270833333333333,7.229166666666666,7.479166666666666,7.520833333333333,7.604166666666666,1
0.53,0.26,0.21,7.5,7.375,7.5,2482800.0,7522.289,5.4,151.2,5.98,3491.7,80.86616447433344,-0.0419266076524665,7.476104774242625,0.3125,7.449396539266369,6.956853460733631,7.458333333333333,7.416666666666666,7.333333333333333,7.291666666666666,7.541666666666666,7.583333333333333,7.666666666666666,0
0.53,0.26,0.21,7.5625,7.4375,7.5,3257600.0,7522.289,5.4,151.2,5.98,3491.7,80.86616447433346,-0.0287061512300307,7.476474670714055,0.3125,7.478271733542012,6.984228266457988,7.5,7.4375,7.375,7.3125,7.5625,7.625,7.6875,0
0.53,0.26,0.21,7.5,7.4375,7.4375,1734000.0,7522.289,5.4,151.2,5.98,3491.7,67.1466667506529,-0.0166760502041204,7.47615614905111,0.1875,7.499999999999992,7.000000000000008,7.458333333333333,7.416666666666666,7.395833333333333,7.354166666666666,7.479166666666666,7.520833333333333,7.541666666666666,0
0.53,0.26,0.21,7.4375,7.25,7.4375,1985600.0,7522.289,5.4,151.2,5.98,3491.7,67.1466667506529,-0.0059846705626802,7.475797745421876,0.25,7.515771733542013,7.021728266457987,7.375,7.3125,7.1875,7.125,7.5,7.5625,7.6875,0
0.53,0.26,0.21,7.5,7.4375,7.4375,882400.0,7522.289,5.4,151.2,5.98,3491.7,67.1466667506529,0.0033208049376323,7.475640595194804,0.25,7.536136455629078,7.026363544370922,7.458333333333333,7.416666666666666,7.395833333333333,7.354166666666666,7.479166666666666,7.520833333333333,7.541666666666666,0
0.48,0.34,0.18,7.4375,7.375,7.4375,817000.0,7522.289,5.4,151.2,5.98,3491.7,67.14666675065291,0.0112622453832328,7.475496237825397,0.25,7.553747469623308,7.033752530376693,7.416666666666667,7.395833333333334,7.354166666666667,7.333333333333334,7.458333333333334,7.479166666666667,7.520833333333334,1
0.48,0.34,0.18,7.5,7.375,7.5,3922600.0,7522.289,5.4,151.2,5.98,3491.7,74.74220329452912,0.0189039137133282,7.475933573662606,0.25,7.581010661399387,7.031489338600614,7.458333333333333,7.416666666666666,7.333333333333333,7.291666666666666,7.541666666666666,7.583333333333333,7.666666666666666,1
0.48,0.34,0.18,7.5625,7.4375,7.5625,2940000.0,7522.289,5.4,151.2,5.98,3491.7,80.06116346480262,0.0269111669617839,7.477076278568151,0.3125,7.616321851313335,7.033678148686666,7.520833333333333,7.479166666666666,7.395833333333333,7.354166666666666,7.604166666666666,7.645833333333333,7.729166666666666,1
0.48,0.34,0.18,7.625,7.5625,7.625,4782600.0,7522.289,5.4,151.2,5.98,3491.7,83.95890612194111,0.0356636233119441,7.480185932667676,0.3125,7.6545704481638595,7.04542955183614,7.604166666666667,7.583333333333334,7.541666666666667,7.520833333333334,7.645833333333334,7.666666666666667,7.708333333333334,0
0.48,0.34,0.18,7.625,7.5,7.5625,1994000.0,7522.289,5.4,151.2,5.98,3491.7,68.50658935820731,0.0433459046959573,7.480901119572075,0.125,7.671202645688938,7.072547354311062,7.5625,7.5,7.4375,7.375,7.625,7.6875,7.75,0
0.39,0.41,0.2,7.5625,7.5,7.5625,1515600.0,7522.289,5.4,151.2,5.98,3491.7,68.50658935820731,0.0498559091746288,7.481436460560832,0.0625,7.6882996501945025,7.0929503498054975,7.541666666666667,7.520833333333334,7.479166666666667,7.458333333333334,7.583333333333334,7.604166666666667,7.645833333333334,0
0.39,0.41,0.2,7.5625,7.5,7.5,3842200.0,7522.289,5.4,151.2,5.98,3491.7,55.02396271327298,0.0541791053087921,7.4817401563169295,0.0,7.691582216344753,7.120917783655247,7.520833333333333,7.479166666666666,7.458333333333333,7.416666666666666,7.541666666666666,7.583333333333333,7.604166666666666,1
0.39,0.41,0.2,7.5625,7.5,7.5625,979000.0,7522.289,5.4,151.2,5.98,3491.7,63.34727730628558,0.0577786891098856,7.482075406894306,0.125,7.705400154365346,7.138349845634654,7.541666666666667,7.520833333333334,7.479166666666667,7.458333333333334,7.583333333333334,7.604166666666667,7.645833333333334,0
0.39,0.41,0.2,7.5625,7.5,7.5,1926400.0,7522.289,5.4,151.2,5.98,3491.7,52.20074604963799,0.0596071902713686,7.482220636133,0.0625,7.700328741518922,7.174671258481078,7.520833333333333,7.479166666666666,7.458333333333333,7.416666666666666,7.541666666666666,7.583333333333333,7.604166666666666,0
0.39,0.41,0.2,7.5,7.4375,7.5,1438200.0,7522.289,5.4,151.2,5.98,3491.7,52.20074604963799,0.060093901249653,7.482327535390916,0.0625,7.689166226327766,7.217083773672234,7.479166666666667,7.458333333333334,7.416666666666667,7.395833333333334,7.520833333333334,7.541666666666667,7.583333333333334,1
