Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,12.666666984558104,12.145833015441896,12.5,1045800.0,5872.701,5.4,127.5,8.23,3170.4,38.29736155793257,-0.083913427226578,12.694352381633973,-0.1458330154418963,13.051184626461934,12.336315468905498,12.4375,12.208333015441896,11.916666030883793,11.687499046325687,12.729166984558104,12.958333969116207,13.250000953674313,0
0.24,0.38,0.38,12.625,12.458333015441896,12.5,503400.0,5872.701,5.4,127.5,8.23,3170.4,38.29736155793256,-0.0871357230418802,12.68757283530972,-0.0416669845581036,13.005329613216908,12.332170482150524,12.527777671813965,12.43055534362793,12.36111068725586,12.263888359069826,12.597222328186032,12.694444656372069,12.763889312744135,0
0.24,0.38,0.38,12.541666984558104,12.208333015441896,12.4375,340800.0,5872.701,5.4,127.5,8.23,3170.4,34.407562799335935,-0.0910227871018702,12.68180348638787,-0.3958330154418963,12.953855183302249,12.327394912065186,12.395833333333334,12.249999682108564,12.062499364217128,11.916665712992357,12.583333651224772,12.72916730244954,12.91666762034098,1
0.24,0.38,0.38,12.645833015441896,12.5,12.645833015441896,744000.0,5872.701,5.4,127.5,8.23,3170.4,52.83314401607271,-0.0915914577686161,12.680078684223409,-0.1666669845581037,12.912223288982908,12.341943409472904,12.597222010294596,12.548611005147295,12.4513889948527,12.4027779897054,12.694444020589192,12.743055025736492,12.840277036031088,0
0.24,0.38,0.38,12.75,12.625,12.625,670200.0,5872.701,5.3,128.0,8.24,3170.5,51.17446377492566,-0.0901740362230484,12.677798115951267,-0.1875,12.89317778862091,12.34432221137909,12.666666666666666,12.583333333333332,12.541666666666666,12.458333333333332,12.708333333333332,12.791666666666666,12.833333333333332,1
0.15,0.37,0.48,12.729166984558104,12.458333015441896,12.729166984558104,193800.0,5872.701,5.3,128.0,8.24,3170.5,58.66189203204247,-0.0857186258661575,12.678405886814271,-0.0208330154418963,12.90289088130825,12.35752581714756,12.6388889948527,12.5486110051473,12.368055025736494,12.277777036031091,12.819444974263506,12.909722963968909,13.090278943379714,1
0.15,0.37,0.48,12.979166984558104,12.666666984558104,12.9375,1081800.0,5872.701,5.3,128.0,8.24,3170.5,69.4670355353714,-0.0760734212782359,12.694457382745064,0.5208330154418963,12.94222194135229,12.37027805864771,12.861111323038736,12.743055661519367,12.548611323038736,12.430555661519367,13.055555661519367,13.173611323038736,13.368055661519367,1
0.15,0.37,0.48,12.979166984558104,12.895833015441896,12.979166984558104,386400.0,5872.701,5.3,128.0,8.24,3170.5,71.20401151846511,-0.0628428126534001,12.70062112979746,0.3958339691162074,12.99231509908828,12.35143490091172,12.9513889948527,12.9236110051473,12.868055025736494,12.840277036031091,13.006944974263506,13.034722963968909,13.090278943379714,0
0.15,0.37,0.48,13.0,12.875,12.9375,493200.0,5872.701,5.3,128.0,8.24,3170.5,66.8180336213758,-0.0485800535270784,12.70699079944012,0.375,13.021662793915858,12.340837206084142,12.9375,12.875,12.8125,12.75,13.0,13.0625,13.125,0
0.15,0.37,0.48,12.9375,12.625,12.770833015441896,448200.0,5872.701,5.3,128.0,8.24,3170.5,52.02706232064463,-0.0369663904927825,12.708513667474138,0.1875,13.019323446468494,12.341093156619884,12.777777671813965,12.61805534362793,12.465277671813965,12.30555534362793,12.93055534362793,13.090277671813965,13.24305534362793,0
0.19,0.3,0.51,12.833333015441896,12.625,12.75,350400.0,5872.701,5.3,128.0,8.24,3170.5,50.4174031042779,-0.0278700616868547,12.70927316647712,0.25,13.025507140294188,12.34532616125,12.7361110051473,12.6388889948527,12.527777989705402,12.430555979410803,12.847222010294598,12.944444020589197,13.055555025736494,0
0.19,0.3,0.51,12.75,12.666666984558104,12.666666984558104,242400.0,5872.701,5.3,128.0,8.24,3170.5,44.11756944655332,-0.0220944018763542,12.70874032542043,0.1666669845581037,13.025164430610848,12.358168870933342,12.69444465637207,12.63888931274414,12.611111640930174,12.555556297302244,12.722222328186035,12.777777671813968,12.805555343627931,1
0.19,0.3,0.51,12.708333015441896,12.541666984558104,12.708333015441896,442200.0,5872.701,5.3,128.0,8.24,3170.5,47.87513442133152,-0.0179877278922271,12.70873124011871,0.2708330154418963,13.012356468936035,12.35847683260815,12.652777671813965,12.597222328186032,12.486111640930172,12.43055629730224,12.763888359069826,12.819443702697756,12.93055438995362,1
0.19,0.3,0.51,12.833333015441896,12.666666984558104,12.791666984558104,577200.0,5872.701,5.3,128.0,8.24,3170.5,54.877045382135,-0.013771878049825,12.711077626794903,0.1458339691162073,13.009738947597514,12.359011052402485,12.7638889948527,12.694444974263506,12.597222963968909,12.527778943379714,12.8611110051473,12.930555025736494,13.027777036031091,1
0.19,0.3,0.51,13.0,12.854166984558104,12.916666984558104,499800.0,5872.701,5.3,128.0,8.24,3170.5,63.38883748262008,-0.007682909819502,12.715993688771505,0.2916669845581037,13.026705560338192,12.35246113811762,12.923611323038736,12.847222646077473,12.77777830759684,12.701389630635576,12.993055661519367,13.069444338480633,13.138888676961264,0
0.23,0.43,0.34,12.9375,12.833333015441896,12.875,805200.0,5872.701,5.3,128.0,8.24,3170.5,59.10090834585015,-0.0013863625457756,12.72189192719454,0.1458330154418963,13.042180298036088,12.349486400419725,12.881944338480633,12.826388676961262,12.777777353922527,12.722221692403158,12.930555661519366,12.986111323038736,13.03472264607747,0
0.23,0.43,0.34,12.833333015441896,12.583333015441896,12.666666984558104,477000.0,5872.701,5.3,128.0,8.24,3170.5,42.51083288954924,0.0013895440535191,12.72070447068855,-0.2708330154418963,13.029378946963805,12.387287751492009,12.694444338480633,12.555555661519366,12.444444338480633,12.305555661519366,12.805555661519366,12.944444338480633,13.055555661519366,1
0.23,0.43,0.34,12.75,12.5,12.75,304200.0,5872.701,5.3,128.0,8.24,3170.5,49.10468115360611,0.0031396262124427,12.72110075759786,-0.2291669845581037,13.03266334811309,12.400670048798531,12.666666666666666,12.583333333333332,12.416666666666666,12.333333333333332,12.833333333333332,12.916666666666666,13.083333333333332,0
0.23,0.43,0.34,12.833333015441896,12.666666984558104,12.666666984558104,673200.0,5872.701,5.3,128.0,8.24,3170.5,43.36555527097227,0.002818313852704,12.71951859363354,-0.2708330154418963,13.030520988517631,12.413229106849798,12.722222328186035,12.611111640930174,12.555556297302244,12.44444561004638,12.777777671813968,12.888888359069828,12.94444370269776,0
0.24,0.38,0.38,12.791666984558104,12.541666984558104,12.666666984558104,334800.0,5872.701,5.3,128.0,8.24,3170.5,43.36555527097227,0.001209111755733,12.718765498693193,-0.1041660308837926,13.029010500055248,12.423072992223805,12.666666984558104,12.541666984558104,12.416666984558104,12.291666984558104,12.791666984558104,12.916666984558104,13.041666984558104,1
0.24,0.38,0.38,12.875,12.75,12.875,271800.0,5872.701,5.3,128.0,8.24,3170.5,59.22672645490832,0.0021981181301666,12.720552140176846,0.125,13.035005915034182,12.454577577244873,12.833333333333334,12.791666666666668,12.708333333333334,12.666666666666668,12.916666666666668,12.958333333333334,13.041666666666668,1
0.24,0.38,0.38,13.083333015441896,12.916666984558104,12.916666984558104,257400.0,5872.701,5.3,128.0,8.24,3170.5,61.70194313837344,0.0054235483377647,12.722653265701034,0.25,13.04130713303197,12.48994305770289,12.972222328186035,12.861111640930174,12.805556297302244,12.69444561004638,13.027777671813968,13.138888359069828,13.19444370269776,0
0.24,0.38,0.38,13.041666984558104,12.770833015441896,12.916666984558104,979200.0,5872.701,5.3,128.0,8.24,3170.5,61.70194313837344,0.0098692819322752,12.730251057829811,0.2083339691162073,13.02563442352619,12.55353246566448,12.909722328186035,12.777777671813968,12.638888359069828,12.50694370269776,13.048611640930174,13.180556297302244,13.31944561004638,0
0.24,0.38,0.38,13.0,12.666666984558104,12.875,718800.0,5872.701,5.2,128.6,8.28,3192.6,57.087940564523805,0.014159558854166,12.734295871058023,0.0833330154418963,13.029849335943297,12.572234251703186,12.847222328186035,12.69444465637207,12.51388931274414,12.361111640930174,13.027777671813968,13.180555343627931,13.361110687255865,1
0.21,0.37,0.42,13.208333015441896,12.875,13.166666984558104,561600.0,5872.701,5.2,128.6,8.28,3192.6,73.24650148808877,0.0227485990327598,12.743533895214254,0.25,13.094364902287555,12.561885383814738,13.083333333333334,12.958333651224772,12.750000317891438,12.625000635782875,13.291666666666668,13.41666634877523,13.624999682108564,0
0.21,0.37,0.42,13.291666984558104,12.958333015441896,13.0,553800.0,5872.701,5.2,128.6,8.28,3192.6,58.67816243330926,0.0308708460046215,12.748825934621314,0.125,13.114190232833703,12.56914335481278,13.083333333333334,12.874999682108564,12.749999364217128,12.541665712992357,13.208333651224772,13.41666730244954,13.54166762034098,0
0.21,0.37,0.42,12.958333015441896,12.625,12.916666984558104,830400.0,5872.701,5.2,128.6,8.28,3192.6,52.63813296918557,0.0368748439364786,12.753863167910104,0.25,13.111762005879326,12.569488280222968,12.833333333333334,12.708333651224772,12.500000317891438,12.375000635782875,13.041666666666668,13.16666634877523,13.374999682108564,0
0.21,0.37,0.42,12.916666984558104,12.5,12.541666984558104,931200.0,5872.701,5.2,128.6,8.28,3192.6,34.303751943608944,0.0351694737033885,12.746954227205585,-0.2083330154418963,13.11247719805894,12.525023088043357,12.652777989705404,12.388888994852705,12.2361110051473,11.9722220102946,12.805555979410808,13.069444974263508,13.222222963968912,1
0.21,0.37,0.42,12.5625,12.333333015441896,12.5625,634200.0,5872.701,5.2,128.6,8.28,3192.6,35.738531553151944,0.0289736394347217,12.742952747069385,-0.1041669845581036,13.10927446372872,12.490725822373577,12.4861110051473,12.409722010294598,12.256944020589197,12.180555025736494,12.6388889948527,12.715277989705402,12.868055979410803,0
0.22,0.42,0.36,12.541666984558104,12.166666984558104,12.25,823800.0,5872.701,5.2,128.6,8.28,3192.6,25.935096279723663,0.0152362734030031,12.72944247456352,-0.4166669845581037,13.169306829110951,12.37861015544715,12.31944465637207,12.097222328186035,11.94444465637207,11.722222328186035,12.472222328186035,12.69444465637207,12.847222328186035,0
0.22,0.42,0.36,12.083333015441896,11.916666984558104,12.041666984558104,1327800.0,5872.701,5.2,128.6,8.28,3192.6,21.41613463473832,-0.0058664013412077,12.700345797840484,-0.8333330154418963,13.252149621454896,12.224934061559017,12.0138889948527,11.944444974263506,11.847222963968909,11.777778943379714,12.1111110051473,12.180555025736494,12.277777036031091,0
0.22,0.42,0.36,12.020833015441896,11.6875,11.875,1131600.0,5872.701,5.2,128.6,8.28,3192.6,18.448848425405245,-0.0331249754982602,12.671624080836883,-1.0416669845581037,13.341685938231771,12.056231046326328,11.8611110051473,11.7013889948527,11.527777989705402,11.368055979410803,12.034722010294598,12.194444020589197,12.368055025736494,0
0.22,0.42,0.36,11.875,11.729166984558104,11.791666984558104,1219800.0,5872.701,5.2,128.6,8.28,3192.6,17.083304549072565,-0.0640670397191622,12.639808598136948,-1.125,13.413082859105591,11.89316752236413,11.798611323038736,11.722222646077473,11.65277830759684,11.576389630635576,11.868055661519367,11.944444338480633,12.013888676961264,0
0.22,0.42,0.36,11.833333015441896,11.583333015441896,11.645833015441896,1310400.0,5872.701,5.2,128.6,8.28,3192.6,14.862022013567495,-0.0978764840758419,12.602644907304324,-1.2291669845581037,13.475198250760412,11.716468733797692,11.687499682108564,11.541666348775232,11.437499682108564,11.291666348775232,11.791666348775232,11.937499682108564,12.041666348775232,1
0.25,0.35,0.4,11.75,11.625,11.6875,2757600.0,5872.701,5.2,128.6,8.28,3192.6,18.3615382611801,-0.1308229471018148,12.53589244346629,-1.4791669845581037,13.488003596277274,11.58074668982502,11.6875,11.625,11.5625,11.5,11.75,11.8125,11.875,1
0.25,0.35,0.4,11.958333015441896,11.645833015441896,11.958333015441896,790200.0,5872.701,5.2,128.6,8.28,3192.6,37.59852271953895,-0.1568822475734018,12.524067586228032,-1.0416669845581037,13.4611638223076,11.515919765338884,11.85416634877523,11.749999682108564,11.54166634877523,11.437499682108564,12.062499682108564,12.16666634877523,12.374999682108564,0
0.25,0.35,0.4,11.958333015441896,11.708333015441896,11.791666984558104,1350000.0,5872.701,5.2,128.6,8.28,3192.6,32.20939854269082,-0.1795602291966941,12.499315402952416,-1.125,13.461400636998572,11.428182950647908,11.819444338480633,11.680555661519366,11.569444338480633,11.430555661519366,11.930555661519366,12.069444338480633,12.180555661519366,0
0.25,0.35,0.4,11.791666984558104,11.625,11.625,886800.0,5872.701,5.2,128.6,8.28,3192.6,27.638403465944776,-0.2011798687164948,12.480326979559765,-0.9166669845581036,13.457207425268964,11.319876162377517,11.680555661519367,11.569444338480634,11.513888676961264,11.40277735392253,11.736111323038738,11.847222646077473,11.902778307596842,0
0.25,0.35,0.4,11.604166984558104,11.25,11.333333015441896,931800.0,5872.701,5.2,128.6,8.28,3192.6,21.482425539090983,-0.2251976694574345,12.454736426507989,-1.2291669845581037,13.48008992607162,11.16366026466324,11.395833333333334,11.187499682108564,11.04166634877523,10.83333269755046,11.541666666666668,11.750000317891438,11.895833651224772,1
0.37,0.39,0.24,11.479166984558104,11.333333015441896,11.4375,833400.0,5872.701,5.2,128.6,8.28,3192.6,28.08334325037663,-0.2472843439474509,12.434834722237047,-0.8125,13.470865802478189,11.049967689800864,11.416666666666666,11.354166348775228,11.27083269755046,11.20833237965902,11.500000317891436,11.562500635782872,11.645834287007643,0
0.37,0.39,0.24,11.541666984558104,11.416666984558104,11.416666984558104,268200.0,5872.701,5.2,128.6,8.28,3192.6,27.54888785577184,-0.266771573495864,12.428464315356845,-0.625,13.417605113178134,10.957395077556727,11.45833365122477,11.375000317891436,11.33333365122477,11.250000317891436,11.500000317891436,11.58333365122477,11.625000317891436,1
0.37,0.39,0.24,11.4375,11.291666984558104,11.4375,740400.0,5872.701,5.2,128.6,8.28,3192.6,29.10564974147792,-0.2826675635681664,12.411638497489424,-0.4375,13.336903914647918,10.890179577631136,11.3888889948527,11.340277989705402,11.243055979410803,11.194444974263506,11.4861110051473,11.534722010294598,11.631944020589197,1
0.37,0.39,0.24,11.666666984558104,11.458333015441896,11.666666984558104,1014600.0,5872.701,5.2,128.6,8.28,3192.6,44.29719688194408,-0.2911788582944443,12.394699130713835,-0.125,13.228504060370025,10.87357943190903,11.597222328186035,11.527777671813968,11.388888359069828,11.31944370269776,11.736111640930174,11.805556297302244,11.94444561004638,0
0.37,0.39,0.24,11.791666984558104,11.5625,11.625,969600.0,5872.701,5.2,128.6,8.28,3192.6,42.39148627696863,-0.2946165097950839,12.378329450317525,-0.0208330154418963,13.113377406384656,10.863706085894396,11.659722328186035,11.527777671813968,11.430555343627931,11.298610687255865,11.75694465637207,11.88888931274414,11.986111640930174,1
0.34,0.35,0.31,11.916666984558104,11.583333015441896,11.895833015441896,604200.0,5872.701,5.2,128.6,8.28,3192.6,56.444785732613376,-0.2897014194394188,12.372018661914725,0.2083330154418963,12.903702451745389,10.946297643622042,11.7986110051473,11.680555025736494,11.465277036031091,11.347221056620286,12.0138889948527,12.131944974263506,12.347222963968909,0
0.34,0.35,0.31,11.916666984558104,11.583333015441896,11.895833015441896,604200.0,5960.028,5.4,128.9,8.26,3219.8,56.444785732613376,-0.2791483613304938,12.365870825483048,-0.0625,12.707595087205451,11.031988309706168,11.7986110051473,11.680555025736494,11.465277036031091,11.347221056620286,12.0138889948527,12.131944974263506,12.347222963968909,0
0.34,0.35,0.31,12.0,11.8125,11.854166984558104,501600.0,5960.028,5.4,128.9,8.26,3219.8,53.75871851118422,-0.2656432646100926,12.36044443064055,0.0625,12.494425375580477,11.138908021331144,11.8888889948527,11.777777989705402,11.7013889948527,11.590277989705402,11.965277989705402,12.0763889948527,12.152777989705402,1
0.34,0.35,0.31,12.166666984558104,11.875,12.166666984558104,773400.0,5960.028,5.4,128.9,8.26,3219.8,67.2470728111042,-0.2454046370447981,12.357326984613811,0.5416669845581037,12.408660585067215,11.187172811844407,12.06944465637207,11.972222328186035,11.777777671813968,11.680555343627931,12.26388931274414,12.361111640930174,12.555556297302244,1
0.34,0.35,0.31,12.354166984558104,12.208333015441896,12.291666984558104,958800.0,5960.028,5.4,128.9,8.26,3219.8,71.13334696400973,-0.2194528762934327,12.356043046824396,0.9583339691162074,12.332543797214644,11.236206298152789,12.284722328186035,12.215277671813968,12.138888359069828,12.06944370269776,12.361111640930174,12.430556297302244,12.50694561004638,1
0.34,0.35,0.31,12.458333015441896,12.145833015441896,12.333333015441896,897000.0,5960.028,5.4,128.9,8.26,3219.8,72.3931986729994,-0.1901157338409439,12.355635054408072,0.8958330154418963,12.35264763846754,11.224435758444082,12.312499682108564,12.166666348775232,11.999999682108564,11.854166348775232,12.479166348775232,12.624999682108564,12.791666348775232,0
0.38,0.37,0.25,12.416666984558104,12.291666984558104,12.3125,372600.0,5960.028,5.4,128.9,8.26,3219.8,70.6151693729169,-0.1600936675886838,12.355315543108915,0.8958330154418963,12.403540535011947,11.20062616344386,12.340277989705404,12.263888994852705,12.215277989705404,12.138888994852705,12.388888994852705,12.465277989705404,12.513888994852705,1
