Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,3.03125,3.0,3.0,896800.0,5872.701,5.4,127.5,8.23,3170.4,29.093077301609146,-0.0389830661598188,3.1656111832231373,-0.09375,3.3037294991631723,2.958770500836828,3.0104166666666665,2.989583333333333,2.9791666666666665,2.958333333333333,3.020833333333333,3.0416666666666665,3.052083333333333,0
0.24,0.38,0.38,3.03125,2.96875,2.984375,793600.0,5872.701,5.4,127.5,8.23,3170.4,26.932366561701613,-0.0421619823803271,3.158600604406317,-0.109375,3.2986977572928704,2.9403647427071298,2.9947916666666665,2.958333333333333,2.9322916666666665,2.895833333333333,3.020833333333333,3.0572916666666665,3.083333333333333,0
0.24,0.38,0.38,2.984375,2.9375,2.953125,532000.0,5872.701,5.4,127.5,8.23,3170.4,22.99180637200584,-0.0455660535047505,3.1534070933105283,-0.15625,3.287496134124666,2.9218788658753336,2.958333333333333,2.932291666666667,2.911458333333333,2.885416666666667,2.979166666666667,3.005208333333333,3.026041666666667,0
0.24,0.38,0.38,2.953125,2.921875,2.953125,464000.0,5872.701,5.4,127.5,8.23,3170.4,22.99180637200584,-0.0488289460746674,3.1490871374116773,-0.171875,3.2711773854224613,2.9085101145775387,2.942708333333333,2.932291666666667,2.911458333333333,2.901041666666667,2.963541666666667,2.973958333333333,2.994791666666667,0
0.24,0.38,0.38,2.96875,2.90625,2.90625,848800.0,5872.701,5.3,128.0,8.24,3170.5,17.792851243442385,-0.0524688766441921,3.1398692130871884,-0.171875,3.2590364149667685,2.887838585033231,2.927083333333333,2.885416666666667,2.864583333333333,2.822916666666667,2.947916666666667,2.989583333333333,3.010416666666667,0
0.15,0.37,0.48,2.9375,2.828125,2.828125,636000.0,5872.701,5.3,128.0,8.24,3170.5,12.400494326996991,-0.0572811677154808,3.131247608362903,-0.21875,3.252939881433053,2.8533101185669474,2.864583333333333,2.791666666666667,2.755208333333333,2.682291666666667,2.901041666666667,2.973958333333333,3.010416666666667,0
0.15,0.37,0.48,2.84375,2.71875,2.71875,912000.0,5872.701,5.3,128.0,8.24,3170.5,8.324918263677645,-0.0641904622639886,3.1155129073813828,-0.328125,3.2660933274387736,2.7917191725612263,2.7604166666666665,2.677083333333333,2.6354166666666665,2.552083333333333,2.802083333333333,2.8854166666666665,2.927083333333333,1
0.15,0.37,0.48,2.859375,2.75,2.859375,1337600.0,5872.701,5.3,128.0,8.24,3170.5,38.37284446436111,-0.0696620285375234,3.101942257113885,-0.21875,3.2380603427526764,2.782252157247324,2.8229166666666665,2.786458333333333,2.7135416666666665,2.677083333333333,2.895833333333333,2.9322916666666665,3.005208333333333,1
0.15,0.37,0.48,3.0,2.828125,2.96875,530400.0,5872.701,5.3,128.0,8.24,3170.5,52.3801514116124,-0.0720418379371063,3.0992016076471867,-0.03125,3.218583473101963,2.782979026898037,2.9322916666666665,2.864583333333333,2.7604166666666665,2.692708333333333,3.036458333333333,3.1041666666666665,3.208333333333333,1
0.15,0.37,0.48,3.046875,2.984375,2.984375,1263200.0,5872.701,5.3,128.0,8.24,3170.5,54.09982770831613,-0.0719455548136938,3.09383737056213,-0.046875,3.200623208602822,2.7853142913971785,3.005208333333333,2.963541666666667,2.942708333333333,2.901041666666667,3.026041666666667,3.067708333333333,3.088541666666667,1
