Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.41,0.35,1.46875,1.40625,1.46875,528000.0,7115.652,6.5,147.1,3.34,3477.2,65.07493765771247,0.2253219926965356,1.4175723766999475,0.109375,1.8302919936918145,0.9142393039919012,1.4479166666666667,1.4270833333333337,1.3854166666666667,1.3645833333333337,1.4895833333333337,1.5104166666666667,1.5520833333333337,1
0.24,0.41,0.35,1.515625,1.453125,1.484375,1096000.0,7115.652,6.5,147.1,3.34,3477.2,66.76717134216723,0.2183799758627211,1.4185154693188249,0.0,1.5547736309892852,1.2944451666944308,1.484375,1.453125,1.421875,1.390625,1.515625,1.546875,1.578125,1
0.24,0.41,0.35,1.546875,1.484375,1.546875,920000.0,7115.652,6.5,147.1,3.34,3477.2,72.84079750022846,0.2121070580606411,1.420018783848352,0.03125,1.572011131392367,1.2897076662913487,1.5260416666666667,1.5052083333333337,1.4635416666666667,1.4427083333333337,1.5677083333333337,1.5885416666666667,1.6302083333333337,1
0.24,0.41,0.35,1.578125,1.53125,1.5625,1142400.0,7115.652,6.5,147.1,3.34,3477.2,74.20090470311054,0.2063482081448612,1.4220611767078637,0.0625,1.5906876342275424,1.2850936634561734,1.5572916666666667,1.5364583333333337,1.5104166666666667,1.4895833333333337,1.5833333333333337,1.6041666666666667,1.6302083333333337,1
0.24,0.41,0.35,1.578125,1.53125,1.578125,635200.0,7115.652,6.5,147.1,3.34,3477.2,75.61023150791539,0.2009924328926726,1.4232952145481446,0.0625,1.6099730127793557,1.2861207849043603,1.5625,1.546875,1.515625,1.5,1.59375,1.609375,1.640625,0
0.29,0.37,0.34,1.578125,1.5,1.546875,2140800.0,7115.652,6.5,147.1,3.34,3477.2,67.14569277166666,0.1952133777097607,1.4265030863676147,0.09375,1.6141355157148989,1.3053957819688171,1.5416666666666667,1.5052083333333337,1.4635416666666667,1.4270833333333337,1.5833333333333337,1.6197916666666667,1.6614583333333337,0
0.29,0.37,0.34,1.484375,1.484375,1.484375,11200.0,7115.652,6.5,147.1,3.34,3477.2,53.36030631900039,0.1880298847161329,1.4265109445185191,0.0,1.6132275282480475,1.318803769435668,1.484375,1.484375,1.484375,1.484375,1.484375,1.484375,1.484375,0
0.29,0.37,0.34,1.53125,1.453125,1.453125,1056000.0,7115.652,6.5,147.1,3.34,3477.2,47.7093471274107,0.1794155542437367,1.426847366732144,-0.0234379768371582,1.607253543651817,1.335715254031899,1.4791666666666667,1.4270833333333337,1.4010416666666667,1.3489583333333337,1.5052083333333337,1.5572916666666667,1.5833333333333337,0
0.29,0.37,0.34,1.46875,1.4375,1.4375,182400.0,7115.652,6.5,147.1,3.34,3477.2,44.96227510011606,0.1696977679080018,1.42687057508349,0.046875,1.6017478988712806,1.3490333988124354,1.4479166666666667,1.4270833333333337,1.4166666666666667,1.3958333333333337,1.4583333333333337,1.4791666666666667,1.4895833333333337,1
0.29,0.37,0.34,1.46875,1.421875,1.46875,387200.0,7115.652,6.5,147.1,3.34,3477.2,51.41767000471636,0.1599095791914024,1.427063369575002,0.046875,1.5919252780192503,1.3713560196644652,1.453125,1.4375,1.40625,1.390625,1.484375,1.5,1.53125,0
