Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,3.240741014480591,3.0740740299224854,3.166666984558105,1528875.0,5872.701,5.4,127.5,8.23,3170.4,50.23311614212028,-0.1218410205252227,3.165632352042602,-0.0370371341705326,3.633047253651281,2.8243604354432623,3.160494009653727,3.080247004826864,2.9938270250956216,2.913580020268758,3.246913989384969,3.3271609942118325,3.4135809739430742,0
0.24,0.38,0.38,3.222222089767456,3.1296300888061523,3.1481480598449707,1670625.0,5872.701,5.4,127.5,8.23,3170.4,48.89081747296028,-0.1185620216879454,3.1649685036213286,0.0925920009613037,3.573773811337824,2.8391893882776547,3.1666667461395264,3.1111114025115967,3.0740747451782227,3.018519401550293,3.2037034034729004,3.25925874710083,3.296295404434204,0
0.24,0.38,0.38,3.2037041187286377,3.037036895751953,3.037036895751953,1645650.0,5872.701,5.4,127.5,8.23,3170.4,41.25841271044565,-0.1161271866569457,3.1603562763057966,-0.0185191631317138,3.525932543636301,2.8388824530830594,3.092592636744181,2.9814811547597246,2.9259254137674966,2.81481393178304,3.148148377736409,3.2592598597208657,3.314815600713094,0
0.24,0.38,0.38,3.09259295463562,2.888889074325561,3.0,1860300.0,5872.701,5.4,127.5,8.23,3170.4,38.92146973708426,-0.1146753199132305,3.154076908623234,-0.0925929546356201,3.501262518985741,2.8246635703010634,2.9938273429870605,2.895061731338501,2.790123462677001,2.691357851028442,3.09876561164856,3.19753122329712,3.302469491958619,0
0.24,0.38,0.38,3.0740740299224854,2.925925970077514,2.944443941116333,1406025.0,5872.701,5.3,128.0,8.24,3170.5,35.44648040804938,-0.1145406641242301,3.1480508612429587,-0.1296300888061523,3.482063923374588,2.803121366008347,2.9814813137054443,2.888888597488404,2.833333253860473,2.740740537643432,3.0370366573333745,3.1296293735504155,3.1851847171783456,1
0.15,0.37,0.48,3.055556058883667,2.944443941116333,2.962963104248047,1720575.0,5872.701,5.3,128.0,8.24,3170.5,37.589660294263446,-0.1146821457475315,3.1417613516634244,-0.0740737915039062,3.456649295995701,2.7896471097965354,2.987654368082682,2.9197526772816973,2.876542250315348,2.808640559514364,3.030864795049032,3.098766485850016,3.1419769128163653,0
0.15,0.37,0.48,3.0,2.944443941116333,2.962963104248047,1094850.0,5872.701,5.3,128.0,8.24,3170.5,37.589660294263446,-0.1147279044427405,3.1379769901879992,0.1481480598449707,3.417839765318282,2.7858640434662028,2.9691356817881265,2.938271363576253,2.9135796229044595,2.882715304692586,2.99382742245992,3.024691740671793,3.049383481343587,0
0.15,0.37,0.48,3.0,2.944443941116333,2.944443941116333,317925.0,5872.701,5.3,128.0,8.24,3170.5,35.998482511630925,-0.114745241445104,3.1367947832479466,0.0185179710388188,3.3771624729439664,2.7839487388327666,2.9629626274108887,2.9259252548217773,2.9074065685272217,2.8703691959381104,2.9814813137054443,3.018518686294556,3.037037372589112,0
0.15,0.37,0.48,2.962963104248047,2.90740704536438,2.944443941116333,516375.0,5872.701,5.3,128.0,8.24,3170.5,35.998482511630925,-0.1144823278308704,3.13490511592766,-0.3518519401550293,3.322496195029064,2.7941705034267468,2.9382713635762534,2.91357962290446,2.8827153046925864,2.858023564020793,2.969135681788127,2.9938274224599204,3.024691740671794,1
0.15,0.37,0.48,3.2037041187286377,2.944443941116333,3.185184955596924,1411425.0,5872.701,5.3,128.0,8.24,3170.5,63.06070464173055,-0.1099557302607808,3.136219946216781,0.0370368957519531,3.2839652767151404,2.81603472328486,3.1111110051472983,3.018517891565959,2.8518508275349936,2.7592577139536543,3.277778069178264,3.370371182759603,3.5370382467905683,1
0.19,0.3,0.51,3.2962958812713623,3.1111109256744385,3.222222089767456,1320975.0,5872.701,5.3,128.0,8.24,3170.5,65.63978155909822,-0.1021525127175792,3.138274515358224,0.055555105209351,3.2875833957663603,2.814268401337521,3.209876298904419,3.123456716537476,3.024691343307495,2.938271760940552,3.3086416721343994,3.3950612545013428,3.4938266277313232,1
0.19,0.3,0.51,3.277777910232544,3.185184955596924,3.240741014480591,1048950.0,5872.701,5.3,128.0,8.24,3170.5,66.97025793653088,-0.0921763459440149,3.140182136352524,0.0925929546356201,3.311633928875691,2.8087363637878835,3.234567960103353,3.191358009974162,3.141975005467733,3.098765055338542,3.283950964609782,3.327160914738973,3.3765439192454023,0
0.19,0.3,0.51,3.3518519401550293,3.166666984558105,3.2037041187286377,2069550.0,5872.701,5.3,128.0,8.24,3170.5,61.476992497069126,-0.0817419973397085,3.142432689843073,0.1666672229766845,3.3270676077578334,2.808117490890237,3.240741014480591,3.1296300888061523,3.0555560588836665,2.944445133209228,3.3148150444030766,3.425925970077515,3.500000000000001,0
0.19,0.3,0.51,3.2037041187286377,3.055556058883667,3.0740740299224854,911925.0,5872.701,5.3,128.0,8.24,3170.5,46.17958633366784,-0.0734493208465093,3.141381903629181,0.0740740299224853,3.3258980765898105,2.807435129586948,3.1111114025115967,3.018518686294556,2.962963342666626,2.870370626449585,3.1666667461395264,3.2592594623565674,3.314814805984497,1
0.19,0.3,0.51,3.222222089767456,3.0185189247131348,3.222222089767456,445500.0,5872.701,5.3,128.0,8.24,3170.5,59.47648478974581,-0.0644026971171547,3.141984445982582,0.277778148651123,3.342500137108007,2.805647875053248,3.154321034749349,3.086419979731242,2.950617869695028,2.882716814676921,3.2901231447855634,3.3580241998036704,3.4938263098398847,0
