Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.51,0.23,0.26,4.3125,4.15625,4.25,902800.0,7772.586,5.6,153.9,5.6,3653.3,81.71594819278712,0.0186926513117763,3.77237613069341,0.6875,4.158993044070771,3.391006955929229,4.239583333333333,4.166666666666666,4.083333333333333,4.010416666666666,4.322916666666666,4.395833333333333,4.479166666666666,0
0.51,0.23,0.26,4.28125,3.96875,4.15625,646400.0,7772.586,5.6,153.9,5.6,3653.3,70.38553445534234,0.0340961513319581,3.7798517298932297,0.4375,4.213943407849291,3.3735565921507096,4.135416666666667,3.989583333333334,3.822916666666667,3.677083333333334,4.302083333333334,4.447916666666667,4.614583333333334,0
0.51,0.23,0.26,4.125,4.0,4.125,324400.0,7772.586,5.6,153.9,5.6,3653.3,66.82196802953686,0.0479353657428588,3.7831922863485015,0.375,4.257224190103438,3.3677758098965627,4.083333333333333,4.041666666666666,3.958333333333333,3.916666666666666,4.166666666666666,4.208333333333333,4.291666666666666,1
0.51,0.23,0.26,4.25,4.125,4.15625,274000.0,7772.586,5.6,153.9,5.6,3653.3,68.65319682813745,0.0604579628551933,3.7862172695849807,0.34375,4.301957070776935,3.3636679292230656,4.177083333333333,4.104166666666666,4.052083333333333,3.979166666666666,4.229166666666666,4.302083333333333,4.354166666666666,1
0.48,0.28,0.24,4.5,4.21875,4.375,660000.0,7772.586,5.6,153.9,5.6,3653.3,78.31868131420165,0.0748511070819561,3.797496894157533,0.65625,4.389827528441014,3.338297471558987,4.364583333333333,4.229166666666666,4.083333333333333,3.947916666666666,4.510416666666666,4.645833333333333,4.791666666666666,1
0.48,0.28,0.24,4.5,4.375,4.40625,422800.0,7772.586,5.6,153.9,5.6,3653.3,79.36734298977984,0.0899901362823263,3.804877200779951,0.65625,4.472239586931398,3.3215104130686024,4.427083333333333,4.354166666666666,4.302083333333333,4.229166666666666,4.479166666666666,4.552083333333333,4.604166666666666,0
0.48,0.28,0.24,4.5,4.40625,4.40625,156800.0,7772.586,5.6,153.9,5.6,3653.3,79.36734298977984,0.1045979530834969,3.807568982152848,0.65625,4.543359512410367,3.3160154875896324,4.4375,4.375,4.34375,4.28125,4.46875,4.53125,4.5625,1
0.48,0.28,0.24,4.53125,4.375,4.5,230400.0,7772.586,5.6,153.9,5.6,3653.3,82.70787177892888,0.1193643769518123,3.812093391603235,0.71875,4.611976790330567,3.3442732096694336,4.46875,4.40625,4.3125,4.25,4.5625,4.625,4.71875,0
0.46,0.34,0.2,4.5,4.4375,4.46875,213200.0,7772.586,5.6,153.9,5.6,3653.3,77.85947469301138,0.1326855012589693,3.816039876643439,0.4375,4.645900400559369,3.4134745994406304,4.46875,4.4375,4.40625,4.375,4.5,4.53125,4.5625,1
0.46,0.34,0.2,4.5625,4.4375,4.5625,179600.0,7772.586,5.6,153.9,5.6,3653.3,81.59431818266563,0.1455957338518422,3.819800022437875,0.375,4.711226069879096,3.435648930120904,4.520833333333333,4.479166666666666,4.395833333333333,4.354166666666666,4.604166666666666,4.645833333333333,4.729166666666666,0
