Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,4.625,4.5,4.5625,331200.0,5872.701,5.4,127.5,8.23,3170.4,38.93332336415335,0.1404544491696942,4.694111387937299,0.0,5.120370927607421,4.229629072392578,4.5625,4.5,4.4375,4.375,4.625,4.6875,4.75,0
0.24,0.38,0.38,4.6875,4.4375,4.5,584200.0,5872.701,5.4,127.5,8.23,3170.4,35.34878923536684,0.1293534025321073,4.680433261766337,0.0625,5.08272419193463,4.29852580806537,4.541666666666667,4.395833333333334,4.291666666666667,4.145833333333334,4.645833333333334,4.791666666666667,4.895833333333334,0
0.24,0.38,0.38,4.5,4.25,4.25,239000.0,5872.701,5.4,127.5,8.23,3170.4,24.807356723437323,0.1123641596399457,4.668372491089852,-0.6875,5.093053552826906,4.281946447173094,4.333333333333333,4.166666666666666,4.083333333333333,3.916666666666666,4.416666666666666,4.583333333333333,4.666666666666666,1
0.24,0.38,0.38,4.4375,4.25,4.375,154400.0,5872.701,5.4,127.5,8.23,3170.4,35.84493833051293,0.0943131149400844,4.663156379548595,-0.5625,5.10400450791645,4.252245492083549,4.354166666666667,4.270833333333334,4.166666666666667,4.083333333333334,4.458333333333334,4.541666666666667,4.645833333333334,1
0.24,0.38,0.38,4.625,4.375,4.625,308200.0,5872.701,5.3,128.0,8.24,3170.5,52.078306406295965,0.0803164643508537,4.661848602121839,-0.375,5.10400450791645,4.252245492083549,4.541666666666667,4.458333333333334,4.291666666666667,4.208333333333334,4.708333333333334,4.791666666666667,4.958333333333334,0
0.15,0.37,0.48,4.6875,4.5,4.625,261200.0,5872.701,5.3,128.0,8.24,3170.5,52.078306406295965,0.0694116995271501,4.66080845959323,-0.375,5.096981410827119,4.246768589172881,4.604166666666667,4.520833333333334,4.416666666666667,4.333333333333334,4.708333333333334,4.791666666666667,4.895833333333334,0
0.15,0.37,0.48,4.625,4.5,4.625,115600.0,5872.701,5.3,128.0,8.24,3170.5,52.078306406295965,0.0608583112890601,4.660366634646174,-0.25,5.089569121814483,4.241680878185518,4.583333333333333,4.541666666666666,4.458333333333333,4.416666666666666,4.666666666666666,4.708333333333333,4.791666666666666,0
0.15,0.37,0.48,4.625,4.5,4.625,128000.0,5872.701,5.3,128.0,8.24,3170.5,52.078306406295965,0.0540883946845443,4.659889965252185,-0.25,5.089569121814483,4.241680878185518,4.583333333333333,4.541666666666666,4.458333333333333,4.416666666666666,4.666666666666666,4.708333333333333,4.791666666666666,1
0.15,0.37,0.48,4.8125,4.5,4.8125,384800.0,5872.701,5.3,128.0,8.24,3170.5,64.1406773837679,0.0516593883625408,4.665832641826388,0.125,5.10251844797962,4.25998155202038,4.708333333333333,4.604166666666666,4.395833333333333,4.291666666666666,4.916666666666666,5.020833333333333,5.229166666666666,0
0.15,0.37,0.48,4.9375,4.6875,4.75,456200.0,5872.701,5.3,128.0,8.24,3170.5,58.47921401127019,0.0509636198405018,4.66954681756626,0.125,5.106764428072447,4.2619855719275535,4.791666666666667,4.645833333333334,4.541666666666667,4.395833333333334,4.895833333333334,5.041666666666667,5.145833333333334,0
