Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,24.875,24.0,24.5,471400.0,5872.701,5.4,127.5,8.23,3170.4,30.395766290924684,-0.6281318194316537,25.902826561610024,-1.75,28.80889476735492,23.56610523264508,24.45833333333333,24.041666666666664,23.58333333333333,23.166666666666664,24.916666666666664,25.33333333333333,25.791666666666664,0
0.24,0.38,0.38,24.25,23.5,24.0,318500.0,5872.701,5.4,127.5,8.23,3170.4,25.08275085937038,-0.6731758994667885,25.83352962027053,-1.75,28.709166310015416,23.303333689984587,23.916666666666668,23.583333333333336,23.166666666666668,22.833333333333336,24.333333333333336,24.666666666666668,25.083333333333336,0
0.24,0.38,0.38,24.25,23.625,23.875,299900.0,5872.701,5.4,127.5,8.23,3170.4,23.87874818445887,-0.7157152995633409,25.76859605775184,-2.0,28.40186036482162,23.16063963517838,23.916666666666668,23.583333333333336,23.291666666666668,22.958333333333336,24.208333333333336,24.541666666666668,24.833333333333336,1
0.24,0.38,0.38,24.625,24.125,24.375,568400.0,5872.701,5.4,127.5,8.23,3170.4,37.68440130825131,-0.7448463612327829,25.68620371333472,-0.875,28.13202898689208,23.09297101310792,24.375,24.125,23.875,23.625,24.625,24.875,25.125,1
0.24,0.38,0.38,24.5,24.125,24.5,272400.0,5872.701,5.3,128.0,8.24,3170.5,40.78245777666438,-0.7603542802308054,25.653520239925555,-1.125,27.863294824526584,23.061705175473413,24.375,24.25,24.0,23.875,24.625,24.75,25.0,1
0.15,0.37,0.48,25.125,24.5,25.0,556300.0,5872.701,5.3,128.0,8.24,3170.5,51.83437566783559,-0.7568003174013053,25.618706129640803,-0.625,27.5752160628102,23.1122839371898,24.875,24.625,24.25,24.0,25.25,25.5,25.875,0
0.15,0.37,0.48,25.25,24.625,24.875,575100.0,5872.701,5.3,128.0,8.24,3170.5,49.186363931741184,-0.7417544419224796,25.579886637985805,0.125,27.241441992058306,23.19605800794169,24.916666666666668,24.583333333333336,24.291666666666668,23.958333333333336,25.208333333333336,25.541666666666668,25.833333333333336,0
0.15,0.37,0.48,24.75,24.0,24.5,537600.0,5872.701,5.3,128.0,8.24,3170.5,41.79542027174579,-0.7245866854533995,25.529646312546515,0.375,26.98763288134553,23.21236711865448,24.416666666666668,24.083333333333336,23.666666666666668,23.333333333333336,24.833333333333336,25.166666666666668,25.583333333333336,1
0.15,0.37,0.48,24.625,24.0,24.625,690500.0,5872.701,5.3,128.0,8.24,3170.5,44.97549945607419,-0.7033431556305084,25.47863672739448,0.375,26.61255273117185,23.33744726882816,24.416666666666668,24.208333333333336,23.791666666666668,23.583333333333336,24.833333333333336,25.041666666666668,25.458333333333336,0
0.15,0.37,0.48,24.625,24.0,24.125,656700.0,5872.701,5.3,128.0,8.24,3170.5,35.918124850535335,-0.6870327776207189,25.409741059941407,-0.625,26.20361589796406,23.45888410203594,24.25,23.875,23.625,23.25,24.5,24.875,25.125,0
