Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,4.857518196105957,4.832734107971191,4.857518196105957,948221.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,4.944259166717529,4.758385181427002,4.944259166717529,1315404.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,4.944259166717529,4.869908809661865,4.91947603225708,1127778.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,4.9318671226501465,4.882300853729248,4.8946919441223145,725288.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,4.8946919441223145,4.845126152038574,4.857518196105957,1312378.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,4.8946919441223145,4.832734107971191,4.869908809661865,1353737.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,4.8946919441223145,4.783167839050293,4.783167839050293,1061200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,4.783167839050293,4.634468078613281,4.733601093292236,1217556.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,4.857518196105957,4.733601093292236,4.795558929443359,1147953.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,4.832734107971191,4.696425914764404,4.832734107971191,1964028.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,4.795558929443359,4.733601093292236,4.745993137359619,1724955.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,4.857518196105957,4.659252166748047,4.832734107971191,2218232.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,4.857518196105957,4.733601093292236,4.758385181427002,2197048.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,4.783167839050293,4.684034824371338,4.758385181427002,1131813.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,4.857518196105957,4.733601093292236,4.845126152038574,2263625.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,4.857518196105957,4.77077579498291,4.795558929443359,1672500.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,4.807950973510742,4.733601093292236,4.77077579498291,1946879.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,4.807950973510742,4.72121000289917,4.783167839050293,1642238.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,4.857518196105957,4.795558929443359,4.820343017578125,2132488.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,4.882300853729248,4.758385181427002,4.783167839050293,2828523.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,4.820343017578125,4.671642780303955,4.733601093292236,2455287.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,4.783167839050293,4.684034824371338,4.733601093292236,1917626.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,4.708817958831787,4.634468078613281,4.659252166748047,2777077.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,4.783167839050293,4.646860122680664,4.77077579498291,1805655.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,4.783167839050293,4.733601093292236,4.77077579498291,1999334.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,4.77077579498291,4.745993137359619,4.758385181427002,978483.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,4.820343017578125,4.745993137359619,4.820343017578125,1585748.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,4.956651210784912,4.795558929443359,4.944259166717529,3689992.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,4.96904182434082,4.8946919441223145,4.8946919441223145,3499339.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,4.96904182434082,4.907083988189697,4.956651210784912,965370.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,4.956651210784912,4.882300853729248,4.8946919441223145,1028921.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,4.907083988189697,4.832734107971191,4.8946919441223145,2914266.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,4.8946919441223145,4.832734107971191,4.845126152038574,1288168.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,4.981433868408203,4.845126152038574,4.981433868408203,4163094.0,5872.701,5.3,128.0,8.24,3170.5
