Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,4.9375,4.8125,4.875,3155200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,5.03125,4.8125,5.03125,2210400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,5.1875,5.0,5.15625,4268000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,5.25,4.96875,5.03125,2384000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,5.125,4.96875,5.03125,1088800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,5.0,4.90625,4.984375,835200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,5.0625,4.96875,4.96875,1256800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,4.984375,4.859375,4.96875,2626400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,4.96875,4.84375,4.875,773600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,4.875,4.78125,4.78125,1607200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,4.84375,4.75,4.78125,658400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,4.84375,4.6875,4.8125,1217600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,4.84375,4.6875,4.78125,1976800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,4.8125,4.65625,4.78125,1521600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,4.875,4.78125,4.828125,918400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,4.84375,4.65625,4.6875,805600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,4.71875,4.59375,4.59375,772800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,4.71875,4.375,4.6875,3576000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,4.90625,4.75,4.78125,1311200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,4.90625,4.78125,4.84375,1541600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,5.03125,4.875,5.03125,1405600.0,5872.701,5.4,127.5,8.23,3170.4
