Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1996-06-20,3.125,2.9375,2.96875,12638800.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-21,3.09375,3.0,3.0,1881200.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-24,3.21875,3.0,3.21875,1606000.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-25,3.28125,3.15625,3.15625,1895600.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-26,3.1875,3.125,3.15625,399200.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-27,3.34375,3.15625,3.25,348400.0,8032.84,5.3,156.7,5.27,3721.0
1996-06-28,3.34375,3.25,3.28125,157200.0,8032.84,5.3,156.7,5.27,3721.0
1996-07-01,3.3125,3.21875,3.21875,117200.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-02,3.25,3.21875,3.25,85600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-03,3.40625,3.1875,3.40625,370400.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-05,3.3125,3.21875,3.25,238800.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-08,3.28125,3.1875,3.28125,55200.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-09,3.3125,3.1875,3.265625,739600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-10,3.28125,3.1875,3.28125,184000.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-11,3.28125,3.09375,3.125,367600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-12,3.125,3.0625,3.09375,54800.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-15,3.09375,2.9375,2.96875,158800.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-16,3.0,2.71875,2.71875,190800.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-17,3.09375,2.75,3.03125,117600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-18,3.1875,3.03125,3.1875,127600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-19,3.21875,3.15625,3.21875,30800.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-22,3.21875,3.125,3.1875,177600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-23,3.21875,3.09375,3.09375,83200.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-24,3.125,2.96875,3.125,46400.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-25,3.125,3.09375,3.09375,25600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-26,3.125,3.09375,3.09375,159600.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-29,3.078125,3.0625,3.0625,27200.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-30,3.0625,2.9375,2.9375,145200.0,8131.408,5.5,157.0,5.4,3734.1
1996-07-31,2.96875,2.90625,2.90625,118800.0,8131.408,5.5,157.0,5.4,3734.1
1996-08-01,3.0,2.90625,2.90625,15600.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-02,3.125,3.0,3.125,134400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-05,3.125,3.0625,3.125,60400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-06,3.1875,3.09375,3.1875,152000.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-07,3.28125,3.125,3.21875,180400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-08,3.34375,3.21875,3.3125,136800.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-09,3.34375,3.28125,3.34375,233200.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-12,3.375,3.3125,3.375,179600.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-13,3.34375,3.25,3.34375,93200.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-14,3.34375,3.28125,3.28125,131200.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-15,3.28125,3.1875,3.28125,36400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-16,3.25,3.1875,3.234375,40400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-19,3.28125,3.09375,3.09375,92000.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-20,3.125,3.03125,3.03125,32800.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-21,3.0625,2.875,2.875,60400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-22,2.90625,2.8125,2.84375,421600.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-23,2.875,2.75,2.78125,102000.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-26,2.75,2.71875,2.71875,44800.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-27,2.75,2.625,2.75,153600.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-28,2.8125,2.625,2.8125,28400.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-29,2.8125,2.6875,2.8125,23600.0,8131.408,5.1,157.2,5.22,3741.6
1996-08-30,2.875,2.75,2.84375,297200.0,8131.408,5.1,157.2,5.22,3741.6
1996-09-01,2.875,2.75,2.84375,297200.0,8131.408,5.2,157.7,5.3,3744.2
1996-09-03,2.75,2.75,2.75,11200.0,8131.408,5.2,157.7,5.3,3744.2
1996-09-04,2.90625,2.8125,2.8125,767600.0,8131.408,5.2,157.7,5.3,3744.2
1996-09-05,2.8125,2.6875,2.78125,332000.0,8131.408,5.2,157.7,5.3,3744.2
