Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
2011-11-17,18.37384605407715,17.812238693237305,17.879295349121094,20946098.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-18,18.046939849853516,17.39312744140625,17.60268211364746,3243171.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-21,17.795473098754883,16.78122329711914,17.015926361083984,2823115.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-22,17.35959815979004,16.471080780029297,16.68063735961914,3565519.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-23,16.55490493774414,16.110645294189453,16.454317092895508,1266250.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-25,16.61357879638672,16.345348358154297,16.471080780029297,333563.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-28,17.032690048217773,16.48784637451172,16.797988891601562,835458.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-29,16.76445960998535,16.51299285888672,16.75607681274414,637062.0,15842.259,8.6,227.169,0.08,9633.1
2011-11-30,17.988264083862305,16.86504554748535,17.46856689453125,679652.0,15842.259,8.6,227.169,0.08,9633.1
2011-12-01,17.64459228515625,17.057836532592773,17.44342041015625,572521.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-02,17.979883193969727,17.51885986328125,17.912824630737305,697309.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-05,18.36546516418457,17.937971115112305,18.24811363220215,2466885.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-06,18.650461196899414,18.113998413085938,18.54987335205078,625251.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-07,18.524728775024414,18.29002571105957,18.44090461730957,188017.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-08,18.39061164855957,18.12238121032715,18.181055068969727,450835.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-09,18.42414093017578,17.812238693237305,18.23134994506836,587791.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-12,18.09723472595215,17.812238693237305,18.030176162719727,514780.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-13,18.29002571105957,17.778709411621094,17.862531661987305,666529.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-14,17.761945724487305,17.225482940673828,17.300922393798828,1255752.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-15,18.34031867980957,17.426654815673828,17.56915283203125,850490.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-16,18.021793365478516,17.38474464416504,17.57753562927246,250888.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-19,17.745180130004883,17.401508331298828,17.59429931640625,177757.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-20,18.181055068969727,17.745180130004883,18.021793365478516,381999.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-21,18.17267417907715,17.845766067504883,17.937971115112305,320440.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-22,18.31517219543457,17.963117599487305,18.264877319335938,446779.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-23,18.818105697631836,18.130762100219727,18.39061164855957,647203.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-27,19.18692398071289,17.921207427978516,18.14752769470215,528618.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-28,18.29002571105957,17.67812156677246,17.761945724487305,172746.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-29,17.963117599487305,17.619447708129883,17.954736709594727,344896.0,15842.259,8.5,227.223,0.07,9729.2
2011-12-30,18.139144897460938,17.67812156677246,18.055322647094727,152704.0,15842.259,8.5,227.223,0.07,9729.2
2012-01-01,18.139144897460938,17.67812156677246,18.055322647094727,152704.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-03,19.2204532623291,18.23973274230957,18.642078399658203,1169498.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-04,19.471920013427734,18.31517219543457,18.893545150756836,469684.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-05,18.809722900390625,18.23973274230957,18.558256149291992,802293.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-06,19.136629104614258,18.44090461730957,18.901927947998047,690628.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-09,19.036043167114258,18.843252182006836,19.036043167114258,499628.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-10,20.117351531982422,19.21207046508789,19.974853515625,1131918.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-11,20.13411521911621,19.773679733276367,20.075439453125,271288.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-12,20.95557403564453,19.99161720275879,20.695724487304688,1208986.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-13,21.223806381225586,20.352054595947266,20.78792953491211,645294.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-17,21.064542770385742,20.343671798706055,20.419111251831055,1059145.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-18,20.95557403564453,20.293378829956055,20.536462783813477,679652.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-19,21.098072052001953,20.611902236938477,21.014249801635742,1141105.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-20,21.123218536376953,20.90528106689453,21.039396286010742,634676.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-23,21.65129852294922,21.022632598876953,21.357921600341797,584093.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-24,21.68482780456543,21.106454849243164,21.63453483581543,486863.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-25,21.70159339904785,21.349538803100586,21.59262466430664,720214.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-26,22.330259323120117,21.098072052001953,21.75188636779785,956309.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-27,22.967309951782227,21.936294555664062,22.766136169433594,3047876.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-30,23.093042373657227,22.271583557128906,22.699077606201172,805514.0,16068.805,8.3,227.842,0.08,9761.9
2012-01-31,23.042749404907227,22.271583557128906,22.48952293395996,660445.0,16068.805,8.3,227.842,0.08,9761.9
2012-02-01,24.048616409301758,22.623638153076172,23.964794158935547,850609.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-02,24.341995239257812,23.36127471923828,24.2833194732666,682038.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-03,26.010059356689453,24.492874145507812,25.77535629272461,3254862.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-06,25.80050277709961,25.0628662109375,25.582565307617188,1968927.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-07,25.5658016204834,24.87845802307129,25.213747024536133,944737.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-08,25.356245040893555,24.3839054107666,25.0628662109375,1802742.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-09,25.1634521484375,24.660520553588867,24.97904396057129,1801191.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-10,25.289186477661133,24.610225677490234,25.180217742919922,1777331.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-13,25.356245040893555,25.0880126953125,25.155071258544922,1762777.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-14,24.719194412231445,24.098909378051758,24.3587589263916,10285688.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-15,24.9874267578125,24.417434692382812,24.626991271972656,5713635.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-16,25.80888557434082,24.610225677490234,25.414920806884766,5809314.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-17,26.404022216796875,25.289186477661133,26.227996826171875,5353588.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-21,27.64459228515625,25.431684494018555,25.92623519897461,4582790.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-22,26.278289794921875,25.406538009643555,26.001676559448242,1731878.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-23,26.320201873779297,25.6160945892334,25.984912872314453,1398196.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-24,26.61357879638672,25.8172664642334,26.311819076538086,1332581.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-27,26.51299285888672,26.010059356689453,26.227996826171875,2578908.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-28,26.974014282226562,26.320201873779297,26.72254753112793,1538731.0,16068.805,8.3,228.329,0.1,9787.0
2012-02-29,27.200334548950195,26.496227264404297,26.823135375976562,2937285.0,16068.805,8.3,228.329,0.1,9787.0
2012-03-01,27.233863830566406,26.295053482055664,26.823135375976562,3060403.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-02,27.233863830566406,26.59681510925293,27.099748611450195,1941369.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-05,27.351215362548828,26.278289794921875,26.52137565612793,2205141.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-06,26.529756546020508,24.970661163330078,25.129924774169922,1253366.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-07,25.87594223022461,24.97904396057129,25.155071258544922,813030.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-08,26.747695922851562,25.356245040893555,26.57166862487793,4290267.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-09,26.73931312561035,26.362112045288086,26.68063735961914,764117.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-12,27.074602127075195,26.437551498413086,26.75607681274414,4160826.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-13,26.873428344726562,26.546520233154297,26.78122329711914,1540879.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-14,27.066219329833984,26.026823043823242,26.63872528076172,2253100.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-15,26.932104110717773,26.496227264404297,26.58843231201172,1595399.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-16,26.906957626342773,26.52137565612793,26.823135375976562,2037644.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-19,26.873428344726562,26.387258529663086,26.445934295654297,2542522.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-20,26.395641326904297,25.683151245117188,26.102262496948242,2089182.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-21,26.60519790649414,26.102262496948242,26.202850341796875,1049482.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-22,26.127410888671875,25.80050277709961,25.95976448059082,458589.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-23,26.051969528198242,25.473596572875977,25.95976448059082,861585.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-26,26.797988891601562,26.043588638305664,26.78960609436035,1472520.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-27,27.33445167541504,26.580049514770508,26.747695922851562,1672109.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-28,26.873428344726562,25.632858276367188,26.454317092895508,1731759.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-29,27.158424377441406,26.320201873779297,26.63034439086914,2174004.0,16068.805,8.2,228.807,0.13,9903.1
2012-03-30,26.965633392333984,26.345348358154297,26.48784637451172,12048107.0,16068.805,8.2,228.807,0.13,9903.1
2012-04-01,26.965633392333984,26.345348358154297,26.48784637451172,12048107.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-02,26.62196159362793,26.378877639770508,26.445934295654297,2764539.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-03,26.61357879638672,25.984912872314453,26.211231231689453,1436014.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-04,26.546520233154297,25.77535629272461,26.51299285888672,2607182.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-05,26.823135375976562,26.404022216796875,26.62196159362793,969909.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-09,26.46269989013672,26.110645294189453,26.211231231689453,1532647.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-10,26.529756546020508,25.632858276367188,25.85079574584961,2411530.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-11,26.55490493774414,25.92623519897461,26.395641326904297,2703099.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-12,27.116512298583984,26.202850341796875,26.63034439086914,2649295.0,16207.115,8.2,229.187,0.14,9948.9
2012-04-13,26.797988891601562,26.353729248046875,26.69740104675293,1161147.0,16207.115,8.2,229.187,0.14,9948.9
