Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,8.979757308959961,8.786643981933594,8.979757308959961,3569541.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,9.011942863464355,8.851015090942383,8.979757308959961,4301237.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,9.076313972473145,8.883200645446777,9.076313972473145,4478335.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,9.04412841796875,8.883200645446777,8.979757308959961,4916032.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,9.04412841796875,8.883200645446777,8.883200645446777,2663077.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,8.851015090942383,8.754459381103516,8.818829536437988,2828136.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,8.818829536437988,8.561346054077148,8.625717163085938,3154758.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,8.657901763916016,8.49697494506836,8.561346054077148,3903931.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,8.722272872924805,8.561346054077148,8.690088272094727,3196314.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,8.657901763916016,8.464789390563965,8.49697494506836,5698216.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,8.561346054077148,8.271676063537598,8.464789390563965,3636730.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,8.464789390563965,8.303861618041992,8.336047172546387,4914479.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,8.400418281555176,8.14293384552002,8.17512035369873,5079926.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,8.207304954528809,8.046378135681152,8.17512035369873,4759906.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,8.303861618041992,8.14293384552002,8.14293384552002,3696539.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,8.23949146270752,7.853264808654785,7.853264808654785,3814605.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,8.014191627502441,7.8854498863220215,7.9498209953308105,3941603.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,7.9498209953308105,7.66015100479126,7.8854498863220215,5087693.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,7.982007026672363,7.627965927124023,7.6923370361328125,5645397.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,7.788894176483154,7.563594818115234,7.6923370361328125,4190550.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,7.853264808654785,7.595779895782471,7.724523067474365,2009445.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,7.724523067474365,7.4992241859436035,7.627965927124023,3400987.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,7.66015100479126,7.563594818115234,7.66015100479126,2650649.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,7.821078777313232,7.66015100479126,7.724523067474365,6080764.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,7.853264808654785,7.724523067474365,7.756708145141602,1824190.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,7.821078777313232,7.724523067474365,7.756708145141602,2476658.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,7.756708145141602,7.4992241859436035,7.531408786773682,4006461.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,7.756708145141602,7.370481967926025,7.724523067474365,3922184.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,7.724523067474365,7.531408786773682,7.595779895782471,4023161.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,7.627965927124023,7.402667045593262,7.531408786773682,3766058.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,7.563594818115234,7.4348530769348145,7.4992241859436035,2372574.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,7.563594818115234,7.370481967926025,7.531408786773682,4242204.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,7.4992241859436035,7.306110858917236,7.467038154602051,4418526.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,7.467038154602051,7.273924827575684,7.338295936584473,5258966.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,7.531408786773682,7.402667045593262,7.467038154602051,4873699.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,7.467038154602051,7.2417402267456055,7.273924827575684,4838746.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,7.273924827575684,7.080811977386475,7.209554195404053,5067498.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,7.338295936584473,7.112998008728027,7.112998008728027,4929237.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,7.273924827575684,7.0164408683776855,7.209554195404053,5126142.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,7.402667045593262,7.2417402267456055,7.402667045593262,3080579.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,7.306110858917236,7.080811977386475,7.2417402267456055,13269558.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,7.66015100479126,7.2417402267456055,7.4992241859436035,7722031.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,7.531408786773682,7.402667045593262,7.467038154602051,9255329.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,7.563594818115234,7.467038154602051,7.563594818115234,5147114.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,7.2417402267456055,7.0164408683776855,7.080811977386475,13335970.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,7.145183086395264,6.984255790710449,7.0164408683776855,12923517.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,7.209554195404053,7.080811977386475,7.177369117736816,10475599.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,7.273924827575684,7.145183086395264,7.177369117736816,8731413.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,7.273924827575684,7.145183086395264,7.209554195404053,6354956.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,7.273924827575684,7.145183086395264,7.209554195404053,5658214.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,7.209554195404053,7.145183086395264,7.177369117736816,3232044.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,7.273924827575684,7.177369117736816,7.273924827575684,4194434.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,7.306110858917236,7.177369117736816,7.209554195404053,3427785.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,7.306110858917236,7.209554195404053,7.306110858917236,7948064.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,7.2417402267456055,7.145183086395264,7.209554195404053,3315933.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,7.2417402267456055,7.112998008728027,7.112998008728027,5916871.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,7.177369117736816,7.112998008728027,7.145183086395264,3869365.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,7.177369117736816,6.823328018188477,6.855514049530029,8962107.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,7.0164408683776855,6.887699127197266,6.919885158538818,4960307.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,7.0164408683776855,6.887699127197266,6.919885158538818,3311273.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,6.855514049530029,6.630215167999268,6.855514049530029,9795169.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,6.887699127197266,6.726771831512451,6.79114294052124,6763913.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,6.855514049530029,6.694585800170898,6.726771831512451,5354117.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,6.7589569091796875,6.5658440589904785,6.630215167999268,5524225.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,6.7589569091796875,6.5658440589904785,6.630215167999268,5524225.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,6.694585800170898,6.5658440589904785,6.694585800170898,4255020.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,6.7589569091796875,6.630215167999268,6.726771831512451,3719842.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-04,6.919885158538818,6.726771831512451,6.823328018188477,5369652.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-05,6.919885158538818,6.823328018188477,6.855514049530029,2866973.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-06,6.887699127197266,6.79114294052124,6.855514049530029,2011386.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-09,6.919885158538818,6.823328018188477,6.887699127197266,2849885.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-10,7.080811977386475,6.887699127197266,7.048626899719238,4034424.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-11,7.2417402267456055,7.048626899719238,7.177369117736816,7525902.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-12,7.306110858917236,7.145183086395264,7.273924827575684,3861598.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-16,7.467038154602051,7.209554195404053,7.370481967926025,5550246.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-17,7.595779895782471,7.306110858917236,7.531408786773682,5021281.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-18,7.531408786773682,7.338295936584473,7.4348530769348145,4669803.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-19,7.402667045593262,7.048626899719238,7.112998008728027,5765793.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-20,7.273924827575684,7.145183086395264,7.2417402267456055,5232168.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-23,7.2417402267456055,6.984255790710449,7.0164408683776855,3951701.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-24,7.145183086395264,6.952070236206055,6.952070236206055,2906976.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-25,7.080811977386475,6.919885158538818,6.919885158538818,2494135.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-26,7.0164408683776855,6.79114294052124,6.855514049530029,3792467.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-27,6.952070236206055,6.79114294052124,6.79114294052124,1935654.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-30,7.0164408683776855,6.79114294052124,6.984255790710449,3196314.0,5960.028,5.4,128.9,8.26,3219.8
1990-05-01,7.0164408683776855,6.855514049530029,6.855514049530029,3059607.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-02,6.919885158538818,6.855514049530029,6.919885158538818,2701526.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-03,6.984255790710449,6.7589569091796875,6.823328018188477,3662751.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-04,6.952070236206055,6.823328018188477,6.919885158538818,4439886.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-07,6.984255790710449,6.919885158538818,6.919885158538818,2780366.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-08,7.048626899719238,6.919885158538818,7.048626899719238,3042130.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-09,7.112998008728027,7.0164408683776855,7.080811977386475,3725667.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-10,7.177369117736816,7.048626899719238,7.145183086395264,3794409.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-11,7.467038154602051,7.177369117736816,7.402667045593262,6932467.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-14,7.724523067474365,7.467038154602051,7.531408786773682,8228858.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-15,7.917635917663574,7.563594818115234,7.8854498863220215,8625776.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-16,7.821078777313232,7.4992241859436035,7.531408786773682,5910268.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-17,7.66015100479126,7.563594818115234,7.595779895782471,4051901.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-18,7.627965927124023,7.531408786773682,7.627965927124023,4681843.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-21,7.756708145141602,7.563594818115234,7.724523067474365,3806061.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-22,7.853264808654785,7.595779895782471,7.627965927124023,6272621.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-23,7.6923370361328125,7.531408786773682,7.66015100479126,3362538.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-24,7.788894176483154,7.66015100479126,7.724523067474365,4058503.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-25,7.6923370361328125,7.4992241859436035,7.563594818115234,2149647.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-29,7.627965927124023,7.467038154602051,7.627965927124023,2995525.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-30,7.66015100479126,7.4992241859436035,7.563594818115234,4143945.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-31,7.563594818115234,7.467038154602051,7.531408786773682,3202916.0,5960.028,5.4,129.1,8.18,3186.7
1990-06-01,7.66015100479126,7.563594818115234,7.66015100479126,3968401.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-04,8.14293384552002,7.6923370361328125,8.14293384552002,8070013.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-05,8.207304954528809,8.046378135681152,8.07856273651123,6109504.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-06,8.07856273651123,7.917635917663574,8.046378135681152,4255797.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-07,8.23949146270752,8.046378135681152,8.110749244689941,6448942.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-08,8.14293384552002,7.8854498863220215,7.917635917663574,3284863.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-11,7.8854498863220215,7.756708145141602,7.8854498863220215,3013779.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-12,7.8854498863220215,7.66015100479126,7.821078777313232,6095522.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-13,8.17512035369873,7.853264808654785,8.07856273651123,7302199.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-14,8.110749244689941,7.9498209953308105,7.982007026672363,4006073.0,5960.028,5.2,129.9,8.29,3210.8
