Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,7.591463088989258,7.484755992889404,7.545732021331787,487080.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,7.637195110321045,7.515244007110596,7.637195110321045,583840.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,7.667683124542236,7.515244007110596,7.560976028442383,2132820.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,7.560976028442383,7.484755992889404,7.5,1647380.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,7.560976028442383,7.484755992889404,7.484755992889404,596140.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,7.530488014221191,7.439023971557617,7.530488014221191,473960.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,7.591463088989258,7.484755992889404,7.484755992889404,820000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,7.545732021331787,7.317072868347168,7.378048896789551,993020.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,7.469511985778809,7.408536911010742,7.469511985778809,304220.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,7.454267978668213,7.332316875457764,7.347560882568359,496920.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,7.286584854125977,7.195121765136719,7.240853786468506,1525200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,7.240853786468506,7.14939022064209,7.2103657722473145,893800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,7.317072868347168,7.179878234863281,7.286584854125977,564160.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,7.286584854125977,7.195121765136719,7.195121765136719,1621140.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,7.256097793579102,7.14939022064209,7.2103657722473145,2214820.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,7.256097793579102,7.134146213531494,7.1646342277526855,1180800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,7.22560977935791,7.118902206420898,7.14939022064209,1700680.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,7.118902206420898,6.9817070960998535,7.057927131652832,949560.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,7.118902206420898,7.012195110321045,7.012195110321045,740460.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,6.9817070960998535,6.7987799644470215,6.859755992889404,2869180.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,6.920732021331787,6.7987799644470215,6.875,2162340.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,6.935976028442383,6.829267978668213,6.844511985778809,2561680.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,6.9817070960998535,6.875,6.9817070960998535,2382100.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,7.012195110321045,6.935976028442383,6.996951103210449,1296420.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,7.134146213531494,6.9817070960998535,7.134146213531494,669940.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,7.195121765136719,7.073171138763428,7.073171138763428,605160.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,7.073171138763428,7.027439117431641,7.057927131652832,627300.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,7.22560977935791,7.042683124542236,7.1646342277526855,758500.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,7.301828861236572,7.14939022064209,7.22560977935791,683880.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,7.286584854125977,7.240853786468506,7.271340847015381,670760.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,7.286584854125977,7.22560977935791,7.22560977935791,496100.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,7.362804889678955,7.1646342277526855,7.362804889678955,1526020.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,7.408536911010742,7.332316875457764,7.408536911010742,1008600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,7.408536911010742,7.378048896789551,7.3932929039001465,1077480.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,7.378048896789551,7.286584854125977,7.301828861236572,1059440.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,7.286584854125977,7.2103657722473145,7.256097793579102,771620.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,7.271340847015381,7.1646342277526855,7.271340847015381,997940.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,7.317072868347168,7.240853786468506,7.256097793579102,466580.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,7.240853786468506,7.14939022064209,7.2103657722473145,583840.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,7.22560977935791,7.118902206420898,7.2103657722473145,847880.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,7.271340847015381,7.195121765136719,7.240853786468506,477240.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,7.256097793579102,7.2103657722473145,7.256097793579102,661740.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,7.240853786468506,7.1646342277526855,7.1646342277526855,2218920.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,7.271340847015381,7.1646342277526855,7.22560977935791,1763820.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,7.240853786468506,7.1646342277526855,7.1646342277526855,920040.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,7.240853786468506,7.1646342277526855,7.240853786468506,383760.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,7.4237799644470215,7.286584854125977,7.286584854125977,784740.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,7.469511985778809,7.286584854125977,7.469511985778809,955300.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,7.439023971557617,7.347560882568359,7.347560882568359,502660.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,7.408536911010742,7.301828861236572,7.408536911010742,451820.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,7.362804889678955,7.301828861236572,7.332316875457764,1138980.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,7.347560882568359,7.286584854125977,7.286584854125977,686340.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,7.408536911010742,7.286584854125977,7.3932929039001465,365720.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,7.378048896789551,7.301828861236572,7.301828861236572,835580.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,7.4237799644470215,7.286584854125977,7.4237799644470215,359980.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,7.469511985778809,7.408536911010742,7.454267978668213,580560.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,7.560976028442383,7.439023971557617,7.469511985778809,837220.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,7.469511985778809,7.22560977935791,7.256097793579102,1054520.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,7.332316875457764,7.286584854125977,7.317072868347168,430500.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,7.347560882568359,7.301828861236572,7.301828861236572,219760.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,7.317072868347168,7.256097793579102,7.317072868347168,386220.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,7.317072868347168,7.240853786468506,7.286584854125977,320620.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,7.347560882568359,7.256097793579102,7.332316875457764,366540.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,7.378048896789551,7.286584854125977,7.378048896789551,446080.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,7.378048896789551,7.286584854125977,7.378048896789551,446080.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,7.347560882568359,7.271340847015381,7.301828861236572,500200.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,7.378048896789551,7.286584854125977,7.362804889678955,393600.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-04,7.378048896789551,7.240853786468506,7.240853786468506,442800.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-05,7.347560882568359,7.22560977935791,7.317072868347168,349320.0,5960.028,5.4,128.9,8.26,3219.8
