Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1993-07-22,23.0,22.625,23.0,3159100.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-23,23.625,23.0,23.25,609900.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-26,23.25,22.75,22.75,218400.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-27,22.875,22.75,22.75,183800.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-28,23.125,22.75,23.0,192900.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-29,23.125,22.875,22.875,114100.0,6882.098,6.9,144.5,3.06,3442.6
1993-07-30,22.875,22.75,22.875,57200.0,6882.098,6.9,144.5,3.06,3442.6
1993-08-01,22.875,22.75,22.875,57200.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-02,23.0,22.75,22.75,79800.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-03,23.0,22.75,23.0,155100.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-04,23.125,22.875,23.125,81000.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-05,23.125,22.875,22.875,94500.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-06,23.0,22.875,23.0,137000.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-09,23.0,22.875,22.875,119200.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-10,22.875,22.5,22.5,75700.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-11,22.625,22.25,22.375,37100.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-12,22.375,22.25,22.25,21400.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-13,22.5,22.0,22.375,49500.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-16,22.375,22.375,22.375,9800.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-17,22.5,22.25,22.5,29900.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-18,22.375,22.125,22.125,61500.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-19,22.5,22.125,22.375,56300.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-20,22.25,22.125,22.25,37100.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-23,22.75,22.5,22.75,51700.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-24,23.5,23.0,23.5,87400.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-25,23.625,23.25,23.5,42200.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-26,23.5,23.25,23.375,25100.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-27,23.5,23.25,23.5,22000.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-30,23.625,23.375,23.5,38600.0,6882.098,6.8,144.8,3.03,3440.9
1993-08-31,24.125,23.625,24.0,79300.0,6882.098,6.8,144.8,3.03,3440.9
1993-09-01,24.75,24.125,24.5,69200.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-02,24.625,24.125,24.25,46800.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-03,24.5,24.125,24.5,27800.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-07,24.625,24.375,24.5,23900.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-08,24.5,24.25,24.5,36800.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-09,24.625,24.375,24.5,20800.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-10,24.75,24.5,24.75,10700.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-13,25.25,24.625,25.0,24600.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-14,25.25,24.75,25.0,25500.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-15,26.0,24.875,25.625,51700.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-16,25.625,25.375,25.625,16600.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-17,25.875,25.375,25.875,38100.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-20,25.875,25.625,25.625,28200.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-21,25.625,25.125,25.5,53200.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-22,25.75,25.375,25.5,26100.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-23,25.625,25.375,25.5,20700.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-24,25.375,25.25,25.375,23000.0,6882.098,6.7,145.0,3.09,3443.5
1993-09-27,25.625,25.5,25.625,35400.0,6882.098,6.7,145.0,3.09,3443.5
