Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,0.6458640098571777,0.6196100115776062,0.6406130194664001,568947.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,0.6511150002479553,0.6301109790802002,0.6511150002479553,1783018.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,0.6616169810295105,0.6458640098571777,0.6511150002479553,516575.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,0.6616169810295105,0.6458640098571777,0.6616169810295105,83319.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,0.6563659906387329,0.6458640098571777,0.6511150002479553,104743.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,0.6511150002479553,0.6406130194664001,0.6458640098571777,190442.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,0.6406130194664001,0.6248610019683838,0.6301109790802002,99982.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,0.6353620290756226,0.6248610019683838,0.6248610019683838,580850.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,0.6406130194664001,0.6248610019683838,0.6248610019683838,233292.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,0.6196100115776062,0.6143590211868286,0.6143590211868286,92841.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,0.6196100115776062,0.6091079711914062,0.6143590211868286,523717.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,0.6091079711914062,0.5881040096282959,0.6091079711914062,640363.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,0.6143590211868286,0.6038569808006287,0.6091079711914062,1247398.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,0.6091079711914062,0.5986059904098511,0.6091079711914062,261858.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,0.6143590211868286,0.6091079711914062,0.6091079711914062,473726.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,0.6091079711914062,0.5881040096282959,0.5986059904098511,671310.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,0.6091079711914062,0.5933550000190735,0.6091079711914062,799858.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,0.6091079711914062,0.5828530192375183,0.6038569808006287,509434.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,0.6038569808006287,0.5933550000190735,0.5986059904098511,252336.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,0.5986059904098511,0.5881040096282959,0.5881040096282959,166637.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,0.5881040096282959,0.5828530192375183,0.5881040096282959,1392611.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,0.5881040096282959,0.5670999884605408,0.5881040096282959,390407.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,0.6091079711914062,0.5881040096282959,0.6038569808006287,2216275.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,0.6143590211868286,0.6038569808006287,0.6143590211868286,1625903.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,0.6143590211868286,0.6091079711914062,0.6143590211868286,197584.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,0.6143590211868286,0.6038569808006287,0.6091079711914062,1571151.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,0.6143590211868286,0.6038569808006287,0.6143590211868286,219009.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,0.6143590211868286,0.6038569808006287,0.6091079711914062,2311496.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,0.6406130194664001,0.6248610019683838,0.6406130194664001,695115.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,0.6721190214157104,0.6458640098571777,0.6511150002479553,1730646.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,0.6668679714202881,0.6353620290756226,0.6353620290756226,561805.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,0.6458640098571777,0.6143590211868286,0.6196100115776062,199965.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,0.6248610019683838,0.6038569808006287,0.6091079711914062,302327.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,0.6248610019683838,0.6143590211868286,0.6248610019683838,823664.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,0.6353620290756226,0.6248610019683838,0.6353620290756226,1037912.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,0.6353620290756226,0.6091079711914062,0.6248610019683838,1971080.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,0.6301109790802002,0.6196100115776062,0.6248610019683838,635602.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,0.6406130194664001,0.6301109790802002,0.6406130194664001,983159.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,0.6406130194664001,0.6196100115776062,0.6196100115776062,466584.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,0.6248610019683838,0.6196100115776062,0.6248610019683838,278522.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,0.6248610019683838,0.6143590211868286,0.6196100115776062,535620.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,0.6301109790802002,0.6196100115776062,0.6196100115776062,114265.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,0.6406130194664001,0.6248610019683838,0.6353620290756226,995062.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,0.6511150002479553,0.6406130194664001,0.6458640098571777,554664.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,0.6616169810295105,0.6563659906387329,0.6563659906387329,723681.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,0.6563659906387329,0.6406130194664001,0.6458640098571777,873655.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,0.6458640098571777,0.6353620290756226,0.6353620290756226,107124.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,0.6458640098571777,0.6406130194664001,0.6406130194664001,109504.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,0.6458640098571777,0.6406130194664001,0.6406130194664001,78558.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,0.6511150002479553,0.6406130194664001,0.6511150002479553,209487.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,0.6563659906387329,0.6458640098571777,0.6511150002479553,1095044.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,0.6616169810295105,0.6511150002479553,0.6616169810295105,2480514.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,0.6616169810295105,0.6563659906387329,0.6563659906387329,554664.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,0.6616169810295105,0.6511150002479553,0.6563659906387329,480867.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,0.6511150002479553,0.6406130194664001,0.6458640098571777,347558.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,0.6511150002479553,0.6406130194664001,0.6458640098571777,61894.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,0.6458640098571777,0.6406130194664001,0.6406130194664001,171398.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,0.6511150002479553,0.6406130194664001,0.6458640098571777,345177.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,0.6511150002479553,0.6406130194664001,0.6511150002479553,502292.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,0.6563659906387329,0.6458640098571777,0.6511150002479553,661788.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,0.6458640098571777,0.6353620290756226,0.6458640098571777,221389.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,0.6511150002479553,0.6353620290756226,0.6353620290756226,314230.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,0.6406130194664001,0.6301109790802002,0.6406130194664001,71416.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,0.6406130194664001,0.6301109790802002,0.6301109790802002,119027.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,0.6406130194664001,0.6301109790802002,0.6301109790802002,119027.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,0.6511150002479553,0.6301109790802002,0.6511150002479553,1675894.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,0.745631992816925,0.6826210021972656,0.745631992816925,6644063.0,5960.028,5.4,128.9,8.26,3219.8
