Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1998-09-24,0.9513540267944336,0.7759889960289001,0.8307909965515137,518656090.0,9121.097,4.6,163.5,5.51,4254.4
1998-09-25,0.8088700175285339,0.7211880087852478,0.7869489789009094,121255834.0,9121.097,4.6,163.5,5.51,4254.4
1998-09-28,0.8921679854393005,0.8066779971122742,0.8461350202560425,89772883.0,9121.097,4.6,163.5,5.51,4254.4
1998-09-29,0.8812080025672913,0.8373669981956482,0.8570950031280518,39289536.0,9121.097,4.6,163.5,5.51,4254.4
1998-09-30,0.841750979423523,0.7584530115127563,0.7902370095252991,44113766.0,9121.097,4.6,163.5,5.51,4254.4
1998-10-01,0.7584530115127563,0.7014589905738831,0.7014589905738831,44433101.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-02,0.7321479916572571,0.6137769818305969,0.7014589905738831,46816704.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-05,0.686115026473999,0.6115850210189819,0.6291210055351257,33832339.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-06,0.670769989490509,0.5611670017242432,0.640080988407135,40270349.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-07,0.624737024307251,0.5414389967918396,0.5414389967918396,35058355.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-08,0.5129420161247253,0.442795991897583,0.5085579752922058,57172262.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-09,0.5655509829521179,0.5173259973526001,0.5392469763755798,38519712.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-12,0.5611670017242432,0.5523989796638489,0.5523989796638489,28198368.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-13,0.5567830204963684,0.5129420161247253,0.5151339769363403,15430694.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-14,0.5633590221405029,0.5107499957084656,0.5282859802246094,30935520.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-15,0.5743200182914734,0.5282859802246094,0.5721279978752136,29144966.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-16,0.640080988407135,0.5787039995193481,0.6313130259513855,43343942.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-19,0.8066779971122742,0.6488500237464905,0.7957180142402649,78151392.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-20,0.9097049832344055,0.7935259938240051,0.8154460191726685,109292198.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-21,0.903128981590271,0.8285980224609375,0.8866879940032959,65703053.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-22,0.9382010102272034,0.8636710047721863,0.9042249917984009,53323142.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-23,0.91628098487854,0.8680559992790222,0.8790159821510315,32309798.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-26,1.2889310121536255,1.0302679538726807,1.2867389917373657,389981434.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-27,1.5925309658050537,1.4073020219802856,1.4467589855194092,571032634.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-28,1.4862159490585327,1.341539978981018,1.4029179811477661,254555136.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-29,1.4544310569763184,1.3985340595245361,1.4007259607315063,81150854.0,9293.991,4.5,163.9,5.07,4291.4
1998-10-30,1.479640007019043,1.404013991355896,1.4577200412750244,94944960.0,9293.991,4.5,163.9,5.07,4291.4
1998-11-01,1.479640007019043,1.404013991355896,1.4577200412750244,94944960.0,9293.991,4.4,164.1,4.83,4345.9
1998-11-02,1.5388259887695312,1.4686800241470337,1.4730639457702637,123707866.0,9293.991,4.4,164.1,4.83,4345.9
1998-11-03,1.4993690252304077,1.4555269479751587,1.4730639457702637,45978451.0,9293.991,4.4,164.1,4.83,4345.9
