Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
2000-08-11,448.0,384.0,420.0,792528.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-14,420.0,384.0,384.0,80228.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-15,396.0,384.0,388.0,48422.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-16,418.0,386.0,396.0,42166.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-17,400.0,382.0,384.0,47247.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-18,460.0,396.0,458.0,60400.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-21,520.0,446.0,486.0,66547.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-22,502.0,432.0,432.0,33878.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-23,440.0,408.0,416.0,17925.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-24,418.0,386.0,386.0,18441.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-25,414.0,388.0,412.0,20113.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-28,433.5,400.0,420.0,19491.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-29,432.0,404.0,428.0,22728.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-30,470.0,424.0,454.0,19891.0,10318.165,4.1,172.7,6.5,4804.4
2000-08-31,528.0,476.0,518.0,87397.0,10318.165,4.1,172.7,6.5,4804.4
2000-09-01,520.0,480.0,504.0,27738.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-05,520.0,496.0,498.0,23025.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-06,520.0,488.0,496.0,20559.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-07,512.0,428.0,460.0,23959.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-08,464.0,440.0,448.0,15956.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-11,448.0,432.0,444.0,34547.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-12,442.0,412.0,416.0,33853.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-13,420.0,396.0,400.0,10363.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-14,444.0,400.0,406.0,8109.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-15,416.0,400.0,402.0,3600.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-18,424.0,382.0,386.0,18659.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-19,420.0,344.0,360.0,48038.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-20,370.0,312.0,332.0,24103.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-21,344.0,326.0,340.0,25247.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-22,346.0,302.0,338.0,8456.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-25,346.0,300.0,302.0,21066.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-26,318.0,288.0,296.0,19634.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-27,302.0,276.0,299.0,16756.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-28,344.0,292.0,320.0,22041.0,10318.165,3.9,173.6,6.52,4840.0
2000-09-29,324.0,279.0,284.0,19125.0,10318.165,3.9,173.6,6.52,4840.0
2000-10-01,324.0,279.0,284.0,19125.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-02,301.0,268.0,272.0,6888.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-03,284.0,248.0,254.0,10128.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-04,258.0,216.0,228.0,14600.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-05,260.0,208.0,210.0,15178.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-06,224.0,190.0,195.0,11413.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-09,214.0,185.0,198.0,10650.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-10,204.0,176.0,182.0,13291.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-11,184.0,130.0,132.0,42488.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-12,168.0,144.0,166.0,37297.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-13,252.0,177.0,242.0,42863.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-16,262.0,236.0,260.0,38531.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-17,274.0,244.0,250.0,11047.0,10435.744,3.9,173.9,6.51,4853.9
2000-10-18,268.0,190.0,258.0,19303.0,10435.744,3.9,173.9,6.51,4853.9
