Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,1.082031011581421,1.0625,1.078125,23689600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,1.125,1.0625,1.125,63833600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,1.1328129768371582,1.09375,1.09375,69504000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,1.125,1.078125,1.1171879768371582,58483200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,1.125,1.1015629768371582,1.109375,37036800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,1.1328129768371582,1.109375,1.125,43305600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,1.171875,1.140625,1.15625,103030400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,1.1640629768371582,1.1015629768371582,1.125,114105600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,1.1484379768371582,1.1171879768371582,1.125,41068800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,1.125,1.09375,1.1015629768371582,48851200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,1.1171879768371582,1.0859379768371582,1.109375,33830400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,1.1796879768371582,1.09375,1.171875,103984000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,1.203125,1.171875,1.175781011581421,115017600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,1.171875,1.140625,1.1640629768371582,85571200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,1.1953129768371582,1.171875,1.183593988418579,37107200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,1.1875,1.1484379768371582,1.1484379768371582,48150400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,1.171875,1.140625,1.1484379768371582,53708800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,1.191406011581421,1.109375,1.1875,87593600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,1.2265629768371582,1.1875,1.1953129768371582,91740800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,1.2421879768371582,1.1953129768371582,1.2109379768371582,144806400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,1.234375,1.1640629768371582,1.1953129768371582,100156800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,1.1953129768371582,1.1640629768371582,1.1796879768371582,49712000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,1.234375,1.1796879768371582,1.234375,94470400.0,5872.701,5.4,127.5,8.23,3170.4
