Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,3.375,3.25,3.2916669845581055,131400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,3.4166669845581055,3.2916669845581055,3.4166669845581055,307800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,3.5416669845581055,3.375,3.5,495600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,3.5416669845581055,3.4791669845581055,3.5,456000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,3.4583330154418945,3.375,3.4375,99600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,3.4583330154418945,3.375,3.4583330154418945,93600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,3.4583330154418945,3.4166669845581055,3.4583330154418945,87600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,3.4583330154418945,3.375,3.4166669845581055,301200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,3.4583330154418945,3.375,3.4583330154418945,67800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,3.4375,3.375,3.4166669845581055,151800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,3.3958330154418945,3.375,3.375,15000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,3.4166669845581055,3.25,3.3958330154418945,306000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,3.3958330154418945,3.2916669845581055,3.3333330154418945,150000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,3.2916669845581055,3.1666669845581055,3.2083330154418945,194400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,3.25,3.1666669845581055,3.1666669845581055,10200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,3.25,3.0416669845581055,3.0416669845581055,315000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,3.0833330154418945,3.0416669845581055,3.0416669845581055,66600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,3.0,2.9166669845581055,2.9583330154418945,144600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,3.0416669845581055,2.9583330154418945,2.9791669845581055,322200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,3.0416669845581055,2.875,2.9583330154418945,288600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,2.9583330154418945,2.9166669845581055,2.9583330154418945,95400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,2.9375,2.8333330154418945,2.875,1057200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,2.875,2.625,2.75,820200.0,5872.701,5.4,127.5,8.23,3170.4
