Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
2006-10-17,44.64197540283203,43.60493850708008,44.37036895751953,1741338.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-18,45.03703689575195,43.432098388671875,43.62963104248047,1484487.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-19,43.925926208496094,42.49382781982422,42.64197540283203,1481774.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-20,44.197532653808594,42.592594146728516,44.074073791503906,1440342.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-23,44.69135665893555,43.58024597167969,43.925926208496094,1152306.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-24,44.64197540283203,43.75308609008789,44.197532653808594,880349.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-25,44.66666793823242,43.48147964477539,44.61728286743164,1214960.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-26,49.209877014160156,44.61728286743164,47.679012298583984,4729712.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-27,49.62963104248047,47.85185241699219,49.55555725097656,3889418.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-30,52.0987663269043,49.679012298583984,50.197532653808594,1939059.0,14039.56,4.4,201.9,5.25,6962.5
2006-10-31,51.802467346191406,48.83950424194336,49.38271713256836,1322082.0,14039.56,4.4,201.9,5.25,6962.5
2006-11-01,50.44444274902344,48.76543045043945,48.76543045043945,854186.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-02,50.37036895751953,48.14814758300781,48.1728401184082,821745.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-03,49.30864334106445,48.39506149291992,49.01234436035156,787037.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-06,50.049381256103516,48.814815521240234,49.35802459716797,842360.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-07,49.75308609008789,48.790122985839844,49.28395080566406,706928.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-08,48.44444274902344,46.41975402832031,47.35802459716797,1550948.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-09,49.87654113769531,47.16049575805664,49.87654113769531,992372.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-10,49.654319763183594,48.1728401184082,49.35802459716797,765653.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-13,49.28395080566406,48.69135665893555,49.08641815185547,332870.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-14,49.53086471557617,48.64197540283203,49.23456954956055,520020.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-15,49.679012298583984,49.01234436035156,49.432098388671875,591746.0,14039.56,4.5,202.0,5.25,7024.9
2006-11-16,49.58024597167969,49.01234436035156,49.58024597167969,374018.0,14039.56,4.5,202.0,5.25,7024.9
