Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1998-03-23,16.779876708984375,16.779876708984375,16.779876708984375,1073.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-24,17.420774459838867,17.012929916381836,17.420774459838867,116711.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-25,17.682960510253906,17.47903823852539,17.682960510253906,27891.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-26,17.595565795898438,17.391643524169922,17.595565795898438,76163.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-27,17.537302017211914,16.954666137695312,17.187721252441406,847444.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-30,17.158588409423828,16.663349151611328,16.75074577331543,384890.0,8866.48,4.7,162.0,5.49,4131.7
1998-03-31,16.98379898071289,16.546823501586914,16.692480087280273,644701.0,8866.48,4.7,162.0,5.49,4131.7
1998-04-01,16.372032165527344,15.731134414672852,16.255504608154297,1004918.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-02,17.07119369506836,16.255504608154297,17.012929916381836,1046539.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-03,17.362510681152344,16.663349151611328,17.275115966796875,766990.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-06,17.3333797454834,16.779876708984375,16.779876708984375,417715.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-07,16.896404266357422,16.08071517944336,16.459428787231445,1516388.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-08,16.546823501586914,16.109846115112305,16.40116310119629,602007.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-09,16.80900764465332,16.08071517944336,16.08071517944336,711209.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-13,16.138978958129883,15.731134414672852,16.138978958129883,1257864.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-14,16.896404266357422,16.197242736816406,16.867271423339844,1577532.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-15,17.362510681152344,17.012929916381836,17.3333797454834,596858.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-16,17.304248809814453,16.3429012298584,16.40116310119629,422864.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-17,16.459428787231445,15.93505573272705,16.022451400756836,788444.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-20,16.022451400756836,15.58547592163086,15.58547592163086,577120.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-21,15.81852912902832,14.798918724060059,14.798918724060059,825346.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-22,15.148500442504883,14.798918724060059,15.061104774475098,1218817.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-23,14.973709106445312,14.682392120361328,14.973709106445312,976169.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-24,15.20676326751709,14.915446281433105,15.148500442504883,862676.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-27,15.20676326751709,14.915446281433105,15.148500442504883,861818.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-28,15.731134414672852,15.148500442504883,15.527212142944336,305509.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-29,15.643738746643066,15.32328987121582,15.439817428588867,948279.0,8969.699,4.3,162.2,5.45,4174.6
1998-04-30,15.498080253601074,14.915446281433105,14.915446281433105,1989240.0,8969.699,4.3,162.2,5.45,4174.6
1998-05-01,15.614606857299805,14.915446281433105,15.556344032287598,940341.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-04,16.05158233642578,15.847661018371582,15.964187622070312,462340.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-05,15.964187622070312,15.847661018371582,15.964187622070312,227844.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-06,16.08071517944336,15.381553649902344,15.381553649902344,743605.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-07,15.32328987121582,14.857181549072266,14.915446281433105,869542.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-08,15.265027046203613,14.915446281433105,15.031972885131836,607156.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-11,15.119367599487305,14.682392120361328,14.740654945373535,1053834.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-12,14.82805061340332,14.216283798217773,14.216283798217773,1263871.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-13,15.498080253601074,14.33281135559082,15.352421760559082,2205070.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-14,15.32328987121582,14.857181549072266,15.265027046203613,356141.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-15,15.614606857299805,15.061104774475098,15.468949317932129,380599.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-18,15.847661018371582,15.527212142944336,15.614606857299805,539146.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-19,15.847661018371582,15.556344032287598,15.58547592163086,433805.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-20,16.517690658569336,15.70200252532959,16.48855972290039,652424.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-21,16.459428787231445,15.964187622070312,16.022451400756836,607370.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-22,16.08071517944336,15.81852912902832,15.81852912902832,535284.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-26,16.022451400756836,15.70200252532959,15.70200252532959,1083870.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-27,16.22637367248535,15.643738746643066,16.05158233642578,570040.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-28,16.168109893798828,15.905924797058105,16.05158233642578,552233.0,8969.699,4.4,162.6,5.49,4144.0
1998-05-29,16.31376838684082,16.08071517944336,16.197242736816406,1080008.0,8969.699,4.4,162.6,5.49,4144.0
1998-06-01,16.546823501586914,15.905924797058105,16.22637367248535,758623.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-02,16.31376838684082,15.847661018371582,15.93505573272705,502030.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-03,16.08071517944336,15.789398193359375,15.93505573272705,761627.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-04,16.284637451171875,15.643738746643066,16.284637451171875,895501.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-05,16.40116310119629,16.22637367248535,16.31376838684082,871472.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-08,16.372032165527344,15.58547592163086,15.643738746643066,915239.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-09,15.410684585571289,15.119367599487305,15.119367599487305,1026587.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-10,15.32328987121582,14.886314392089844,14.944578170776367,1434647.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-11,15.119367599487305,14.740654945373535,14.798918724060059,797241.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-12,15.090235710144043,14.71152400970459,14.915446281433105,916526.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-15,14.886314392089844,14.507601737976074,14.507601737976074,642126.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-16,15.265027046203613,14.565864562988281,14.973709106445312,700482.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-17,15.265027046203613,14.944578170776367,14.944578170776367,1868881.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-18,14.973709106445312,14.682392120361328,14.682392120361328,757765.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-19,14.682392120361328,14.478469848632812,14.507601737976074,814833.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-22,14.915446281433105,13.983229637145996,14.041494369506836,862676.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-23,14.71152400970459,14.216283798217773,14.653260231018066,1113691.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-24,14.798918724060059,14.420206069946289,14.798918724060059,1458676.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-25,14.798918724060059,14.53673267364502,14.53673267364502,847229.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-26,14.653260231018066,14.420206069946289,14.59499740600586,1260438.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-29,14.915446281433105,14.71152400970459,14.798918724060059,790804.0,8969.699,4.5,162.8,5.56,4174.6
1998-06-30,15.090235710144043,14.59499740600586,15.090235710144043,1761396.0,8969.699,4.5,162.8,5.56,4174.6
1998-07-01,15.32328987121582,14.82805061340332,15.002840995788574,1254002.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-02,15.002840995788574,14.71152400970459,14.740654945373535,522411.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-06,15.031972885131836,14.71152400970459,14.915446281433105,771066.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-07,14.944578170776367,14.653260231018066,14.82805061340332,8416725.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-08,15.381553649902344,14.944578170776367,15.352421760559082,1722134.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-09,15.352421760559082,15.265027046203613,15.265027046203613,1448163.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-10,15.352421760559082,15.20676326751709,15.265027046203613,1476697.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-13,15.294157981872559,15.031972885131836,15.177631378173828,1116909.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-14,15.20676326751709,15.031972885131836,15.119367599487305,1696175.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-15,15.148500442504883,14.682392120361328,14.740654945373535,4195382.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-16,15.031972885131836,14.82805061340332,14.886314392089844,1040103.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-17,14.915446281433105,14.740654945373535,14.857181549072266,3208272.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-20,15.061104774475098,14.798918724060059,15.061104774475098,1938608.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-21,15.177631378173828,14.798918724060059,14.798918724060059,1290903.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-22,15.70200252532959,14.82805061340332,15.70200252532959,2199706.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-23,15.614606857299805,15.119367599487305,15.148500442504883,634188.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-24,15.235895156860352,14.740654945373535,14.973709106445312,597072.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-27,15.847661018371582,14.798918724060059,15.847661018371582,862247.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-28,15.964187622070312,15.672870635986328,15.905924797058105,904512.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-29,16.08071517944336,15.32328987121582,15.498080253601074,856240.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-30,15.527212142944336,15.265027046203613,15.32328987121582,471779.0,9121.097,4.5,163.2,5.54,4193.2
1998-07-31,15.672870635986328,15.002840995788574,15.148500442504883,515332.0,9121.097,4.5,163.2,5.54,4193.2
1998-08-01,15.672870635986328,15.002840995788574,15.148500442504883,515332.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-03,15.439817428588867,15.090235710144043,15.148500442504883,1236195.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-04,15.527212142944336,15.177631378173828,15.20676326751709,1304634.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-05,15.439817428588867,14.886314392089844,15.20676326751709,1050616.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-06,15.32328987121582,14.798918724060059,14.857181549072266,1262584.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-07,14.944578170776367,14.769786834716797,14.915446281433105,1777486.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-10,15.556344032287598,15.235895156860352,15.381553649902344,881127.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-11,15.352421760559082,14.973709106445312,15.061104774475098,753474.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-12,15.32328987121582,15.002840995788574,15.32328987121582,444962.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-13,15.498080253601074,15.090235710144043,15.177631378173828,352279.0,9121.097,4.5,163.4,5.55,4220.3
1998-08-14,15.70200252532959,15.265027046203613,15.556344032287598,610374.0,9121.097,4.5,163.4,5.55,4220.3
