Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1997-11-14,15.25,14.0625,14.875,2233500.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-17,15.75,15.0,15.25,515000.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-18,15.5,15.0,15.0,257300.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-19,15.625,14.75,15.625,270100.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-20,16.375,15.5,16.375,185500.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-21,17.5,16.25,17.125,133100.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-24,17.125,16.375,17.0,160200.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-25,18.0625,17.1875,17.75,384800.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-26,17.9375,17.5,17.9375,72500.0,8765.907,4.6,161.7,5.52,4015.8
1997-11-28,18.0,17.8125,17.875,24800.0,8765.907,4.6,161.7,5.52,4015.8
1997-12-01,18.0,17.75,17.8125,90200.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-02,18.0,17.75,17.8125,194200.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-03,17.875,17.6875,17.875,77600.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-04,17.9375,17.6875,17.6875,79500.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-05,18.125,17.6875,18.125,120300.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-08,18.375,17.875,18.125,56700.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-09,18.75,17.875,18.5,170000.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-10,18.5,17.8125,18.0625,28000.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-11,18.25,17.75,18.0625,19500.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-12,18.0,17.625,17.75,89600.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-15,18.625,17.75,18.125,186100.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-16,18.125,17.3125,18.0625,89700.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-17,18.375,18.0,18.25,84900.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-18,18.4375,17.875,18.4375,20000.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-19,18.4375,17.875,18.25,49600.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-22,18.5,18.125,18.125,7400.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-23,18.375,17.625,17.625,169900.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-24,17.625,17.5,17.5625,32600.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-26,17.6875,17.5625,17.5625,600.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-29,17.625,17.375,17.5,49200.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-30,17.5,17.25,17.25,46700.0,8765.907,4.7,161.8,5.5,4055.1
1997-12-31,17.375,17.0,17.25,87500.0,8765.907,4.7,161.8,5.5,4055.1
1998-01-01,17.375,17.0,17.25,87500.0,8866.48,4.6,162.0,5.56,4062.5
1998-01-02,17.375,16.875,17.0,131200.0,8866.48,4.6,162.0,5.56,4062.5
1998-01-05,17.125,16.625,16.75,67800.0,8866.48,4.6,162.0,5.56,4062.5
1998-01-06,16.6875,16.5,16.6875,24100.0,8866.48,4.6,162.0,5.56,4062.5
