Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,6.3125,6.1875,6.25,29600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,6.3125,6.125,6.125,28000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,6.3125,6.125,6.3125,19200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,6.3125,6.125,6.125,13600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,6.125,6.125,6.125,800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,6.3125,6.125,6.125,14400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,6.3125,6.125,6.25,107200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,6.3125,6.1875,6.1875,54400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,6.3125,6.1875,6.1875,12800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,6.25,6.1875,6.25,46400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,6.25,6.125,6.125,13600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,6.25,6.125,6.1875,116000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,6.3125,6.125,6.28125,72800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,6.3125,6.125,6.1875,29600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,6.3125,6.125,6.3125,16000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,6.3125,6.125,6.25,75200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,6.375,6.1875,6.375,54400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,6.375,6.25,6.375,131200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,6.375,6.25,6.25,63200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,6.375,6.28125,6.375,119200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,6.4375,6.3125,6.390625,120000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,6.375,6.3125,6.3125,116800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,6.40625,6.3125,6.40625,1040800.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,6.5,6.3125,6.3125,25600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,6.5,6.3125,6.5,40800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,6.40625,6.34375,6.40625,12800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,6.46875,6.40625,6.46875,98400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,6.4375,6.40625,6.40625,57600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,6.5625,6.40625,6.4375,231200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,6.5,6.375,6.375,52800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,6.5,6.375,6.5,114400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,6.40625,6.375,6.40625,87200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,6.5,6.375,6.5,18400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,6.5,6.3125,6.3125,13600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,6.5,6.375,6.5,36800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,6.5,6.3125,6.3125,12800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,6.375,6.25,6.25,100800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,6.375,6.25,6.375,25600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,6.21875,6.0,6.125,930400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,6.0625,5.875,6.0625,164800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,6.0,5.875,5.90625,9600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,6.0,6.0,6.0,15200.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,6.0,5.90625,6.0,2400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,6.0,5.90625,5.90625,24800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,6.0,5.90625,5.90625,32000.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,6.0,5.90625,6.0,116000.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,6.015625,5.96875,6.0,40800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,6.0625,5.9375,5.9375,41600.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,6.0625,5.96875,6.0625,14400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,6.1875,5.96875,6.125,199200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,6.25,6.0,6.0625,10400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,6.25,6.0625,6.0625,15200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,6.09375,6.09375,6.09375,4000.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,6.25,6.25,6.25,7200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,6.25,6.125,6.125,52800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,6.25,6.125,6.25,462400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,6.375,6.1875,6.1875,48800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,6.21875,6.1875,6.21875,102400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,6.375,6.1875,6.375,884800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,6.1875,6.1875,6.1875,2400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,6.3125,6.1875,6.3125,4800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,6.3125,6.1875,6.3125,32800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,6.21875,6.21875,6.21875,800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,6.375,6.25,6.3125,118400.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,6.375,6.25,6.3125,118400.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,6.25,6.1875,6.25,55200.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,6.3125,6.1875,6.1875,2400.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-04,6.234375,6.125,6.1875,207200.0,5960.028,5.4,128.9,8.26,3219.8
