Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,10.666666984558105,10.520833015441895,10.666666984558105,1690800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,10.708333015441895,10.479166984558105,10.708333015441895,3188400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,10.770833015441895,10.583333015441895,10.604166984558105,3421800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,10.5625,10.333333015441895,10.5,2751600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,10.5,10.270833015441895,10.354166984558105,3455400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,10.5625,10.291666984558105,10.541666984558105,2490600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,10.5625,10.333333015441895,10.395833015441895,2119800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,10.395833015441895,10.0625,10.125,3191400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,10.208333015441895,10.020833015441895,10.041666984558105,4051200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,9.9375,9.770833015441895,9.791666984558105,6385200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,9.770833015441895,9.604166984558105,9.604166984558105,4678800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,9.958333015441895,9.541666984558105,9.958333015441895,4903800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,10.0625,9.791666984558105,9.958333015441895,5371200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,9.958333015441895,9.791666984558105,9.875,3810000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,10.020833015441895,9.916666984558105,10.0,2952000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,10.083333015441895,9.729166984558105,9.770833015441895,3025200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,9.895833015441895,9.6875,9.770833015441895,3675600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,9.791666984558105,9.479166984558105,9.729166984558105,5203800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,9.791666984558105,9.520833015441895,9.541666984558105,2653800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,9.583333015441895,9.0,9.333333015441895,5928000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,9.458333015441895,9.229166984558105,9.416666984558105,4386600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,9.5,9.291666984558105,9.375,4039800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,9.583333015441895,9.4375,9.583333015441895,4065000.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,9.708333015441895,9.583333015441895,9.708333015441895,2954400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,9.875,9.666666984558105,9.791666984558105,2424000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,9.791666984558105,9.666666984558105,9.729166984558105,2225400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,9.916666984558105,9.729166984558105,9.895833015441895,3270000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,9.958333015441895,9.791666984558105,9.916666984558105,4332600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,10.083333015441895,9.958333015441895,10.0,5133000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,10.083333015441895,9.958333015441895,10.041666984558105,2628600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,10.0625,10.0,10.020833015441895,1996200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,10.0,9.770833015441895,9.791666984558105,4217400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,9.875,9.770833015441895,9.8125,2660400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,9.895833015441895,9.770833015441895,9.895833015441895,2427600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,9.979166984558105,9.833333015441895,9.833333015441895,2871000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,9.729166984558105,9.583333015441895,9.666666984558105,2303400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,9.625,9.458333015441895,9.5,4482000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,9.604166984558105,9.395833015441895,9.4375,4706400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,9.541666984558105,9.354166984558105,9.458333015441895,2362800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,9.541666984558105,9.395833015441895,9.541666984558105,4060200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,9.729166984558105,9.4375,9.645833015441895,3374400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,9.8125,9.625,9.75,4620600.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,9.75,9.625,9.625,3512400.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,9.666666984558105,9.479166984558105,9.479166984558105,11029800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,9.5,9.416666984558105,9.4375,5386800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,9.5625,9.458333015441895,9.5625,4900800.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,9.708333015441895,9.583333015441895,9.708333015441895,2929200.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,10.0,9.708333015441895,9.895833015441895,4893600.0,5872.701,5.2,128.6,8.28,3192.6
